dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.253260,3.465000,0.000287,0.011481,0.229622,4.592445,3.141593
0.050000,5.252499,3.465000,0.001049,0.015230,0.074972,-3.093012,3.141593
0.050000,5.249916,3.465000,0.003632,0.051665,0.728706,13.074691,3.141593
0.050000,5.245323,3.465000,0.008224,0.091849,0.803678,1.499433,3.141593
0.050000,5.238148,3.465000,0.015400,0.143514,1.033300,4.592445,3.141593
0.050000,5.227815,3.465000,0.025733,0.206660,1.262922,4.592445,3.141593
0.050000,5.213750,3.465000,0.039797,0.281287,1.492545,4.592445,3.141593
0.050000,5.195380,3.465000,0.058167,0.367396,1.722167,4.592445,3.141593
0.050000,5.172418,3.465000,0.081129,0.459244,1.836978,2.296222,3.141593
0.050000,5.145151,3.465000,0.108397,0.545353,1.722167,-2.296222,3.141593
0.050000,5.114152,3.465000,0.139396,0.619980,1.492545,-4.592445,3.141593
0.050000,5.079995,3.465000,0.173552,0.683126,1.262922,-4.592445,3.141593
0.050000,5.043256,3.465000,0.210292,0.734791,1.033300,-4.592445,3.141593
0.050000,5.004507,3.465000,0.249041,0.774975,0.803678,-4.592445,3.141593
0.050000,4.964323,3.465000,0.289224,0.803678,0.574056,-4.592445,3.141593
0.050000,4.923278,3.465000,0.330269,0.820900,0.344433,-4.592445,3.141593
0.050000,4.882143,3.465000,0.371405,0.822707,0.036155,-6.165564,3.141593
0.050000,4.841688,3.465000,0.411860,0.809101,-0.272123,-6.165564,3.141593
0.050000,4.802487,3.465000,0.451061,0.784014,-0.501745,-4.592445,3.141593
0.050000,4.765115,3.465000,0.488433,0.747446,-0.731368,-4.592445,3.141593
0.050000,4.730145,3.465000,0.523403,0.699396,-0.960990,-4.592445,3.141593
0.050000,4.698152,3.465000,0.555396,0.639865,-1.190612,-4.592445,3.141593
0.050000,4.669709,3.465000,0.583839,0.568854,-1.420234,-4.592445,3.141593
0.050000,4.645391,3.465000,0.608157,0.486361,-1.649857,-4.592445,3.141593
0.050000,4.625575,3.465000,0.627973,0.396320,-1.800823,-3.019326,3.141593
0.050000,4.610155,3.465000,0.643393,0.308404,-1.758322,0.850016,3.141593
0.050000,4.598647,3.465000,0.654901,0.230161,-1.564855,3.869342,3.141593
0.050000,4.590477,3.465000,0.663071,0.163399,-1.335233,4.592445,3.141593
0.050000,4.585071,3.465000,0.668477,0.108119,-1.105610,4.592445,3.141593
0.050000,4.581855,3.465000,0.671693,0.064319,-0.875988,4.592445,3.141593
0.050000,4.580255,3.465000,0.673293,0.032001,-0.646366,4.592445,3.141593
0.050000,4.579697,3.465000,0.673851,0.011164,-0.416744,4.592445,3.141593
0.050000,4.579606,3.465000,0.673941,0.001808,-0.187121,4.592445,3.141593
0.050000,4.579606,3.465000,0.673941,0.000000,-0.036155,3.019326,3.141593
