dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.253260,3.840000,0.000287,0.011481,0.229622,4.592445,3.141593
0.050000,5.252499,3.840000,0.001435,0.034443,0.459244,4.592445,3.141593
0.050000,5.249916,3.840000,0.004018,0.068887,0.688867,4.592445,3.141593
0.050000,5.245323,3.840000,0.008611,0.114811,0.918489,4.592445,3.141593
0.050000,5.238148,3.840000,0.015787,0.172217,1.148111,4.592445,3.141593
0.050000,5.227815,3.840000,0.026120,0.241103,1.377733,4.592445,3.141593
0.050000,5.213750,3.840000,0.040184,0.321471,1.607356,4.592445,3.141593
0.050000,5.195380,3.840000,0.058554,0.413320,1.836978,4.592445,3.141593
0.050000,5.172418,3.840000,0.081516,0.505169,1.836978,0.000000,3.141593
0.050000,5.145151,3.840000,0.108784,0.585537,1.607356,-4.592445,3.141593
0.050000,5.114152,3.840000,0.139783,0.654423,1.377733,-4.592445,3.141593
0.050000,5.079995,3.840000,0.173939,0.711829,1.148111,-4.592445,3.141593
0.050000,5.043256,3.840000,0.210678,0.757753,0.918489,-4.592445,3.141593
0.050000,5.004507,3.840000,0.249427,0.792197,0.688867,-4.592445,3.141593
0.050000,4.964323,3.840000,0.289611,0.815159,0.459244,-4.592445,3.141593
0.050000,4.923278,3.840000,0.330656,0.826640,0.229622,-4.592445,3.141593
0.050000,4.882143,3.840000,0.371791,0.818774,-0.157312,-7.738683,3.141593
0.050000,4.841688,3.840000,0.412246,0.799428,-0.386934,-4.592445,3.141593
0.050000,4.802487,3.840000,0.451447,0.768600,-0.616556,-4.592445,3.141593
0.050000,4.765115,3.840000,0.488819,0.726291,-0.846179,-4.592445,3.141593
0.050000,4.730145,3.840000,0.523789,0.672501,-1.075801,-4.592445,3.141593
0.050000,4.698152,3.840000,0.555783,0.607230,-1.305423,-4.592445,3.141593
0.050000,4.669709,3.840000,0.584225,0.530478,-1.535045,-4.592445,3.141593
0.050000,4.645391,3.840000,0.608543,0.442244,-1.764668,-4.592445,3.141593
0.050000,4.625575,3.840000,0.628359,0.350395,-1.836978,-1.446207,3.141593
0.050000,4.610155,3.840000,0.643779,0.266412,-1.679666,3.146238,3.141593
0.050000,4.598647,3.840000,0.655287,0.193910,-1.450044,4.592445,3.141593
0.050000,4.590477,3.840000,0.663457,0.132889,-1.220422,4.592445,3.141593
0.050000,4.585071,3.840000,0.668863,0.083349,-0.990799,4.592445,3.141593
0.050000,4.581855,3.840000,0.672079,0.045290,-0.761177,4.592445,3.141593
0.050000,4.580255,3.840000,0.673679,0.018712,-0.531555,4.592445,3.141593
0.050000,4.579697,3.840000,0.674238,0.003616,-0.301933,4.592445,3.141593
0.050000,4.579606,3.840000,0.674328,0.000000,-0.072310,4.592445,3.141593
0.050000,4.579606,3.840000,0.674328,0.000000,0.000000,1.446207,3.141593
