dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.387991,3.475109,0.000306,0.012222,0.244444,4.888889,3.141593
0.050000,5.387558,3.475109,0.000739,0.008662,-0.071209,-6.313061,3.141593
0.050000,5.384808,3.475109,0.003489,0.055000,0.926764,19.959456,3.141593
0.050000,5.379919,3.475109,0.008378,0.097778,0.855556,-1.424172,3.141593
0.050000,5.372280,3.475109,0.016016,0.152778,1.100000,4.888889,3.141593
0.050000,5.361280,3.475109,0.027016,0.220000,1.344444,4.888889,3.141593
0.050000,5.346308,3.475109,0.041989,0.299444,1.588889,4.888889,3.141593
0.050000,5.326753,3.475109,0.061544,0.391111,1.833333,4.888889,3.141593
0.050000,5.302003,3.475109,0.086294,0.495000,2.077778,4.888889,3.141593
0.050000,5.271753,3.475109,0.116544,0.605000,2.200000,2.444444,3.141593
0.050000,5.236003,3.475109,0.152294,0.715000,2.200000,0.000000,3.141593
0.050000,5.194753,3.475109,0.193544,0.825000,2.200000,-0.000000,3.141593
0.050000,5.148003,3.475109,0.240294,0.935000,2.200000,0.000000,3.141593
0.050000,5.095753,3.475109,0.292544,1.045000,2.200000,-0.000000,3.141593
0.050000,5.038003,3.475109,0.350294,1.155000,2.200000,0.000000,3.141593
0.050000,4.974753,3.475109,0.413544,1.265000,2.200000,0.000000,3.141593
0.050000,4.906003,3.475109,0.482294,1.375000,2.200000,0.000000,3.141593
0.050000,4.831753,3.475109,0.556544,1.485000,2.200000,-0.000000,3.141593
0.050000,4.752003,3.475109,0.636294,1.595000,2.200000,0.000000,3.141593
0.050000,4.666753,3.475109,0.721544,1.705000,2.200000,0.000000,3.141593
0.050000,4.576308,3.475109,0.811989,1.808889,2.077778,-2.444444,3.141593
0.050000,4.481280,3.475109,0.907016,1.900556,1.833333,-4.888889,3.141593
0.050000,4.382280,3.475109,1.006016,1.980000,1.588889,-4.888889,3.141593
0.050000,4.306249,4.225103,1.759854,15.076745,261.934905,5206.920318,6.282081
0.050000,4.420840,4.223781,1.874452,2.291959,-255.695716,-10352.612420,6.256774
0.050000,4.549558,4.216965,2.003351,2.577980,5.720406,5228.322446,6.198995
0.050000,4.693455,4.198137,2.148474,2.902470,6.489808,15.388030,6.101921
