dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.387991,3.850109,0.000306,0.012222,0.244444,4.888889,3.141593
0.050000,5.387558,3.850109,0.001528,0.036667,0.488889,4.888889,3.141593
0.050000,5.384808,3.850109,0.004278,0.073333,0.733333,4.888889,3.141593
0.050000,5.379919,3.850109,0.009167,0.122222,0.977778,4.888889,3.141593
0.050000,5.372280,3.850109,0.016806,0.183333,1.222222,4.888889,3.141593
0.050000,5.361280,3.850109,0.027806,0.256667,1.466667,4.888889,3.141593
0.050000,5.346308,3.850109,0.042778,0.342222,1.711111,4.888889,3.141593
0.050000,5.326753,3.850109,0.062333,0.440000,1.955556,4.888889,3.141593
0.050000,5.302003,3.850109,0.087083,0.550000,2.200000,4.888889,3.141593
0.050000,5.271753,3.850109,0.117333,0.660000,2.200000,0.000000,3.141593
0.050000,5.236003,3.850109,0.153083,0.770000,2.200000,-0.000000,3.141593
0.050000,5.194753,3.850109,0.194333,0.880000,2.200000,0.000000,3.141593
0.050000,5.148003,3.850109,0.241083,0.990000,2.200000,-0.000000,3.141593
0.050000,5.095753,3.850109,0.293333,1.100000,2.200000,0.000000,3.141593
0.050000,5.038003,3.850109,0.351083,1.210000,2.200000,0.000000,3.141593
0.050000,4.974753,3.850109,0.414333,1.320000,2.200000,0.000000,3.141593
0.050000,4.906003,3.850109,0.483083,1.430000,2.200000,-0.000000,3.141593
0.050000,4.831753,3.850109,0.557333,1.540000,2.200000,0.000000,3.141593
0.050000,4.752003,3.850109,0.637083,1.650000,2.200000,0.000000,3.141593
0.050000,4.666753,3.850109,0.722333,1.760000,2.200000,0.000000,3.141593
0.050000,4.576308,3.850109,0.812778,1.857778,1.955556,-4.888889,3.141593
0.050000,4.481280,3.850109,0.907806,1.943333,1.711111,-4.888889,3.141593
0.050000,4.382280,3.850109,1.006806,2.016667,1.466667,-4.888889,3.141593
0.050000,4.305835,3.850103,1.109167,2.077778,1.222222,-4.888889,6.282081
0.050000,4.410937,3.848912,1.214278,2.126667,0.977778,-4.888889,6.256774
0.050000,4.518024,3.843293,1.321528,2.163333,0.733333,-4.888889,6.198995
0.050000,4.625853,3.829281,1.430306,2.187778,0.488889,-4.888889,6.101921
0.050000,4.732081,3.802300,1.540000,2.200000,0.244444,-4.888889,5.959303
0.050000,4.832666,3.758163,1.650000,2.200000,0.000000,-4.888889,5.774209
0.050000,4.922576,3.695129,1.760000,2.200000,0.000000,0.000000,5.568583
0.050000,4.998026,3.615320,1.870000,2.200000,0.000000,0.000000,5.375310
0.050000,5.059111,3.525123,1.980000,2.200000,0.000000,0.000000,5.284858
0.050000,5.118870,3.432771,2.090000,2.200000,0.000000,0.000000,5.285487
0.050000,5.177829,3.339909,2.200000,2.200000,0.000000,0.000000,5.267560
0.050000,5.234218,3.245468,2.310000,2.200000,0.000000,0.000000,5.230498
0.050000,5.286102,3.148490,2.420000,2.200000,0.000000,0.000000,5.173394
0.050000,5.331332,3.048250,2.530000,2.200000,0.000000,0.000000,5.095675
0.050000,5.367597,2.944446,2.640000,2.200000,0.000000,0.000000,4.998243
0.050000,5.392685,2.837406,2.750000,2.200000,0.000000,0.000000,4.884793
0.050000,5.404923,2.728158,2.860000,2.200000,0.000000,0.000000,4.762317
0.050000,5.403765,2.618912,2.970000,2.200000,0.000000,0.000000,4.649341
0.050000,5.392999,2.509463,3.080000,2.200000,0.000000,0.000000,4.578539
0.050000,5.374273,2.401095,3.190000,2.200000,0.000000,0.000000,4.503369
0.050000,5.347273,2.294489,3.300000,2.200000,0.000000,0.000000,4.424854
0.050000,5.311880,2.190370,3.410000,2.200000,0.000000,0.000000,4.344367
0.050000,5.268197,2.089448,3.520000,2.200000,0.000000,0.000000,4.263514
0.050000,5.217086,1.993282,3.630000,2.200000,0.000000,0.000000,4.181845
0.050000,5.154816,1.902719,3.740000,2.200000,0.000000,0.000000,4.038066
0.050000,5.080367,1.821860,3.850000,2.200000,0.000000,0.000000,3.900697
0.050000,4.996153,1.751192,3.960000,2.200000,0.000000,0.000000,3.782916
0.050000,4.905004,1.689682,4.070000,2.200000,0.000000,0.000000,3.692398
0.050000,4.809439,1.635243,4.180000,2.200000,0.000000,0.000000,3.631268
0.050000,4.711426,1.585318,4.290000,2.200000,0.000000,0.000000,3.598843
0.050000,4.612501,1.537216,4.400000,2.200000,0.000000,0.000000,3.594075
0.050000,4.514012,1.488233,4.510000,2.200000,0.000000,0.000000,3.616775
0.050000,4.418705,1.436490,4.620000,2.200000,0.000000,0.000000,3.656744
0.050000,4.321950,1.384175,4.730000,2.200000,0.000000,0.000000,3.618196
0.050000,4.223313,1.335497,4.840000,2.200000,0.000000,0.000000,3.582349
0.050000,4.123061,1.290238,4.950000,2.200000,0.000000,0.000000,3.549473
0.050000,4.021440,1.248139,5.060000,2.200000,0.000000,0.000000,3.519767
0.050000,3.918678,1.208907,5.170000,2.200000,0.000000,0.000000,3.493363
0.050000,3.814976,1.172227,5.280000,2.200000,0.000000,0.000000,3.470340
0.050000,3.710515,1.137765,5.390000,2.200000,0.000000,0.000000,3.450737
0.050000,3.605455,1.105177,5.500000,2.200000,0.000000,0.000000,3.434565
0.050000,3.499933,1.074111,5.610000,2.200000,0.000000,0.000000,3.421815
0.050000,3.394075,1.044213,5.720000,2.200000,0.000000,0.000000,3.412471
0.050000,3.287991,1.015125,5.830000,2.200000,0.000000,0.000000,3.406517
0.050000,3.181783,0.986489,5.940000,2.200000,0.000000,0.000000,3.403939
0.050000,3.075550,0.957949,6.050000,2.200000,0.000000,0.000000,3.404731
0.050000,2.971952,0.929919,6.160000,2.200000,0.000000,0.000000,3.403304
0.050000,2.865448,0.902414,6.270000,2.200000,0.000000,0.000000,3.385420
0.050000,2.758475,0.876792,6.380000,2.200000,0.000000,0.000000,3.368029
0.050000,2.651079,0.853007,6.490000,2.200000,0.000000,0.000000,3.351159
0.050000,2.543302,0.831007,6.600000,2.200000,0.000000,0.000000,3.334837
0.050000,2.435187,0.810738,6.710000,2.200000,0.000000,0.000000,3.319085
0.050000,2.326771,0.792143,6.820000,2.200000,0.000000,0.000000,3.303924
0.050000,2.218091,0.775161,6.930000,2.200000,0.000000,0.000000,3.289369
0.050000,2.109180,0.759729,7.040000,2.200000,0.000000,0.000000,3.275436
0.050000,2.000068,0.745782,7.150000,2.200000,0.000000,0.000000,3.262135
0.050000,1.890830,0.733257,7.259955,2.198190,-0.036198,-0.723966,3.249481
0.050000,1.781840,0.722117,7.369513,2.184158,-0.280643,-4.888889,3.237518
0.050000,1.673731,0.712332,7.478065,2.157904,-0.525087,-4.888889,3.226305
0.050000,1.567135,0.703845,7.584998,2.119427,-0.769532,-4.888889,3.215885
0.050000,1.462684,0.696580,7.689702,2.068728,-1.013976,-4.888889,3.206286
0.050000,1.361006,0.690445,7.791566,2.005807,-1.258421,-4.888889,3.197523
0.050000,1.262727,0.685337,7.889977,1.930664,-1.502865,-4.888889,3.189594
0.050000,1.168471,0.681149,7.984326,1.843298,-1.747309,-4.888889,3.182489
0.050000,1.078860,0.677768,8.074002,1.743711,-1.991754,-4.888889,3.176185
0.050000,0.994467,0.675084,8.158437,1.633711,-2.200000,-4.164923,3.170648
0.050000,0.915560,0.672984,8.237373,1.523711,-2.200000,-0.000000,3.165821
0.050000,0.842142,0.671360,8.310808,1.413711,-2.200000,0.000000,3.161633
0.050000,0.774218,0.670123,8.378744,1.303711,-2.200000,0.000000,3.158018
0.050000,0.711789,0.669196,8.441179,1.193711,-2.200000,0.000000,3.154914
