dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.387991,4.225109,0.000306,0.012222,0.244444,4.888889,3.141593
0.050000,5.387558,4.225109,0.000739,0.008662,-0.071209,-6.313061,3.141593
0.050000,5.384808,4.225109,0.003489,0.055000,0.926764,19.959456,3.141593
0.050000,5.379919,4.225109,0.008378,0.097778,0.855556,-1.424172,3.141593
0.050000,5.372280,4.225109,0.016016,0.152778,1.100000,4.888889,3.141593
0.050000,5.361280,4.225109,0.027016,0.220000,1.344444,4.888889,3.141593
0.050000,5.346308,4.225109,0.041989,0.299444,1.588889,4.888889,3.141593
0.050000,5.326753,4.225109,0.061544,0.391111,1.833333,4.888889,3.141593
0.050000,5.302003,4.225109,0.086294,0.495000,2.077778,4.888889,3.141593
0.050000,5.271753,4.225109,0.116544,0.605000,2.200000,2.444444,3.141593
0.050000,5.236003,4.225109,0.152294,0.715000,2.200000,0.000000,3.141593
0.050000,5.194753,4.225109,0.193544,0.825000,2.200000,-0.000000,3.141593
0.050000,5.148003,4.225109,0.240294,0.935000,2.200000,0.000000,3.141593
0.050000,5.095753,4.225109,0.292544,1.045000,2.200000,-0.000000,3.141593
0.050000,5.038003,4.225109,0.350294,1.155000,2.200000,0.000000,3.141593
0.050000,4.974753,4.225109,0.413544,1.265000,2.200000,0.000000,3.141593
0.050000,4.906003,4.225109,0.482294,1.375000,2.200000,0.000000,3.141593
0.050000,4.831753,4.225109,0.556544,1.485000,2.200000,-0.000000,3.141593
0.050000,4.752003,4.225109,0.636294,1.595000,2.200000,0.000000,3.141593
0.050000,4.666753,4.225109,0.721544,1.705000,2.200000,0.000000,3.141593
0.050000,4.576308,4.225109,0.811989,1.808889,2.077778,-2.444444,3.141593
0.050000,4.481280,4.225109,0.907016,1.900556,1.833333,-4.888889,3.141593
0.050000,4.382280,4.225109,1.006016,1.980000,1.588889,-4.888889,3.141593
0.050000,4.305421,3.475103,1.759951,15.078684,261.973680,5207.695825,6.282081
0.050000,4.401034,3.474043,1.855569,1.912371,-263.326253,-10505.998655,6.256774
0.050000,4.486491,3.469622,1.941140,1.711423,-4.018977,5186.145503,6.198995
0.050000,4.558250,3.460425,2.013487,1.446935,-5.289759,-25.415637,6.101921
0.050000,4.612738,3.446797,2.069653,1.123316,-6.472367,-23.652151,5.959303
0.050000,4.649935,3.430697,2.110185,0.810635,-6.253627,4.374790,5.774209
0.050000,4.676832,3.411871,2.143016,0.656620,-3.080298,63.466588,5.568583
0.050000,4.702452,3.384536,2.180480,0.749287,1.853333,98.672612,5.375310
0.050000,4.743898,3.321982,2.255519,1.500781,15.029883,263.531002,5.284858
0.050000,4.803785,3.229432,2.365755,2.204720,14.078794,-19.021782,5.285487
0.050000,4.859151,3.142250,2.469031,2.065521,-2.783989,-337.255661,5.267560
0.050000,4.908434,3.059754,2.565127,1.921924,-2.871939,-1.758998,5.230498
0.050000,4.950250,2.981672,2.653701,1.771476,-3.008949,-2.740201,5.173394
0.050000,4.983542,2.908011,2.734536,1.616702,-3.095494,-1.730900,5.095675
0.050000,5.007814,2.838705,2.807970,1.468675,-2.960532,2.699248,4.998243
0.050000,5.023244,2.773074,2.875390,1.348404,-2.405422,11.102205,4.884793
0.050000,5.030390,2.709443,2.939421,1.280623,-1.355624,20.995950,4.762317
0.050000,5.029510,2.642539,3.006330,1.338184,1.151230,50.137082,4.649341
0.050000,5.021353,2.559507,3.089762,1.668636,6.609029,109.155986,4.578539
0.050000,5.007435,2.478908,3.171554,1.635844,-0.655839,-145.297369,4.503369
0.050000,4.987669,2.400836,3.252090,1.610719,-0.502504,3.066714,4.424854
0.050000,4.961989,2.325284,3.331886,1.595919,-0.295996,4.130151,4.344367
0.050000,4.930346,2.252181,3.411545,1.593165,-0.055082,4.818275,4.263514
0.050000,4.893637,2.183033,3.489833,1.565760,-0.548101,-9.860375,4.181845
0.050000,4.861893,2.136858,3.545867,1.120686,-8.901482,-167.067611,4.038066
0.050000,4.822265,2.093905,3.604307,1.168810,0.962488,197.279391,3.900697
0.050000,4.771807,2.051682,3.670101,1.315876,2.941314,39.576521,3.782916
0.050000,4.708739,2.009220,3.746131,1.520598,4.094452,23.062765,3.692398
0.050000,4.633061,1.966175,3.833194,1.741259,4.413216,6.375273,3.631268
0.050000,4.545870,1.921794,3.931030,1.956721,4.309243,-2.079456,3.598843
0.050000,4.448551,1.874478,4.039242,2.164243,4.150425,-3.176354,3.594075
0.050000,4.342450,1.821686,4.157752,2.370194,4.119031,-0.627879,3.616775
0.050000,4.233955,1.762822,4.281186,2.468684,1.969798,-42.984660,3.656744
0.050000,4.149913,1.717385,4.376725,1.910773,-11.158213,-262.560225,3.618196
0.050000,4.063329,1.674658,4.473277,1.931043,0.405388,231.272023,3.582349
0.050000,3.974312,1.634474,4.570944,1.953345,0.446048,0.813185,3.549473
0.050000,3.882981,1.596641,4.669801,1.977130,0.475696,0.592966,3.519767
0.050000,3.789468,1.560943,4.769896,2.001910,0.495603,0.398139,3.493363
0.050000,3.693904,1.527144,4.871260,2.027284,0.507486,0.237654,3.470340
0.050000,3.596424,1.494988,4.973908,2.052947,0.513245,0.115193,3.450737
0.050000,3.497155,1.464198,5.077842,2.078683,0.514720,0.029506,3.434565
0.050000,3.396220,1.434484,5.183060,2.104360,0.513556,-0.023296,3.421815
0.050000,3.293733,1.405539,5.289556,2.129917,0.511124,-0.048643,3.412471
0.050000,3.189802,1.377042,5.397323,2.155341,0.508497,-0.052541,3.406517
0.050000,3.084528,1.348658,5.506356,2.180664,0.506441,-0.041105,3.403939
0.050000,2.978009,1.320041,5.616653,2.205936,0.505440,-0.020018,3.404731
0.050000,2.874927,1.292150,5.723441,2.135763,-1.403445,-38.177709,3.403304
0.050000,2.774916,1.266322,5.826733,2.065842,-1.398425,0.100395,3.385420
0.050000,2.674285,1.242219,5.930210,2.069539,0.073931,29.447127,3.368029
0.050000,2.573065,1.219802,6.033883,2.073453,0.078294,0.087269,3.351159
0.050000,2.471286,1.199027,6.137761,2.077561,0.082161,0.077329,3.334837
0.050000,2.368976,1.179847,6.241853,2.081841,0.085587,0.068524,3.319085
0.050000,2.266164,1.162213,6.346166,2.086268,0.088549,0.059239,3.303924
0.050000,2.162876,1.146074,6.450707,2.090822,0.091083,0.050676,3.289369
0.050000,2.059138,1.131376,6.555481,2.095482,0.093197,0.042290,3.275436
0.050000,1.954974,1.118061,6.660493,2.100229,0.094937,0.034785,3.262135
0.050000,1.850450,1.106076,6.765702,2.104178,0.078979,-0.319158,3.249481
0.050000,1.745923,1.095393,6.870774,2.101438,-0.054807,-2.675718,3.237518
