dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.379949,4.675000,0.000302,0.012093,0.241863,4.837260,0.000135
0.050000,1.380201,4.675000,0.000554,0.005033,-0.141200,-7.661265,6.283160
0.050000,1.383057,4.674999,0.003409,0.057108,1.041492,23.653836,6.282802
0.050000,1.388131,4.674996,0.008484,0.101484,0.887518,-3.079467,6.282170
0.050000,1.396054,4.674984,0.016407,0.158463,1.139579,5.041215,6.281197
0.050000,1.407452,4.674953,0.027805,0.227960,1.389946,5.007332,6.279826
0.050000,1.422944,4.674887,0.043297,0.309849,1.637793,4.956943,6.278017
0.050000,1.443142,4.674760,0.063495,0.403956,1.882130,4.886742,6.275753
0.050000,1.468643,4.674535,0.088997,0.510046,2.121802,4.793437,6.273050
0.050000,1.499718,4.674172,0.120075,0.621553,2.230129,2.166558,6.269991
0.050000,1.536312,4.673629,0.156673,0.731957,2.208087,-0.440844,6.266723
0.050000,1.578358,4.672865,0.198726,0.841059,2.182051,-0.520717,6.263420
0.050000,1.625780,4.671851,0.246159,0.948661,2.152034,-0.600346,6.260282
0.050000,1.678493,4.670567,0.298887,1.054564,2.118048,-0.679731,6.257536
0.050000,1.736401,4.669016,0.356815,1.158568,2.080097,-0.759020,6.255434
0.050000,1.799399,4.667224,0.419839,1.260477,2.038172,-0.838496,6.254256
0.050000,1.867375,4.665251,0.487844,1.360089,1.992243,-0.918577,6.254308
0.050000,1.940206,4.663196,0.560704,1.457202,1.942258,-0.999697,6.255923
0.050000,2.017761,4.661206,0.638284,1.551610,1.888154,-1.082074,6.259462
0.050000,2.099898,4.659483,0.720439,1.643104,1.829890,-1.165290,6.265314
0.050000,2.186174,4.658292,0.806723,1.725680,1.651522,-3.567357,6.273861
0.050000,2.275857,4.657954,0.896407,1.793668,1.359753,-5.835381,0.002250
0.050000,2.368226,4.658825,0.988780,1.847464,1.075923,-5.676591,0.017131
0.050000,2.462572,4.661284,1.083159,1.887575,0.802210,-5.474278,0.035531
0.050000,2.558201,4.665712,1.178890,1.914629,0.541093,-5.222322,0.057578
0.050000,2.654434,4.672473,1.275360,1.929394,0.295288,-4.916107,0.083299
0.050000,2.738895,4.681730,1.360327,1.699335,-4.601173,-97.929219,0.138896
0.050000,2.825742,4.696369,1.448399,1.761444,1.242189,116.867243,0.193437
0.050000,2.914967,4.716079,1.539775,1.827527,1.321646,1.589137,0.239649
0.050000,3.006022,4.740214,1.633974,1.883985,1.129155,-3.849828,0.276871
0.050000,3.098402,4.767956,1.730430,1.929115,0.902610,-4.530901,0.305001
0.050000,3.191584,4.798359,1.828446,1.960321,0.624117,-5.569845,0.324280
0.050000,3.285036,4.830411,1.927242,1.975912,0.311825,-6.245853,0.335176
0.050000,3.378210,4.863093,2.025981,1.974791,-0.022432,-6.685140,0.338304
0.050000,3.470518,4.895425,2.123789,1.956147,-0.372863,-7.008610,0.334387
0.050000,3.561308,4.926504,2.219751,1.919241,-0.738131,-7.305370,0.324245
0.050000,3.649831,4.955542,2.312915,1.863277,-1.119282,-7.623022,0.308808
0.050000,3.735357,4.981937,2.402421,1.790129,-1.462950,-6.873356,0.289086
0.050000,3.817381,5.005338,2.487718,1.705938,-1.683830,-4.417589,0.266076
0.050000,3.895532,5.025599,2.568452,1.614681,-1.825136,-2.826118,0.240721
0.050000,3.969407,5.042707,2.644283,1.516613,-1.961365,-2.724588,0.213930
0.050000,4.038598,5.056764,2.714887,1.412081,-2.090642,-2.585545,0.186565
0.050000,4.102703,5.067975,2.779965,1.301559,-2.210422,-2.395588,0.159424
0.050000,4.161351,5.076625,2.839247,1.185651,-2.318176,-2.155094,0.133227
0.050000,4.214214,5.083053,2.892500,1.065053,-2.411957,-1.875604,0.108600
0.050000,4.261017,5.087626,2.939525,0.940509,-2.490875,-1.578363,0.086067
0.050000,4.301537,5.090715,2.980164,0.812765,-2.554880,-1.280113,0.066055
0.050000,4.335607,5.092676,3.014289,0.682510,-2.605100,-1.004397,0.048900
0.050000,4.363254,5.093834,3.041961,0.553443,-2.581346,0.475091,0.034775
0.050000,4.384926,5.094467,3.063642,0.433619,-2.396480,3.697309,0.023583
0.050000,4.401320,5.094784,3.080039,0.327943,-2.113516,5.659283,0.015052
0.050000,4.413158,5.094925,3.091878,0.236780,-1.823261,5.805098,0.008858
0.050000,4.421177,5.094979,3.099897,0.160366,-1.528278,5.899660,0.004647
0.050000,4.426119,5.094996,3.104839,0.098851,-1.230309,5.959392,0.002046
0.050000,4.428735,5.095000,3.107456,0.052329,-0.930427,5.997630,0.000667
0.050000,4.429778,5.095000,3.108498,0.020852,-0.629551,6.017516,0.000117
0.050000,4.430000,5.095000,3.108720,0.004439,-0.328260,6.025820,6.283185
0.050000,4.430000,5.095000,3.108720,0.000000,-0.088773,4.789750,6.283185
