dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380000,4.300000,0.000302,0.012093,0.241863,4.837260,0.000135
0.050000,1.380192,4.300000,0.001512,0.036279,0.483726,4.837260,6.283160
0.050000,1.382913,4.299999,0.004233,0.072559,0.725589,4.837260,6.282802
0.050000,1.387750,4.299996,0.009070,0.120932,0.967452,4.837260,6.282170
0.050000,1.395308,4.299985,0.016628,0.181397,1.209315,4.837260,6.281197
0.050000,1.406192,4.299956,0.027512,0.253956,1.451178,4.837260,6.279826
0.050000,1.421006,4.299892,0.042326,0.338608,1.693041,4.837260,6.278017
0.050000,1.440354,4.299770,0.061675,0.435353,1.934904,4.837260,6.275753
0.050000,1.464842,4.299555,0.086164,0.544192,2.176767,4.837260,6.273050
0.050000,1.494771,4.299205,0.116094,0.653030,2.176767,0.000000,6.269991
0.050000,1.530139,4.298679,0.151467,0.761868,2.176767,-0.000000,6.266723
0.050000,1.570947,4.297938,0.192281,0.870707,2.176767,0.000000,6.263420
0.050000,1.617193,4.296949,0.238537,0.979545,2.176767,-0.000000,6.260282
0.050000,1.668875,4.295691,0.290236,1.088384,2.176767,0.000000,6.257536
0.050000,1.725995,4.294161,0.347376,1.197222,2.176767,0.000000,6.255434
0.050000,1.788552,4.292381,0.409958,1.306060,2.176767,0.000000,6.254256
0.050000,1.856547,4.290407,0.477982,1.414899,2.176767,-0.000000,6.254308
0.050000,1.929984,4.288336,0.551448,1.523737,2.176767,0.000000,6.255923
0.050000,2.008866,4.286312,0.630355,1.632575,2.176767,0.000000,6.259462
0.050000,2.093197,4.284543,0.714705,1.741414,2.176767,0.000000,6.265314
0.050000,2.182677,4.283308,0.804195,1.838159,1.934904,-4.837260,6.273861
0.050000,2.276700,4.282955,0.898219,1.922811,1.693041,-4.837260,0.002250
0.050000,2.374649,4.283880,0.996173,1.995370,1.451178,-4.837260,0.017131
0.050000,2.475894,4.286521,1.097453,2.055836,1.209315,-4.837260,0.035531
0.050000,2.579781,4.291334,1.201455,2.104208,0.967452,-4.837260,0.057578
0.050000,2.685635,4.298774,1.307572,2.140488,0.725589,-4.837260,0.083299
0.050000,2.790813,4.310341,1.415201,2.164674,0.483726,-4.837260,0.138896
0.050000,2.897829,4.328363,1.523737,2.176767,0.241863,-4.837260,0.193437
0.050000,3.003978,4.351796,1.632451,2.171794,-0.099456,-6.826381,0.239649
0.050000,3.108527,4.379496,1.740614,2.154728,-0.341319,-4.837260,0.276871
0.050000,3.211012,4.410264,1.847622,2.125569,-0.583182,-4.837260,0.305001
0.050000,3.311069,4.442904,1.952869,2.084317,-0.825045,-4.837260,0.324280
0.050000,3.408387,4.476279,2.055751,2.030972,-1.066908,-4.837260,0.335176
0.050000,3.502668,4.509348,2.155664,1.965533,-1.308771,-4.837260,0.338304
0.050000,3.593590,4.541195,2.252002,1.888001,-1.550634,-4.837260,0.334387
0.050000,3.680781,4.571045,2.344161,1.798376,-1.792497,-4.837260,0.324245
0.050000,3.763802,4.598281,2.431537,1.696658,-2.034360,-4.837260,0.308808
0.050000,3.842261,4.622497,2.513649,1.587820,-2.176767,-2.848140,0.289086
0.050000,3.915987,4.643534,2.590319,1.478982,-2.176767,-0.000000,0.266076
0.050000,3.984933,4.661412,2.661547,1.370143,-2.176767,0.000000,0.240721
0.050000,4.049020,4.676255,2.727334,1.261305,-2.176767,0.000000,0.213930
0.050000,4.108154,4.688271,2.787678,1.152467,-2.176767,0.000000,0.186565
0.050000,4.162234,4.697731,2.842580,1.043628,-2.176767,-0.000000,0.159424
0.050000,4.211164,4.704948,2.892041,0.934790,-2.176767,0.000000,0.133227
0.050000,4.254859,4.710262,2.936059,0.825952,-2.176767,-0.000000,0.108600
0.050000,4.293252,4.714014,2.974636,0.717113,-2.176767,0.000000,0.086067
0.050000,4.326290,4.716533,3.007771,0.608275,-2.176767,-0.000000,0.066055
0.050000,4.353937,4.718125,3.035463,0.499437,-2.176767,0.000000,0.048900
0.050000,4.376292,4.719061,3.057839,0.395571,-2.077311,1.989120,0.034775
0.050000,4.393769,4.719571,3.075323,0.303799,-1.835448,4.837260,0.023583
0.050000,4.406964,4.719826,3.088521,0.224119,-1.593585,4.837260,0.015052
0.050000,4.416480,4.719940,3.098037,0.156533,-1.351722,4.837260,0.008858
0.050000,4.422919,4.719984,3.104476,0.101040,-1.109859,4.837260,0.004647
0.050000,4.426886,4.719997,3.108443,0.057641,-0.867996,4.837260,0.002046
0.050000,4.428986,4.720000,3.110543,0.026334,-0.626133,4.837260,0.000667
0.050000,4.429822,4.720000,3.111379,0.007120,-0.384270,4.837260,0.000117
0.050000,4.430000,4.720000,3.111557,0.000000,-0.142407,4.837260,6.283185
0.050000,4.430000,4.720000,3.111557,0.000000,0.000000,2.848140,6.283185
