dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380051,3.925000,0.000302,0.012093,0.241863,4.837260,0.000135
0.050000,1.380182,3.925000,0.000434,0.002633,-0.189211,-8.621475,6.283160
0.050000,1.382769,3.924999,0.003020,0.051731,0.981960,23.423424,6.282802
0.050000,1.387369,3.924996,0.007621,0.092007,0.805523,-3.528753,6.282170
0.050000,1.394562,3.924985,0.014814,0.143866,1.037188,4.633302,6.281197
0.050000,1.404932,3.924958,0.025184,0.207394,1.270547,4.667184,6.279826
0.050000,1.419068,3.924897,0.039320,0.282715,1.506426,4.717567,6.278017
0.050000,1.437567,3.924781,0.057820,0.370005,1.745814,4.787762,6.275753
0.050000,1.461042,3.924574,0.081295,0.469499,1.989867,4.881068,6.273050
0.050000,1.489823,3.924238,0.110078,0.575669,2.123401,2.670690,6.269991
0.050000,1.523966,3.923730,0.144225,0.682941,2.145443,0.440839,6.266723
0.050000,1.563536,3.923012,0.183801,0.791515,2.171481,0.520745,6.263420
0.050000,1.608605,3.922048,0.228881,0.901590,2.201500,0.600384,6.260282
0.050000,1.659258,3.920814,0.279549,1.013365,2.235489,0.679782,6.257536
0.050000,1.715590,3.919305,0.335901,1.127037,2.273442,0.759065,6.255434
0.050000,1.777705,3.917538,0.398041,1.242805,2.315368,0.838515,6.254256
0.050000,1.845720,3.915564,0.466084,1.360870,2.361294,0.918526,6.254308
0.050000,1.919762,3.913475,0.540156,1.481433,2.411270,0.999512,6.255923
0.050000,1.999970,3.911417,0.620391,1.604701,2.465353,1.081667,6.259462
0.050000,2.086495,3.909603,0.706935,1.730880,2.523581,1.164553,6.265314
0.050000,2.179181,3.908324,0.799629,1.853881,2.460027,-1.271071,6.273861
0.050000,2.277544,3.907956,0.897993,1.967281,2.267990,-3.840744,0.002250
0.050000,2.381073,3.908935,1.001527,2.070680,2.067992,-3.999964,0.017131
0.050000,2.489215,3.911758,1.109706,2.163574,1.857864,-4.202569,0.035531
0.050000,2.601361,3.916955,1.221972,2.245330,1.635132,-4.454634,0.057578
0.050000,2.716836,3.925074,1.337732,2.315185,1.397097,-4.760705,0.083299
0.050000,2.842732,3.938953,1.464391,2.533187,4.360036,59.258785,0.138896
0.050000,2.969916,3.960357,1.593364,2.579458,0.925419,-68.692344,0.193437
0.050000,3.092989,3.987513,1.719396,2.520647,-1.176217,-42.032720,0.239649
0.050000,3.211033,4.018778,1.841511,2.442288,-1.567181,-7.819277,0.276871
0.050000,3.323623,4.052571,1.959063,2.351041,-1.824933,-5.155031,0.305001
0.050000,3.430554,4.087448,2.071538,2.249500,-2.030823,-4.117801,0.324280
0.050000,3.531737,4.122146,2.178505,2.139356,-2.202877,-3.441086,0.335176
0.050000,3.627125,4.155604,2.279591,2.021712,-2.352875,-2.999953,0.338304
0.050000,3.716661,4.186966,2.374460,1.897385,-2.486557,-2.673650,0.334387
0.050000,3.800253,4.215586,2.462816,1.767121,-2.605267,-2.374187,0.324245
0.050000,3.877774,4.241020,2.544403,1.631724,-2.707955,-2.053758,0.308808
0.050000,3.949164,4.263058,2.619117,1.494296,-2.748548,-0.811864,0.289086
0.050000,4.014592,4.281730,2.687157,1.360796,-2.669995,1.571064,0.266076
0.050000,4.074334,4.297225,2.748876,1.234368,-2.528574,2.828419,0.240721
0.050000,4.128634,4.309804,2.804613,1.114757,-2.392218,2.727113,0.213930
0.050000,4.177711,4.319778,2.854694,1.001616,-2.262823,2.587904,0.186565
0.050000,4.221765,4.327486,2.899418,0.894468,-2.142956,2.397334,0.159424
0.050000,4.260976,4.333272,2.939053,0.792710,-2.035152,2.156073,0.133227
0.050000,4.295504,4.337471,2.973835,0.695645,-1.941314,1.876764,0.108600
0.050000,4.325487,4.340402,3.003961,0.602522,-1.862451,1.577258,0.086067
0.050000,4.351043,4.342351,3.029592,0.512602,-1.798403,1.280964,0.066055
0.050000,4.372267,4.343573,3.050851,0.425187,-1.748302,1.002021,0.048900
0.050000,4.389330,4.344288,3.067929,0.341556,-1.672605,1.513942,0.034775
0.050000,4.402612,4.344676,3.081216,0.265748,-1.516171,3.128678,0.023583
0.050000,4.412609,4.344869,3.091215,0.199972,-1.315514,4.013142,0.015052
0.050000,4.419802,4.344955,3.098408,0.143872,-1.122005,3.870171,0.008858
0.050000,4.424662,4.344988,3.103269,0.097209,-0.933269,3.774731,0.004647
0.050000,4.427653,4.344998,3.106260,0.059829,-0.747588,3.713616,0.002046
0.050000,4.429236,4.345000,3.107842,0.031645,-0.563689,3.677984,0.000667
0.050000,4.429866,4.345000,3.108473,0.012604,-0.380809,3.657591,0.000117
0.050000,4.430000,4.345000,3.108607,0.002683,-0.198432,3.647546,6.283185
0.050000,4.430000,4.345000,3.108607,0.000000,-0.053653,2.895578,6.283185
