dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.379834,4.377000,0.000306,0.012222,0.244444,4.888889,0.000442
0.050000,1.379904,4.377000,0.000375,0.001391,-0.216618,-9.221253,0.000257
0.050000,1.381117,4.377000,0.001589,0.024273,0.457643,13.485221,6.283025
0.050000,1.386284,4.376997,0.006755,0.103324,1.581009,22.467321,6.282286
0.050000,1.394354,4.376985,0.014826,0.161412,1.161762,-8.384928,6.281134
0.050000,1.405972,4.376952,0.026444,0.232365,1.419060,5.145951,6.279486
0.050000,1.421779,4.376876,0.042251,0.316145,1.675592,5.130634,6.277259
0.050000,1.442414,4.376724,0.062886,0.412697,1.931055,5.109272,6.274381
0.050000,1.468510,4.376447,0.088983,0.521951,2.185069,5.080265,6.270787
0.050000,1.500375,4.375983,0.120852,0.637377,2.308533,2.469294,6.266470
0.050000,1.537991,4.375260,0.158475,0.752461,2.301673,-0.137203,6.261475
0.050000,1.581335,4.374196,0.201832,0.867137,2.293511,-0.163240,6.255857
0.050000,1.630379,4.372703,0.250899,0.981337,2.283998,-0.190253,6.249679
0.050000,1.685092,4.370686,0.305649,1.094993,2.273131,-0.217349,6.243012
0.050000,1.745436,4.368045,0.366051,1.208037,2.260872,-0.245177,6.235941
0.050000,1.811370,4.364681,0.432071,1.320399,2.247237,-0.272701,6.228554
0.050000,1.882848,4.360497,0.503671,1.432010,2.232222,-0.300302,6.220952
0.050000,1.959820,4.355400,0.580811,1.542802,2.215838,-0.327672,6.213245
0.050000,2.042230,4.349304,0.663446,1.652707,2.198114,-0.354484,6.205550
0.050000,2.130021,4.342136,0.751530,1.761661,2.179077,-0.380737,6.197994
0.050000,2.222819,4.333866,0.844695,1.863314,2.033061,-2.920322,6.190737
0.050000,2.319942,4.324522,0.942266,1.951424,1.762193,-5.417367,6.183954
0.050000,2.420717,4.314168,1.043572,2.026111,1.493749,-5.368874,6.177805
0.050000,2.524483,4.302902,1.147948,2.087517,1.228109,-5.312803,6.172432
0.050000,2.630590,4.290853,1.254738,2.135796,0.965581,-5.250552,6.167956
0.050000,2.738403,4.278174,1.363293,2.171116,0.706401,-5.183617,6.164473
0.050000,2.847297,4.265042,1.472976,2.193653,0.450743,-5.113143,6.162060
0.050000,2.956659,4.251648,1.583156,2.203589,0.198724,-5.040399,6.160767
0.050000,3.065889,4.238191,1.693211,2.201110,-0.049584,-4.966151,6.160619
0.050000,3.174463,4.224860,1.802600,2.187789,-0.266426,-4.336845,6.161618
0.050000,3.281867,4.211845,1.910790,2.163791,-0.479957,-4.270621,6.163744
0.050000,3.387523,4.199326,2.017185,2.127906,-0.717706,-4.754966,6.166952
0.050000,3.490861,4.187472,2.121201,2.080316,-0.951795,-4.681790,6.171173
0.050000,3.591316,4.176426,2.222261,2.021199,-1.182331,-4.610721,6.176315
0.050000,3.688325,4.166302,2.319797,1.950726,-1.409475,-4.542874,6.182262
0.050000,3.781332,4.157187,2.413250,1.869053,-1.633446,-4.479427,6.188877
0.050000,3.869783,4.149133,2.502066,1.776326,-1.854536,-4.421788,6.196005
0.050000,3.953125,4.142157,2.585700,1.672671,-2.073109,-4.371475,6.203474
0.050000,4.031036,4.136229,2.663837,1.562734,-2.198732,-2.512444,6.211120
0.050000,4.103488,4.131275,2.736457,1.452414,-2.206407,-0.153513,6.218808
0.050000,4.170514,4.127207,2.803607,1.342995,-2.188376,0.360619,6.226420
0.050000,4.232148,4.123932,2.865328,1.234411,-2.171684,0.333839,6.233842
0.050000,4.288418,4.121353,2.921657,1.126593,-2.156352,0.306650,6.240974
0.050000,4.339354,4.119372,2.972631,1.019473,-2.142398,0.279075,6.247722
0.050000,4.384979,4.117896,3.018280,0.912982,-2.129827,0.251415,6.254001
0.050000,4.425317,4.116834,3.058633,0.807050,-2.118639,0.223764,6.259739
0.050000,4.460390,4.116101,3.093713,0.701610,-2.108812,0.196547,6.264869
0.050000,4.490216,4.115621,3.123543,0.596592,-2.100351,0.169215,6.269334
0.050000,4.514811,4.115326,3.148139,0.491932,-2.093193,0.143159,6.273087
0.050000,4.534411,4.115158,3.167740,0.392022,-1.998213,1.899598,6.276125
0.050000,4.549539,4.115069,3.182868,0.302558,-1.789283,4.178604,6.278497
0.050000,4.560778,4.115027,3.194107,0.224782,-1.555518,4.675301,6.280274
0.050000,4.568710,4.115008,3.202039,0.158635,-1.322925,4.651863,6.281537
0.050000,4.573913,4.115002,3.207243,0.104079,-1.091134,4.635816,6.282369
0.050000,4.576968,4.115000,3.210297,0.061082,-0.859934,4.624011,6.282859
0.050000,4.578449,4.115000,3.211778,0.029628,-0.629080,4.617080,6.283097
0.050000,4.578934,4.115000,3.212264,0.009707,-0.398422,4.613145,6.283175
0.050000,4.579000,4.115000,3.212330,0.001314,-0.167852,4.611412,0.000000
0.050000,4.579000,4.115000,3.212330,0.000000,-0.026286,2.831305,0.000000
