dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380000,4.002000,0.000306,0.012222,0.244444,4.888889,0.000442
0.050000,1.380000,4.002000,0.001528,0.036667,0.488889,4.888889,0.000257
0.050000,1.381057,4.002000,0.004278,0.073333,0.733333,4.888889,6.283025
0.050000,1.385946,4.001997,0.009167,0.122222,0.977778,4.888889,6.282286
0.050000,1.393585,4.001986,0.016806,0.183333,1.222222,4.888889,6.281134
0.050000,1.404585,4.001954,0.027806,0.256667,1.466667,4.888889,6.279486
0.050000,1.419557,4.001882,0.042778,0.342222,1.711111,4.888889,6.277259
0.050000,1.439112,4.001738,0.062333,0.440000,1.955556,4.888889,6.274381
0.050000,1.463861,4.001476,0.087083,0.550000,2.200000,4.888889,6.270787
0.050000,1.494107,4.001035,0.117333,0.660000,2.200000,0.000000,6.266470
0.050000,1.529851,4.000348,0.153083,0.770000,2.200000,-0.000000,6.261475
0.050000,1.571088,3.999336,0.194333,0.880000,2.200000,0.000000,6.255857
0.050000,1.617817,3.997914,0.241083,0.990000,2.200000,-0.000000,6.249679
0.050000,1.670031,3.995988,0.293333,1.100000,2.200000,0.000000,6.243012
0.050000,1.727726,3.993463,0.351083,1.210000,2.200000,0.000000,6.235941
0.050000,1.790893,3.990241,0.414333,1.320000,2.200000,0.000000,6.228554
0.050000,1.859526,3.986223,0.483083,1.430000,2.200000,-0.000000,6.220952
0.050000,1.933613,3.981317,0.557333,1.540000,2.200000,0.000000,6.213245
0.050000,2.013146,3.975433,0.637083,1.650000,2.200000,0.000000,6.205550
0.050000,2.098113,3.968496,0.722333,1.760000,2.200000,0.000000,6.197994
0.050000,2.188200,3.960467,0.812778,1.857778,1.955556,-4.888889,6.190737
0.050000,2.282791,3.951367,0.907806,1.943333,1.711111,-4.888889,6.183954
0.050000,2.381272,3.941249,1.006806,2.016667,1.466667,-4.888889,6.177805
0.050000,2.483035,3.930200,1.109167,2.077778,1.222222,-4.888889,6.172432
0.050000,2.587475,3.918339,1.214278,2.126667,0.977778,-4.888889,6.167956
0.050000,2.693991,3.905813,1.321528,2.163333,0.733333,-4.888889,6.164473
0.050000,2.801986,3.892790,1.430306,2.187778,0.488889,-4.888889,6.162060
0.050000,2.910867,3.879455,1.540000,2.200000,0.244444,-4.888889,6.160767
0.050000,3.020042,3.866004,1.650000,2.200000,0.000000,-4.888889,6.160619
0.050000,3.128988,3.852628,1.759764,2.190565,-0.188705,-3.774091,6.161618
0.050000,3.237183,3.839516,1.868751,2.168907,-0.433149,-4.888889,6.163744
0.050000,3.344034,3.826857,1.976349,2.135028,-0.677593,-4.888889,6.166952
0.050000,3.448945,3.814822,2.081948,2.088926,-0.922038,-4.888889,6.171173
0.050000,3.551316,3.803565,2.184936,2.030602,-1.166482,-4.888889,6.176315
0.050000,3.650543,3.793210,2.284703,1.960055,-1.410927,-4.888889,6.182262
0.050000,3.746019,3.783854,2.380636,1.877287,-1.655371,-4.888889,6.188877
0.050000,3.837131,3.775557,2.472126,1.782296,-1.899816,-4.888889,6.196005
0.050000,3.923265,3.768348,2.558560,1.675083,-2.144260,-4.888889,6.203474
0.050000,4.004035,3.762202,2.639564,1.565083,-2.200000,-1.114798,6.211120
0.050000,4.079363,3.757052,2.715069,1.455083,-2.200000,0.000000,6.218808
0.050000,4.149239,3.752811,2.785073,1.345083,-2.200000,-0.000000,6.226420
0.050000,4.213652,3.749389,2.849577,1.235083,-2.200000,0.000000,6.233842
0.050000,4.272594,3.746687,2.908581,1.125083,-2.200000,0.000000,6.240974
0.050000,4.326057,3.744608,2.962085,1.015083,-2.200000,0.000000,6.247722
0.050000,4.374036,3.743056,3.010089,0.905083,-2.200000,-0.000000,6.254001
0.050000,4.416526,3.741937,3.052594,0.795083,-2.200000,0.000000,6.259739
0.050000,4.453522,3.741164,3.089598,0.685083,-2.200000,0.000000,6.264869
0.050000,4.485022,3.740657,3.121102,0.575083,-2.200000,0.000000,6.269334
0.050000,4.511024,3.740346,3.147106,0.465083,-2.200000,-0.000000,6.273087
0.050000,4.531763,3.740168,3.167846,0.364518,-2.011295,3.774091,6.276125
0.050000,4.547780,3.740073,3.183863,0.276176,-1.766851,4.888889,6.278497
0.050000,4.559686,3.740028,3.195769,0.200055,-1.522407,4.888889,6.280274
0.050000,4.568091,3.740009,3.204174,0.136157,-1.277962,4.888889,6.281537
0.050000,4.573607,3.740002,3.209690,0.084481,-1.033518,4.888889,6.282369
0.050000,4.576845,3.740000,3.212928,0.045028,-0.789073,4.888889,6.282859
0.050000,4.578416,3.740000,3.214499,0.017796,-0.544629,4.888889,6.283097
0.050000,4.578930,3.740000,3.215013,0.002787,-0.300184,4.888889,6.283175
0.050000,4.579000,3.740000,3.215083,0.000000,-0.055740,4.888889,0.000000
0.050000,4.579000,3.740000,3.215083,0.000000,0.000000,1.114798,0.000000
