dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380166,3.627000,0.000306,0.012222,0.244444,4.888889,0.000442
0.050000,1.380096,3.627000,0.000375,0.001391,-0.216618,-9.221253,0.000257
0.050000,1.380997,3.627000,0.001276,0.018020,0.332572,10.983800,6.283025
0.050000,1.385609,3.626997,0.005888,0.092231,1.484230,23.033167,6.282286
0.050000,1.392816,3.626987,0.013095,0.144144,1.038244,-8.919727,6.281134
0.050000,1.403198,3.626957,0.023477,0.207635,1.269829,4.631703,6.279486
0.050000,1.417335,3.626889,0.037614,0.282744,1.502180,4.647021,6.277259
0.050000,1.435810,3.626753,0.056090,0.369525,1.735611,4.668615,6.274381
0.050000,1.459212,3.626505,0.079492,0.468048,1.970473,4.697240,6.270787
0.050000,1.487840,3.626088,0.108124,0.572622,2.091474,2.420023,6.266470
0.050000,1.521710,3.625436,0.142000,0.677537,2.098307,0.136670,6.261475
0.050000,1.560842,3.624476,0.181143,0.782861,2.106475,0.163352,6.255857
0.050000,1.605254,3.623124,0.225576,0.888660,2.115980,0.190109,6.249679
0.050000,1.654970,3.621291,0.275327,0.995003,2.126859,0.217578,6.243012
0.050000,1.710016,3.618882,0.330425,1.101958,2.139106,0.244925,6.235941
0.050000,1.770417,3.615800,0.390904,1.209596,2.152744,0.272762,6.228554
0.050000,1.836203,3.611949,0.456804,1.317984,2.167763,0.300376,6.220952
0.050000,1.907407,3.607234,0.528163,1.427191,2.184146,0.327668,6.213245
0.050000,1.984062,3.601563,0.605027,1.537285,2.201875,0.354586,6.205550
0.050000,2.066205,3.594856,0.687444,1.648331,2.220918,0.380862,6.197994
0.050000,2.153581,3.587069,0.775167,1.754456,2.122498,-1.968399,6.190737
0.050000,2.245640,3.578212,0.867651,1.849680,1.904486,-4.360254,6.183954
0.050000,2.341828,3.568329,0.964345,1.933882,1.684051,-4.408704,6.177805
0.050000,2.441588,3.557497,1.064691,2.006923,1.460807,-4.464879,6.172432
0.050000,2.544359,3.545826,1.168123,2.068645,1.234448,-4.527176,6.167956
0.050000,2.649578,3.533452,1.274067,2.118882,1.004736,-4.594239,6.164473
0.050000,2.756675,3.520537,1.381940,2.157457,0.771502,-4.664672,6.162060
0.050000,2.865075,3.507261,1.491149,2.184188,0.534625,-4.737549,6.160767
0.050000,2.974194,3.493817,1.601094,2.198890,0.294035,-4.811803,6.160619
0.050000,3.083512,3.480396,1.711233,2.202776,0.077718,-4.326334,6.161618
0.050000,3.192499,3.467188,1.821017,2.195680,-0.141909,-4.392532,6.163744
0.050000,3.300545,3.454387,1.929818,2.176028,-0.393057,-5.022968,6.166952
0.050000,3.407028,3.442172,2.037000,2.143634,-0.647863,-5.096111,6.171173
0.050000,3.511316,3.430705,2.141916,2.098324,-0.906217,-5.167080,6.176315
0.050000,3.612761,3.420119,2.243912,2.039926,-1.167961,-5.234893,6.182262
0.050000,3.710706,3.410520,2.342326,1.968282,-1.432875,-5.298267,6.188877
0.050000,3.804480,3.401981,2.436489,1.883248,-1.700666,-5.355830,6.196005
0.050000,3.893404,3.394538,2.525724,1.784700,-1.970972,-5.406125,6.203474
0.050000,3.977034,3.388175,2.609595,1.677424,-2.145525,-3.491060,6.211120
0.050000,4.055239,3.382828,2.687982,1.567744,-2.193585,-0.961194,6.218808
0.050000,4.127963,3.378415,2.760840,1.457164,-2.211609,-0.360476,6.226420
0.050000,4.195156,3.374845,2.828128,1.345749,-2.228300,-0.333826,6.233842
0.050000,4.256769,3.372021,2.889806,1.233567,-2.243629,-0.306582,6.240974
0.050000,4.312761,3.369844,2.945841,1.120688,-2.257583,-0.279081,6.247722
0.050000,4.363094,3.368216,2.996200,1.007181,-2.270154,-0.251405,6.254001
0.050000,4.407734,3.367040,3.040855,0.893113,-2.281346,-0.223858,6.259739
0.050000,4.446654,3.366227,3.079783,0.778555,-2.291163,-0.196340,6.264869
0.050000,4.479828,3.365693,3.112962,0.663573,-2.299651,-0.169758,6.269334
0.050000,4.507238,3.365365,3.140373,0.548233,-2.306790,-0.142771,6.273087
0.050000,4.529116,3.365177,3.162252,0.437579,-2.213084,1.874121,6.276125
0.050000,4.546022,3.365078,3.179159,0.338136,-1.988854,4.484592,6.278497
0.050000,4.558595,3.365030,3.191732,0.251450,-1.733728,5.102531,6.280274
0.050000,4.567473,3.365010,3.200610,0.177577,-1.477465,5.125261,6.281537
0.050000,4.573301,3.365002,3.206438,0.116560,-1.220333,5.142638,6.282369
0.050000,4.576723,3.365000,3.209860,0.068427,-0.962658,5.153494,6.282859
0.050000,4.578383,3.365000,3.211520,0.033196,-0.704619,5.160792,6.283097
0.050000,4.578926,3.365000,3.212063,0.010877,-0.446388,5.164610,6.283175
0.050000,4.579000,3.365000,3.212137,0.001473,-0.188078,5.166200,0.000000
0.050000,4.579000,3.365000,3.212137,0.000000,-0.029455,3.172469,0.000000
