dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.999457,4.511412,0.000306,0.012222,0.244444,4.888889,0.001449
0.050000,1.999667,4.511412,0.000516,0.004208,-0.160292,-8.094733,0.000888
0.050000,2.000956,4.511412,0.001805,0.025771,0.431276,11.831367,6.282811
0.050000,2.006685,4.511404,0.007534,0.114585,1.776279,26.900066,6.280570
0.050000,2.015635,4.511365,0.016484,0.179005,1.288390,-9.757789,6.277073
0.050000,2.028520,4.511253,0.029369,0.257698,1.573857,5.709337,6.272047
0.050000,2.046049,4.510998,0.046900,0.350618,1.858409,5.691038,6.265224
0.050000,2.068927,4.510486,0.069784,0.457676,2.141156,5.654941,6.256348
0.050000,2.097850,4.509547,0.098722,0.578777,2.422022,5.617332,6.245177
0.050000,2.133144,4.507966,0.134052,0.706592,2.556302,2.685601,6.231631
0.050000,2.174761,4.505487,0.175742,0.833805,2.544254,-0.240963,6.215789
0.050000,2.222630,4.501821,0.223751,0.960180,2.527498,-0.335122,6.197763
0.050000,2.276655,4.496647,0.278024,1.085457,2.505540,-0.439172,6.177700
0.050000,2.336711,4.489620,0.338490,1.209315,2.477160,-0.567590,6.155788
0.050000,2.402638,4.480382,0.405060,1.331412,2.441935,-0.704507,6.132262
0.050000,2.474239,4.468575,0.477629,1.451362,2.399002,-0.858654,6.107409
0.050000,2.551285,4.453855,0.556068,1.568791,2.348580,-1.008445,6.081564
0.050000,2.633514,4.435901,0.640234,1.683328,2.290742,-1.156755,6.055114
0.050000,2.720642,4.414439,0.729967,1.794649,2.226423,-1.286382,6.028487
0.050000,2.812370,4.389246,0.825091,1.902482,2.156657,-1.395314,6.002149
0.050000,2.908075,4.360273,0.925086,1.999904,1.948448,-4.164188,5.976673
0.050000,3.006857,4.327677,1.029107,2.080413,1.610179,-6.765382,5.952685
0.050000,3.107885,4.291745,1.136334,2.144549,1.282711,-6.549361,5.930740
0.050000,3.210409,4.252871,1.245981,2.192940,0.967834,-6.297527,5.911306
0.050000,3.313764,4.211540,1.357294,2.226255,0.666284,-6.031011,5.894765
0.050000,3.417361,4.168303,1.469551,2.245146,0.377833,-5.769019,5.881410
0.050000,3.520680,4.123760,1.582063,2.250235,0.101772,-5.521223,5.871451
0.050000,3.623258,4.078536,1.694167,2.242088,-0.162937,-5.294167,5.865024
0.050000,3.724672,4.033262,1.805229,2.221223,-0.417308,-5.087422,5.862195
0.050000,3.824806,3.988437,1.914938,2.194179,-0.540879,-2.471430,5.862971
0.050000,3.923691,3.944475,2.023154,2.164338,-0.596817,-1.118758,5.867349
0.050000,4.021079,3.901895,2.129445,2.125801,-0.770727,-3.478184,5.875297
0.050000,4.116574,3.861241,2.233233,2.075766,-1.000709,-4.599645,5.886718
0.050000,4.209770,3.822996,2.333971,2.014771,-1.219891,-4.383652,5.901443
0.050000,4.300254,3.787572,2.431142,1.943407,-1.427289,-4.147963,5.919226
0.050000,4.387596,3.755294,2.524257,1.862311,-1.621926,-3.892737,5.939734
0.050000,4.471355,3.726387,2.612865,1.772147,-1.803279,-3.627045,5.962548
0.050000,4.551081,3.700973,2.696543,1.673569,-1.971545,-3.365326,5.987158
0.050000,4.626315,3.679067,2.774902,1.567173,-2.127922,-3.127533,6.012979
0.050000,4.696717,3.660550,2.847697,1.455913,-2.225203,-1.945624,6.039407
0.050000,4.762200,3.645170,2.914963,1.345313,-2.212002,0.264008,6.065915
0.050000,4.822817,3.632608,2.976867,1.238084,-2.144574,1.348567,6.092054
0.050000,4.878612,3.622538,3.033564,1.133929,-2.083113,1.229223,6.117414
0.050000,4.929628,3.614632,3.085189,1.032501,-2.028545,1.091359,6.141633
0.050000,4.975904,3.608571,3.131860,0.933427,-1.981484,0.941211,6.164395
0.050000,5.017475,3.604050,3.173676,0.836324,-1.942068,0.788334,6.185438
0.050000,5.054372,3.600787,3.210718,0.740829,-1.909895,0.643454,6.204547
0.050000,5.086623,3.598520,3.243048,0.646605,-1.884484,0.508223,6.221554
0.050000,5.114250,3.597020,3.270716,0.553361,-1.864874,0.392189,6.236327
0.050000,5.137274,3.596083,3.293758,0.460843,-1.850356,0.290375,6.248769
0.050000,5.155825,3.595538,3.312318,0.371196,-1.792955,1.148007,6.258874
0.050000,5.170288,3.595244,3.326784,0.289323,-1.637452,3.110065,6.266797
0.050000,5.181178,3.595098,3.337674,0.217806,-1.430340,4.142251,6.272787
0.050000,5.189005,3.595033,3.345502,0.156552,-1.225071,4.105361,6.277104
0.050000,5.194280,3.595009,3.350777,0.105498,-1.021091,4.079601,6.280019
0.050000,5.197510,3.595002,3.354007,0.064602,-0.817918,4.063465,6.281807
0.050000,5.199203,3.595000,3.355700,0.033849,-0.615056,4.057249,6.282744
0.050000,5.199864,3.595000,3.356361,0.013227,-0.412446,4.052188,6.283110
0.050000,5.200000,3.595000,3.356497,0.002722,-0.210096,4.047010,0.000000
0.050000,5.200000,3.595000,3.356497,0.000000,-0.054442,3.113071,0.000000
