dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.000000,4.136412,0.000306,0.012222,0.244444,4.888889,0.001449
0.050000,2.000000,4.136412,0.001528,0.036667,0.488889,4.888889,0.000888
0.050000,2.000815,4.136412,0.004278,0.073333,0.733333,4.888889,6.282811
0.050000,2.005704,4.136405,0.009167,0.122222,0.977778,4.888889,6.280570
0.050000,2.013343,4.136372,0.016806,0.183333,1.222222,4.888889,6.277073
0.050000,2.024343,4.136277,0.027806,0.256667,1.466667,4.888889,6.272047
0.050000,2.039313,4.136059,0.042778,0.342222,1.711111,4.888889,6.265224
0.050000,2.058864,4.135621,0.062333,0.440000,1.955556,4.888889,6.256348
0.050000,2.083601,4.134818,0.087083,0.550000,2.200000,4.888889,6.245177
0.050000,2.113820,4.133464,0.117333,0.660000,2.200000,0.000000,6.231631
0.050000,2.149507,4.131338,0.153083,0.770000,2.200000,-0.000000,6.215789
0.050000,2.190636,4.128189,0.194333,0.880000,2.200000,0.000000,6.197763
0.050000,2.237172,4.123731,0.241083,0.990000,2.200000,-0.000000,6.177700
0.050000,2.289067,4.117659,0.293333,1.100000,2.200000,0.000000,6.155788
0.050000,2.346256,4.109645,0.351083,1.210000,2.200000,0.000000,6.132262
0.050000,2.408662,4.099354,0.414333,1.320000,2.200000,0.000000,6.107409
0.050000,2.476188,4.086451,0.483083,1.430000,2.200000,-0.000000,6.081564
0.050000,2.548727,4.070612,0.557333,1.540000,2.200000,0.000000,6.055114
0.050000,2.626160,4.051536,0.637083,1.650000,2.200000,0.000000,6.028487
0.050000,2.708363,4.028958,0.722333,1.760000,2.200000,0.000000,6.002149
0.050000,2.794925,4.002751,0.812778,1.857778,1.955556,-4.888889,5.976673
0.050000,2.885164,3.972972,0.907806,1.943333,1.711111,-4.888889,5.952685
0.050000,2.978437,3.939796,1.006806,2.016667,1.466667,-4.888889,5.930740
0.050000,3.074147,3.903504,1.109167,2.077778,1.222222,-4.888889,5.911306
0.050000,3.171742,3.864474,1.214278,2.126667,0.977778,-4.888889,5.894765
0.050000,3.270716,3.823165,1.321528,2.163333,0.733333,-4.888889,5.881410
0.050000,3.370605,3.780099,1.430306,2.187778,0.488889,-4.888889,5.871451
0.050000,3.470977,3.735847,1.540000,2.200000,0.244444,-4.888889,5.865024
0.050000,3.571423,3.691005,1.650000,2.200000,0.000000,-4.888889,5.862195
0.050000,3.671822,3.646061,1.760000,2.200000,0.000000,0.000000,5.862971
0.050000,3.772208,3.601433,1.869859,2.194351,-0.112971,-2.259428,5.867349
0.050000,3.872327,3.557660,1.979130,2.176481,-0.357416,-4.888889,5.875297
0.050000,3.971763,3.515329,2.087201,2.146388,-0.601860,-4.888889,5.886718
0.050000,4.070069,3.474989,2.193463,2.104072,-0.846305,-4.888889,5.901443
0.050000,4.166762,3.437137,2.297303,2.049535,-1.090749,-4.888889,5.919226
0.050000,4.261319,3.402195,2.398111,1.982775,-1.335194,-4.888889,5.939734
0.050000,4.353166,3.370499,2.495275,1.903793,-1.579638,-4.888889,5.962548
0.050000,4.441685,3.342285,2.588185,1.812589,-1.824083,-4.888889,5.987158
0.050000,4.526217,3.317673,2.676228,1.709163,-2.068527,-4.888889,6.012979
0.050000,4.606203,3.296638,2.758936,1.599163,-2.200000,-2.629461,6.039407
0.050000,4.681363,3.278986,2.836145,1.489163,-2.200000,0.000000,6.065915
0.050000,4.751578,3.264437,2.907853,1.379163,-2.200000,0.000000,6.092054
0.050000,4.816732,3.252679,2.974061,1.269163,-2.200000,0.000000,6.117414
0.050000,4.876723,3.243383,3.034769,1.159163,-2.200000,0.000000,6.141633
0.050000,4.931462,3.236214,3.089977,1.049163,-2.200000,-0.000000,6.164395
0.050000,4.980878,3.230840,3.139685,0.939163,-2.200000,0.000000,6.185438
0.050000,5.024913,3.226945,3.183893,0.829163,-2.200000,0.000000,6.204547
0.050000,5.063526,3.224232,3.222602,0.719163,-2.200000,0.000000,6.221554
0.050000,5.096685,3.222431,3.255810,0.609163,-2.200000,0.000000,6.236327
0.050000,5.124370,3.221305,3.283518,0.499163,-2.200000,-0.000000,6.248769
0.050000,5.146709,3.220649,3.305867,0.394811,-2.087029,2.259428,6.258874
0.050000,5.164143,3.220294,3.323305,0.302682,-1.842584,4.888889,6.266797
0.050000,5.177278,3.220118,3.336441,0.222775,-1.598140,4.888889,6.272787
0.050000,5.186725,3.220040,3.345888,0.155090,-1.353695,4.888889,6.277104
0.050000,5.193093,3.220011,3.352256,0.099628,-1.109251,4.888889,6.280019
0.050000,5.196993,3.220002,3.356156,0.056388,-0.864806,4.888889,6.281807
0.050000,5.199037,3.220000,3.358200,0.025370,-0.620362,4.888889,6.282744
0.050000,5.199836,3.220000,3.358999,0.006574,-0.375917,4.888889,6.283110
0.050000,5.200000,3.220000,3.359163,0.000000,-0.131473,4.888889,0.000000
0.050000,5.200000,3.220000,3.359163,0.000000,0.000000,2.629461,0.000000
