dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.000543,3.761413,0.000306,0.012222,0.244444,4.888889,0.001449
0.050000,2.000333,3.761413,0.000516,0.004208,-0.160292,-8.094733,0.000888
0.050000,2.000675,3.761412,0.000858,0.006848,0.052802,4.261874,6.282811
0.050000,2.004724,3.761406,0.004907,0.080972,1.482476,28.593498,6.280570
0.050000,2.011051,3.761379,0.011234,0.126547,0.911511,-11.419303,6.277073
0.050000,2.020166,3.761300,0.020349,0.182299,1.115041,4.070589,6.272047
0.050000,2.032578,3.761119,0.032763,0.248275,1.319518,4.089544,6.265224
0.050000,2.048801,3.760756,0.048990,0.324538,1.525267,4.114980,6.256348
0.050000,2.069351,3.760089,0.069551,0.411221,1.733653,4.167716,6.245177
0.050000,2.094496,3.758962,0.094721,0.503396,1.843490,2.196750,6.231631
0.050000,2.124252,3.757190,0.124530,0.596183,1.855741,0.245014,6.215789
0.050000,2.158641,3.754556,0.159020,0.689796,1.872268,0.330536,6.197763
0.050000,2.197688,3.750816,0.198245,0.784512,1.894318,0.440997,6.177700
0.050000,2.241422,3.745698,0.242277,0.880639,1.922548,0.564608,6.155788
0.050000,2.289875,3.738907,0.291204,0.978536,1.957939,0.707820,6.132262
0.050000,2.343085,3.730132,0.345133,1.078572,2.000707,0.855368,6.107409
0.050000,2.401092,3.719047,0.404189,1.181133,2.051230,1.010455,6.081564
0.050000,2.463940,3.705323,0.468518,1.286584,2.109021,1.155825,6.055114
0.050000,2.531677,3.688634,0.538281,1.395256,2.173446,1.288490,6.028487
0.050000,2.604356,3.668670,0.613652,1.507419,2.243254,1.396161,6.002149
0.050000,2.681774,3.645229,0.694541,1.617775,2.207122,-0.722649,5.976673
0.050000,2.763470,3.618267,0.780571,1.720607,2.056630,-3.009828,5.952685
0.050000,2.848989,3.587847,0.871340,1.815372,1.895301,-3.226588,5.930740
0.050000,2.937884,3.554137,0.966412,1.901439,1.721348,-3.479046,5.911306
0.050000,3.029719,3.517408,1.065319,1.978143,1.534069,-3.745585,5.894765
0.050000,3.124071,3.478027,1.167560,2.044822,1.333589,-4.009601,5.881410
0.050000,3.220531,3.436439,1.272603,2.100858,1.120724,-4.257306,5.871451
0.050000,3.318697,3.393158,1.379887,2.145683,0.896493,-4.484613,5.865024
0.050000,3.418173,3.348749,1.488826,2.178776,0.661865,-4.692566,5.862195
0.050000,3.518838,3.303685,1.599117,2.205822,0.540912,-2.419055,5.862971
0.050000,3.620724,3.258391,1.710618,2.230010,0.483772,-1.142803,5.867349
0.050000,3.723575,3.213425,1.822869,2.245020,0.300189,-3.671652,5.875297
0.050000,3.826952,3.169417,1.935222,2.247079,0.041179,-5.180206,5.886718
0.050000,3.930367,3.126983,2.047005,2.235651,-0.228560,-5.394785,5.901443
0.050000,4.033271,3.086701,2.157512,2.210146,-0.510102,-5.630833,5.919226
0.050000,4.135042,3.049095,2.266009,2.169928,-0.804343,-5.884826,5.939734
0.050000,4.234976,3.014611,2.371726,2.114337,-1.111827,-6.149677,5.962548
0.050000,4.332289,2.983596,2.473862,2.042719,-1.432358,-6.410620,5.987158
0.050000,4.426118,2.956280,2.571586,1.954480,-1.764776,-6.648365,6.012979
0.050000,4.515688,2.932726,2.664201,1.852316,-2.043294,-5.570345,6.039407
0.050000,4.600527,2.912803,2.751347,1.742921,-2.187891,-2.891955,6.065915
0.050000,4.680339,2.896266,2.832855,1.630159,-2.255237,-1.346922,6.092054
0.050000,4.754852,2.882820,2.908572,1.514324,-2.316699,-1.229226,6.117414
0.050000,4.823817,2.872134,2.978360,1.395764,-2.371203,-1.090079,6.141633
0.050000,4.887020,2.863856,3.042102,1.274852,-2.418251,-0.940975,6.164395
0.050000,4.944281,2.857631,3.099701,1.151963,-2.457763,-0.790224,6.185438
0.050000,4.995455,2.853104,3.151074,1.027470,-2.489880,-0.642344,6.204547
0.050000,5.040429,2.849944,3.196159,0.901700,-2.515386,-0.510128,6.221554
0.050000,5.079119,2.847843,3.234907,0.774955,-2.534899,-0.390245,6.236327
0.050000,5.111466,2.846527,3.267280,0.647475,-2.549613,-0.294298,6.248769
0.050000,5.137594,2.845760,3.293419,0.522769,-2.494113,1.110017,6.258874
0.050000,5.157998,2.845345,3.313827,0.408169,-2.292006,4.042129,6.266797
0.050000,5.173379,2.845139,3.329210,0.307650,-2.010373,5.632655,6.272787
0.050000,5.184444,2.845047,3.340276,0.221316,-1.726680,5.673870,6.277104
0.050000,5.191906,2.845013,3.347737,0.149224,-1.441832,5.696951,6.280019
0.050000,5.196476,2.845002,3.352307,0.091410,-1.156287,5.710909,6.281807
0.050000,5.198871,2.845000,3.354703,0.047905,-0.870097,5.723790,6.282744
0.050000,5.199807,2.845000,3.355639,0.018721,-0.583681,5.728336,6.283110
0.050000,5.200000,2.845000,3.355831,0.003853,-0.297364,5.726335,0.000000
0.050000,5.200000,2.845000,3.355831,0.000000,-0.077059,4.406094,0.000000
