dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.340503,3.399842,0.000306,0.012222,0.244444,4.888889,0.014834
0.050000,1.340378,3.399840,0.000431,0.002501,-0.194418,-8.777250,0.015168
0.050000,1.340265,3.399838,0.000544,0.002268,-0.004659,3.795173,0.015917
0.050000,1.344654,3.399911,0.004934,0.087795,1.710531,34.303812,0.017249
0.050000,1.351513,3.400036,0.011794,0.137211,0.988315,-14.444331,0.019324
0.050000,1.361394,3.400242,0.021677,0.197658,1.208938,4.412472,0.022303
0.050000,1.374848,3.400569,0.035136,0.269173,1.430303,4.427286,0.026339
0.050000,1.392432,3.401079,0.052727,0.351817,1.652896,4.451875,0.031578
0.050000,1.414702,3.401856,0.075011,0.445679,1.877231,4.486695,0.038154
0.050000,1.441946,3.403004,0.102278,0.545356,1.993548,2.326345,0.046107
0.050000,1.474177,3.404642,0.134551,0.645444,2.001748,0.164003,0.055381
0.050000,1.511410,3.406903,0.171853,0.746041,2.011934,0.203715,0.065908
0.050000,1.553664,3.409941,0.214215,0.847252,2.024238,0.246078,0.077607
0.050000,1.600956,3.413924,0.261675,0.949200,2.038948,0.294197,0.090379
0.050000,1.653307,3.419033,0.314275,1.052002,2.056038,0.341798,0.104111
0.050000,1.710739,3.425460,0.372065,1.155793,2.075822,0.395692,0.118671
0.050000,1.773271,3.433403,0.435100,1.260702,2.098188,0.447320,0.133909
0.050000,1.840928,3.443065,0.503443,1.366865,2.123259,0.501405,0.149658
0.050000,1.913733,3.454648,0.577164,1.474411,2.150924,0.553306,0.165735
0.050000,1.991712,3.468349,0.656337,1.583461,2.180996,0.601440,0.181938
0.050000,2.074612,3.484299,0.740757,1.688409,2.098952,-1.640875,0.197999
0.050000,2.161902,3.502532,0.829931,1.783476,1.901346,-3.952121,0.213607
0.050000,2.253050,3.523026,0.923355,1.868471,1.699900,-4.028917,0.228475
0.050000,2.347525,3.545700,1.020513,1.943160,1.493776,-4.122487,0.242348
0.050000,2.444798,3.570416,1.120877,2.007278,1.282364,-4.228235,0.255006
0.050000,2.544341,3.596980,1.223904,2.060541,1.065260,-4.342091,0.266266
0.050000,2.645629,3.625151,1.329036,2.102654,0.842249,-4.460214,0.275985
0.050000,2.748136,3.654646,1.435703,2.133320,0.613338,-4.578212,0.284060
0.050000,2.851335,3.685149,1.543315,2.152249,0.378578,-4.695201,0.290426
0.050000,2.954984,3.716406,1.651574,2.165189,0.258797,-2.395625,0.295067
0.050000,3.059131,3.748243,1.760478,2.178077,0.257748,-0.020978,0.297990
0.050000,3.163825,3.780484,1.870025,2.190929,0.257038,-0.014208,0.299200
0.050000,3.269122,3.812951,1.980213,2.203765,0.256727,-0.006208,0.298698
0.050000,3.375076,3.845463,2.091043,2.216607,0.256841,0.002274,0.296483
0.050000,3.481745,3.877837,2.202517,2.229475,0.257369,0.010554,0.292553
0.050000,3.589187,3.909884,2.314637,2.242389,0.258266,0.017941,0.286901
0.050000,3.697428,3.941402,2.427373,2.254736,0.246939,-0.226542,0.279521
0.050000,3.806188,3.972102,2.540383,2.260191,0.109114,-2.756485,0.270436
0.050000,3.914893,4.001628,2.653027,2.252874,-0.146339,-5.109069,0.259720
0.050000,4.022944,4.029648,2.764651,2.232487,-0.407740,-5.228020,0.247485
0.050000,4.129708,4.055867,2.874587,2.198729,-0.675165,-5.348491,0.233885
0.050000,4.234523,4.080035,2.982153,2.151302,-0.948542,-5.467553,0.219113
0.050000,4.336693,4.101958,3.086649,2.089920,-1.227639,-5.581945,0.203399
0.050000,4.435494,4.121504,3.187365,2.014321,-1.511983,-5.686871,0.187010
0.050000,4.530176,4.138607,3.283578,1.924277,-1.800887,-5.778075,0.170242
0.050000,4.619999,4.153278,3.374591,1.820260,-2.080334,-5.588952,0.153411
0.050000,4.704538,4.165637,3.460029,1.708757,-2.230066,-2.994627,0.136780
0.050000,4.783666,4.175879,3.539817,1.595758,-2.259971,-0.598111,0.120550
0.050000,4.857265,4.184214,3.613887,1.481395,-2.287256,-0.545688,0.104901
0.050000,4.925231,4.190861,3.682177,1.365801,-2.311895,-0.492780,0.089999
0.050000,4.987471,4.196040,3.744633,1.249115,-2.333713,-0.436361,0.075988
0.050000,5.043908,4.199970,3.801206,1.131473,-2.352841,-0.382571,0.062997
0.050000,5.094476,4.202860,3.851857,1.013007,-2.369322,-0.329606,0.051134
0.050000,5.139121,4.204907,3.896549,0.893842,-2.383296,-0.279492,0.040494
0.050000,5.177801,4.206294,3.935253,0.774095,-2.394942,-0.232913,0.031154
0.050000,5.210483,4.207182,3.967947,0.653868,-2.404537,-0.191903,0.023178
0.050000,5.237174,4.207713,3.994643,0.533932,-2.398711,0.116522,0.016607
0.050000,5.258227,4.208008,4.015699,0.421113,-2.256397,2.846274,0.011390
0.050000,5.274305,4.208159,4.031777,0.321561,-1.991027,5.307398,0.007386
0.050000,5.286073,4.208229,4.043546,0.235370,-1.723831,5.343915,0.004444
0.050000,5.294202,4.208256,4.051675,0.162580,-1.455797,5.360686,0.002407
0.050000,5.299364,4.208265,4.056837,0.103237,-1.186852,5.378906,0.001111
0.050000,5.302232,4.208268,4.059705,0.057361,-0.917529,5.386457,0.000390
0.050000,5.303481,4.208268,4.060953,0.024975,-0.647713,5.396314,0.000076
0.050000,5.303784,4.208268,4.061257,0.006076,-0.377979,5.394679,6.283185
0.050000,5.303784,4.208268,4.061257,0.000000,-0.121523,5.129123,6.283185
