dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.346066,3.024883,0.000306,0.012222,0.244444,4.888889,0.014834
0.050000,1.346066,3.024883,0.001528,0.036667,0.488889,4.888889,0.015168
0.050000,1.346233,3.024885,0.004278,0.073333,0.733333,4.888889,0.015917
0.050000,1.351122,3.024967,0.009167,0.122222,0.977778,4.888889,0.017249
0.050000,1.358759,3.025106,0.016806,0.183333,1.222222,4.888889,0.019324
0.050000,1.369757,3.025335,0.027806,0.256667,1.466667,4.888889,0.022303
0.050000,1.384725,3.025699,0.042778,0.342222,1.711111,4.888889,0.026339
0.050000,1.404272,3.026266,0.062333,0.440000,1.955556,4.888889,0.031578
0.050000,1.429007,3.027128,0.087083,0.550000,2.200000,4.888889,0.038154
0.050000,1.459230,3.028403,0.117333,0.660000,2.200000,0.000000,0.046107
0.050000,1.494934,3.030217,0.153083,0.770000,2.200000,-0.000000,0.055381
0.050000,1.536108,3.032717,0.194333,0.880000,2.200000,0.000000,0.065908
0.050000,1.582737,3.036070,0.241083,0.990000,2.200000,-0.000000,0.077607
0.050000,1.634802,3.040455,0.293333,1.100000,2.200000,0.000000,0.090379
0.050000,1.692279,3.046064,0.351083,1.210000,2.200000,0.000000,0.104111
0.050000,1.755136,3.053097,0.414333,1.320000,2.200000,0.000000,0.118671
0.050000,1.823337,3.061760,0.483083,1.430000,2.200000,-0.000000,0.133909
0.050000,1.896841,3.072257,0.557333,1.540000,2.200000,0.000000,0.149658
0.050000,1.975599,3.084787,0.637083,1.650000,2.200000,0.000000,0.165735
0.050000,2.059562,3.099539,0.722333,1.760000,2.200000,0.000000,0.181938
0.050000,2.148377,3.116626,0.812778,1.857778,1.955556,-4.888889,0.197999
0.050000,2.241397,3.136055,0.907806,1.943333,1.711111,-4.888889,0.213607
0.050000,2.337984,3.157771,1.006806,2.016667,1.466667,-4.888889,0.228475
0.050000,2.437518,3.181659,1.109167,2.077778,1.222222,-4.888889,0.242348
0.050000,2.539392,3.207543,1.214278,2.126667,0.977778,-4.888889,0.255006
0.050000,2.643015,3.235195,1.321528,2.163333,0.733333,-4.888889,0.266266
0.050000,2.747815,3.264342,1.430306,2.187778,0.488889,-4.888889,0.275985
0.050000,2.853232,3.294674,1.540000,2.200000,0.244444,-4.888889,0.284060
0.050000,2.958721,3.325853,1.650000,2.200000,0.000000,-4.888889,0.290426
0.050000,3.064036,3.357612,1.760000,2.200000,0.000000,0.000000,0.295067
0.050000,3.169230,3.389770,1.870000,2.200000,0.000000,0.000000,0.297990
0.050000,3.274358,3.422144,1.980000,2.200000,0.000000,0.000000,0.299200
0.050000,3.379475,3.454556,2.090000,2.200000,0.000000,0.000000,0.298698
0.050000,3.484635,3.486825,2.200000,2.200000,0.000000,0.000000,0.296483
0.050000,3.589894,3.518770,2.310000,2.200000,0.000000,0.000000,0.292553
0.050000,3.695305,3.550212,2.420000,2.200000,0.000000,0.000000,0.286901
0.050000,3.800889,3.580957,2.529970,2.198783,-0.024342,-0.486848,0.279521
0.050000,3.906370,3.610732,2.639573,2.185344,-0.268787,-4.888889,0.270436
0.050000,4.011197,3.639205,2.748198,2.159682,-0.513231,-4.888889,0.259720
0.050000,4.114806,3.666074,2.855235,2.121798,-0.757676,-4.888889,0.247485
0.050000,4.216617,3.691077,2.960073,2.071692,-1.002120,-4.888889,0.233885
0.050000,4.316034,3.714001,3.062099,2.009364,-1.246565,-4.888889,0.219113
0.050000,4.412443,3.734689,3.160703,1.934814,-1.491009,-4.888889,0.203399
0.050000,4.505215,3.753042,3.255275,1.848041,-1.735453,-4.888889,0.187010
0.050000,4.593709,3.769028,3.345202,1.749046,-1.979898,-4.888889,0.170242
0.050000,4.677302,3.782682,3.429904,1.639046,-2.200000,-4.402041,0.153411
0.050000,4.755671,3.794140,3.509107,1.529046,-2.200000,0.000000,0.136780
0.050000,4.828762,3.803601,3.582809,1.419046,-2.200000,-0.000000,0.120550
0.050000,4.896531,3.811276,3.651011,1.309046,-2.200000,0.000000,0.104901
0.050000,4.958935,3.817379,3.713713,1.199046,-2.200000,-0.000000,0.089999
0.050000,5.015939,3.822123,3.770916,1.089046,-2.200000,0.000000,0.075988
0.050000,5.067516,3.825714,3.822618,0.979046,-2.200000,-0.000000,0.062997
0.050000,5.113643,3.828350,3.868820,0.869046,-2.200000,0.000000,0.051134
0.050000,5.154303,3.830215,3.909523,0.759046,-2.200000,-0.000000,0.040494
0.050000,5.189482,3.831476,3.944725,0.649046,-2.200000,-0.000000,0.031154
0.050000,5.219173,3.832283,3.974427,0.539046,-2.200000,0.000000,0.023178
0.050000,5.243401,3.832765,3.998660,0.430263,-2.175658,0.486848,0.016607
0.050000,5.262499,3.833032,4.017759,0.333702,-1.931213,4.888889,0.011390
0.050000,5.277074,3.833169,4.032336,0.249364,-1.686769,4.888889,0.007386
0.050000,5.287740,3.833232,4.043001,0.177248,-1.442324,4.888889,0.004444
0.050000,5.295105,3.833257,4.050366,0.117354,-1.197880,4.888889,0.002407
0.050000,5.299781,3.833266,4.055042,0.069682,-0.953435,4.888889,0.001111
0.050000,5.302378,3.833268,4.057640,0.034232,-0.708991,4.888889,0.000390
0.050000,5.303509,3.833268,4.058771,0.011005,-0.464547,4.888889,0.000076
0.050000,5.303784,3.833268,4.059046,0.000000,-0.220102,4.888889,6.283185
0.050000,5.303784,3.833268,4.059046,0.000000,0.000000,4.402041,6.283185
