dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.351628,2.649924,0.000306,0.012222,0.244444,4.888889,0.014834
0.050000,1.351753,2.649926,0.000431,0.002501,-0.194418,-8.777250,0.015168
0.050000,1.352202,2.649933,0.000880,0.008979,0.129552,6.479409,0.015917
0.050000,1.357589,2.650022,0.006268,0.107763,1.975681,36.922564,0.017249
0.050000,1.366005,2.650176,0.014685,0.168343,1.211604,-15.281531,0.019324
0.050000,1.378120,2.650428,0.026802,0.242344,1.480012,5.368169,0.022303
0.050000,1.394601,2.650829,0.043288,0.329717,1.747458,5.348907,0.026339
0.050000,1.416112,2.651453,0.064808,0.430402,2.013710,5.325041,0.031578
0.050000,1.443311,2.652401,0.092024,0.544319,2.278342,5.292650,0.038154
0.050000,1.476514,2.653801,0.125256,0.664641,2.406431,2.561777,0.046107
0.050000,1.515691,2.655791,0.164484,0.784551,2.398194,-0.164740,0.055381
0.050000,1.560805,2.658531,0.209681,0.903952,2.388019,-0.203500,0.065908
0.050000,1.611810,2.662199,0.260818,1.022734,2.375653,-0.247319,0.077607
0.050000,1.668648,2.666985,0.317857,1.140787,2.361050,-0.292059,0.090379
0.050000,1.731250,2.673094,0.380756,1.257979,2.343839,-0.344230,0.104111
0.050000,1.799533,2.680735,0.449465,1.374186,2.324144,-0.393900,0.118671
0.050000,1.873403,2.690117,0.523929,1.489271,2.301695,-0.448975,0.133909
0.050000,1.952753,2.701449,0.604084,1.603103,2.276646,-0.500974,0.149658
0.050000,2.037466,2.714925,0.689862,1.715554,2.249029,-0.552354,0.165735
0.050000,2.127413,2.730728,0.781187,1.826501,2.218933,-0.601906,0.181938
0.050000,2.222143,2.748952,0.877653,1.929330,2.056574,-3.247182,0.197999
0.050000,2.320891,2.769578,0.978533,2.017596,1.765328,-5.824927,0.213607
0.050000,2.422919,2.792517,1.083108,2.091492,1.477923,-5.748106,0.228475
0.050000,2.527512,2.817617,1.190670,2.151251,1.195182,-5.654802,0.242348
0.050000,2.633986,2.844669,1.300527,2.197138,0.917735,-5.548941,0.255006
0.050000,2.741689,2.873409,1.411999,2.229437,0.645971,-5.435283,0.266266
0.050000,2.850000,2.903533,1.524421,2.248440,0.380070,-5.318021,0.275985
0.050000,2.958328,2.934702,1.637143,2.254446,0.120107,-5.199268,0.284060
0.050000,3.066106,2.966557,1.749530,2.247743,-0.134046,-5.083048,0.290426
0.050000,3.173087,2.998819,1.861271,2.234807,-0.258729,-2.493669,0.295067
0.050000,3.279330,3.031296,1.972367,2.221922,-0.257698,0.020618,0.297990
0.050000,3.384892,3.063804,2.082820,2.209071,-0.257010,0.013756,0.299200
0.050000,3.489828,3.096161,2.192632,2.196235,-0.256722,0.005761,0.298698
0.050000,3.594195,3.128186,2.301802,2.183392,-0.256858,-0.002721,0.296483
0.050000,3.698044,3.159704,2.410328,2.170522,-0.257409,-0.011004,0.292553
0.050000,3.801423,3.190539,2.518208,2.157605,-0.258328,-0.018397,0.286901
0.050000,3.904350,3.220511,2.625410,2.144037,-0.271366,-0.260760,0.279521
0.050000,4.006552,3.249361,2.731606,2.123920,-0.402342,-2.619519,0.270436
0.050000,4.107501,3.276782,2.836213,2.092131,-0.635790,-4.668960,0.259720
0.050000,4.206668,3.302500,2.938661,2.048966,-0.863286,-4.549909,0.247485
0.050000,4.303527,3.326287,3.038397,1.994729,-1.084750,-4.429284,0.233885
0.050000,4.397545,3.347967,3.134883,1.929717,-1.300238,-4.309752,0.219113
0.050000,4.488193,3.367419,3.227594,1.854216,-1.510007,-4.195390,0.203399
0.050000,4.574936,3.384580,3.316019,1.768491,-1.714515,-4.090155,0.187010
0.050000,4.657242,3.399449,3.399657,1.672768,-1.914463,-3.998961,0.170242
0.050000,4.734606,3.412087,3.478047,1.567791,-2.099522,-3.701176,0.153411
0.050000,4.806803,3.422642,3.551011,1.459299,-2.169852,-1.406602,0.136780
0.050000,4.873859,3.431322,3.618626,1.352300,-2.139969,0.597658,0.120550
0.050000,4.935796,3.438337,3.680960,1.246669,-2.112629,0.546806,0.104901
0.050000,4.992639,3.443896,3.738073,1.142267,-2.088049,0.491603,0.089999
0.050000,5.044408,3.448205,3.790021,1.038958,-2.066175,0.437469,0.075988
0.050000,5.091125,3.451458,3.836851,0.936604,-2.047074,0.382031,0.062997
0.050000,5.132810,3.453840,3.878605,0.835074,-2.030611,0.329261,0.051134
0.050000,5.169484,3.455522,3.915317,0.734242,-2.016640,0.279415,0.040494
0.050000,5.201163,3.456658,3.947017,0.633993,-2.004976,0.233281,0.031154
0.050000,5.227864,3.457383,3.973728,0.534219,-1.995479,0.189939,0.023178
0.050000,5.249629,3.457817,3.995496,0.435375,-1.976881,0.371965,0.016607
0.050000,5.266770,3.458057,4.012639,0.342855,-1.850393,2.529753,0.011390
0.050000,5.279844,3.458179,4.025714,0.261500,-1.627095,4.465966,0.007386
0.050000,5.289406,3.458236,4.035276,0.191245,-1.405118,4.439535,0.004444
0.050000,5.296007,3.458259,4.041878,0.132022,-1.184461,4.413143,0.002407
0.050000,5.300197,3.458266,4.046068,0.083800,-0.964437,4.400471,0.001111
0.050000,5.302525,3.458268,4.048395,0.046550,-0.744998,4.388787,0.000390
0.050000,5.303538,3.458268,4.049408,0.020266,-0.525686,4.386236,0.000076
0.050000,5.303784,3.458268,4.049655,0.004930,-0.306708,4.379566,6.283185
0.050000,5.303784,3.458268,4.049655,0.000000,-0.098603,4.162097,6.283185
