dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.261810,3.433566,0.000306,0.012222,0.244444,4.888889,0.000129
0.050000,1.261924,3.433566,0.000419,0.002271,-0.199028,-8.869440,6.283178
0.050000,1.264788,3.433565,0.003283,0.057284,1.100262,25.985801,6.282874
0.050000,1.269878,3.433562,0.008374,0.101806,0.890445,-4.196358,6.282337
0.050000,1.277828,3.433552,0.016323,0.158990,1.143681,5.064732,6.281508
0.050000,1.289266,3.433526,0.027762,0.228770,1.395603,5.038445,6.280339
0.050000,1.304819,3.433470,0.043314,0.311049,1.645571,4.999353,6.278792
0.050000,1.325103,3.433361,0.063599,0.405690,1.892816,4.944898,6.276848
0.050000,1.350728,3.433168,0.089224,0.512512,2.136442,4.872514,6.274513
0.050000,1.381975,3.432855,0.120473,0.624978,2.249327,2.257699,6.271849
0.050000,1.418802,3.432384,0.157303,0.736589,2.232225,-0.342033,6.268971
0.050000,1.461156,3.431718,0.199662,0.847191,2.212022,-0.404062,6.266012
0.050000,1.508979,3.430825,0.247493,0.956627,2.188725,-0.465948,6.263128
0.050000,1.562204,3.429685,0.300731,1.064744,2.162342,-0.527655,6.260496
0.050000,1.620757,3.428288,0.359300,1.171388,2.132879,-0.589258,6.258311
0.050000,1.684556,3.426648,0.423120,1.276405,2.100335,-0.650880,6.256790
0.050000,1.753513,3.424800,0.492102,1.379639,2.064696,-0.712769,6.256171
0.050000,1.827533,3.422812,0.566149,1.480936,2.025937,-0.775185,6.256713
0.050000,1.906514,3.420789,0.645156,1.580137,1.984018,-0.838376,6.258695
0.050000,1.990347,3.418880,0.729010,1.677082,1.938900,-0.902364,6.262417
0.050000,2.078616,3.417287,0.817293,1.765669,1.771740,-3.343200,6.268179
0.050000,2.170612,3.416261,0.909296,1.840049,1.487602,-5.682773,6.276246
0.050000,2.265638,3.416087,1.004321,1.900510,1.209211,-5.567807,0.003658
0.050000,2.363003,3.417070,1.101692,1.947403,0.937861,-5.426996,0.016966
0.050000,2.462030,3.419528,1.200749,1.981150,0.674942,-5.258382,0.033106
0.050000,2.562052,3.423771,1.300861,2.002247,0.421935,-5.060156,0.052136
0.050000,2.662417,3.430087,1.401425,2.011263,0.180334,-4.832010,0.074036
0.050000,2.737208,3.437670,1.476599,1.503484,-10.155583,-206.718335,0.159241
0.050000,2.797845,3.451371,1.538765,1.243321,-5.203270,99.046256,0.286686
0.050000,2.856022,3.472693,1.600726,1.239223,-0.081955,102.426296,0.414676
0.050000,2.913914,3.502553,1.665864,1.302768,1.270902,27.057136,0.534202
0.050000,2.972914,3.541933,1.736800,1.418713,2.318889,20.959745,0.638288
0.050000,3.033437,3.591194,1.814836,1.560721,2.840169,10.425607,0.723463
0.050000,3.095382,3.649880,1.900167,1.706617,2.917926,1.555130,0.789206
0.050000,3.158543,3.716841,1.992217,1.840993,2.687516,-4.608198,0.836493
0.050000,3.222802,3.790450,2.089927,1.954217,2.264467,-8.460976,0.866766
0.050000,3.288289,3.868931,2.192142,2.044297,1.801617,-9.257007,0.881477
0.050000,3.355377,3.950551,2.297795,2.113060,1.375260,-8.527141,0.881832
0.050000,3.424580,4.033646,2.405933,2.162759,0.993971,-7.625771,0.868739
0.050000,3.496446,4.116589,2.515679,2.194925,0.643313,-7.013155,0.842903
0.050000,3.571420,4.197737,2.626161,2.209624,0.293984,-6.986598,0.805019
0.050000,3.649684,4.275382,2.736406,2.204907,-0.094335,-7.766373,0.756044
0.050000,3.730957,4.347761,2.845236,2.176606,-0.566016,-9.433620,0.697493
0.050000,3.814531,4.413319,2.951455,2.124376,-1.044608,-9.571837,0.631486
0.050000,3.899373,4.470936,3.054012,2.051141,-1.464691,-8.401664,0.560572
0.050000,3.984051,4.519922,3.151838,1.956517,-1.892481,-8.555788,0.487607
0.050000,4.066829,4.560090,3.243847,1.840180,-2.326734,-8.685070,0.415491
0.050000,4.145941,4.591803,3.329079,1.704639,-2.710837,-7.682064,0.346789
0.050000,4.219839,4.615894,3.406804,1.554505,-3.002674,-5.836724,0.283449
0.050000,4.287337,4.633492,3.476559,1.395100,-3.188089,-3.708307,0.226705
0.050000,4.347650,4.645836,3.538122,1.231255,-3.276902,-1.776272,0.177149
0.050000,4.400330,4.654119,3.591449,1.066545,-3.294216,-0.346278,0.134895
0.050000,4.445179,4.659403,3.636609,0.903188,-3.267135,0.541637,0.099758
0.050000,4.482160,4.662574,3.673726,0.742342,-3.216914,1.004415,0.071405
0.050000,4.511611,4.664352,3.703230,0.590081,-3.045227,3.433738,0.049244
0.050000,4.534320,4.665279,3.725958,0.454560,-2.710424,6.696063,0.032419
0.050000,4.551201,4.665722,3.742845,0.337742,-2.336346,7.481554,0.020062
0.050000,4.563149,4.665910,3.754794,0.238990,-1.975038,7.226162,0.011395
0.050000,4.571038,4.665977,3.762684,0.157783,-1.624151,7.017733,0.005709
0.050000,4.575725,4.665996,3.767370,0.093734,-1.280974,6.863555,0.002345
0.050000,4.578055,4.666000,3.769700,0.046597,-0.942740,6.764671,0.000676
0.050000,4.578868,4.666000,3.770514,0.016269,-0.606567,6.723466,0.000094
0.050000,4.579000,4.666000,3.770645,0.002638,-0.272625,6.678831,6.283185
0.050000,4.579000,4.666000,3.770645,0.000000,-0.052751,4.397478,6.283185
