dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.261859,3.058566,0.000306,0.012222,0.244444,4.888889,0.000129
0.050000,1.261921,3.058566,0.001528,0.036667,0.488889,4.888889,6.283178
0.050000,1.264671,3.058565,0.004278,0.073333,0.733333,4.888889,6.282874
0.050000,1.269560,3.058562,0.009167,0.122222,0.977778,4.888889,6.282337
0.050000,1.277199,3.058553,0.016806,0.183333,1.222222,4.888889,6.281508
0.050000,1.288199,3.058528,0.027806,0.256667,1.466667,4.888889,6.280339
0.050000,1.303171,3.058473,0.042778,0.342222,1.711111,4.888889,6.278792
0.050000,1.322726,3.058368,0.062333,0.440000,1.955556,4.888889,6.276848
0.050000,1.347476,3.058182,0.087083,0.550000,2.200000,4.888889,6.274513
0.050000,1.377724,3.057879,0.117333,0.660000,2.200000,0.000000,6.271849
0.050000,1.413471,3.057422,0.153083,0.770000,2.200000,-0.000000,6.268971
0.050000,1.454716,3.056773,0.194333,0.880000,2.200000,0.000000,6.266012
0.050000,1.501458,3.055901,0.241083,0.990000,2.200000,-0.000000,6.263128
0.050000,1.553696,3.054781,0.293333,1.100000,2.200000,0.000000,6.260496
0.050000,1.611430,3.053404,0.351083,1.210000,2.200000,0.000000,6.258311
0.050000,1.674659,3.051778,0.414333,1.320000,2.200000,0.000000,6.256790
0.050000,1.743384,3.049936,0.483083,1.430000,2.200000,-0.000000,6.256171
0.050000,1.817607,3.047943,0.557333,1.540000,2.200000,0.000000,6.256713
0.050000,1.897331,3.045902,0.637083,1.650000,2.200000,0.000000,6.258695
0.050000,1.982559,3.043961,0.722333,1.760000,2.200000,0.000000,6.262417
0.050000,2.072989,3.042329,0.812778,1.857778,1.955556,-4.888889,6.268179
0.050000,2.168010,3.041270,0.907806,1.943333,1.711111,-4.888889,6.276246
0.050000,2.267010,3.041089,1.006806,2.016667,1.466667,-4.888889,0.003658
0.050000,2.369365,3.042124,1.109167,2.077778,1.222222,-4.888889,0.016966
0.050000,2.474442,3.044734,1.214278,2.126667,0.977778,-4.888889,0.033106
0.050000,2.581594,3.049280,1.321528,2.163333,0.733333,-4.888889,0.052136
0.050000,2.690155,3.056115,1.430306,2.187778,0.488889,-4.888889,0.074036
0.050000,2.796671,3.067415,1.540000,2.200000,0.244444,-4.888889,0.159241
0.050000,2.903886,3.091677,1.650000,2.200000,0.000000,-4.888889,0.286686
0.050000,3.007107,3.129475,1.760000,2.200000,0.000000,0.000000,0.414676
0.050000,3.104847,3.179799,1.870000,2.200000,0.000000,0.000000,0.534202
0.050000,3.196347,3.240764,1.980000,2.200000,0.000000,0.000000,0.638288
0.050000,3.281681,3.310125,2.090000,2.200000,0.000000,0.000000,0.723463
0.050000,3.361555,3.385727,2.200000,2.200000,0.000000,0.000000,0.789206
0.050000,3.436905,3.465565,2.309791,2.191635,-0.167304,-3.346074,0.836493
0.050000,3.508642,3.547715,2.418858,2.171047,-0.411748,-4.888889,0.866766
0.050000,3.577669,3.630427,2.526590,2.138238,-0.656193,-4.888889,0.881477
0.050000,3.644841,3.712149,2.632376,2.093206,-0.900637,-4.888889,0.881832
0.050000,3.710899,3.791474,2.735605,2.035952,-1.145082,-4.888889,0.868739
0.050000,3.776413,3.867102,2.835666,1.966476,-1.389526,-4.888889,0.842903
0.050000,3.841737,3.937825,2.931947,1.884777,-1.633970,-4.888889,0.805019
0.050000,3.906952,4.002549,3.023838,1.790856,-1.878415,-4.888889,0.756044
0.050000,3.971819,4.060341,3.110727,1.684713,-2.122859,-4.888889,0.697493
0.050000,4.035910,4.110637,3.192213,1.574713,-2.200000,-1.542814,0.631486
0.050000,4.098750,4.153329,3.268198,1.464713,-2.200000,0.000000,0.560572
0.050000,4.159743,4.188626,3.338684,1.354713,-2.200000,-0.000000,0.487607
0.050000,4.218193,4.216996,3.403670,1.244713,-2.200000,0.000000,0.415491
0.050000,4.273396,4.239127,3.463155,1.134713,-2.200000,0.000000,0.346789
0.050000,4.324714,4.255858,3.517141,1.024713,-2.200000,-0.000000,0.283449
0.050000,4.371625,4.268088,3.565627,0.914713,-2.200000,0.000000,0.226705
0.050000,4.413734,4.276704,3.608612,0.804713,-2.200000,0.000000,0.177149
0.050000,4.450762,4.282526,3.646098,0.694713,-2.200000,0.000000,0.134895
0.050000,4.482526,4.286267,3.678084,0.584713,-2.200000,-0.000000,0.099758
0.050000,4.508914,4.288529,3.704569,0.474713,-2.200000,0.000000,0.071405
0.050000,4.530070,4.289806,3.725764,0.373079,-2.032696,3.346074,0.049244
0.050000,4.546475,4.290476,3.742183,0.283666,-1.788252,4.888889,0.032419
0.050000,4.558724,4.290797,3.754436,0.206476,-1.543807,4.888889,0.020062
0.050000,4.567422,4.290934,3.763136,0.141507,-1.299363,4.888889,0.011395
0.050000,4.573179,4.290983,3.768893,0.088761,-1.054918,4.888889,0.005709
0.050000,4.576604,4.290997,3.772318,0.048238,-0.810474,4.888889,0.002345
0.050000,4.578308,4.291000,3.774022,0.019936,-0.566030,4.888889,0.000676
0.050000,4.578903,4.291000,3.774617,0.003857,-0.321585,4.888889,0.000094
0.050000,4.579000,4.291000,3.774713,0.000000,-0.077141,4.888889,6.283185
0.050000,4.579000,4.291000,3.774713,0.000000,0.000000,1.542814,6.283185
