dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.261907,2.683566,0.000306,0.012222,0.244444,4.888889,0.000129
0.050000,1.261919,2.683566,0.000317,0.000232,-0.239798,-9.684842,6.283178
0.050000,1.264555,2.683565,0.002953,0.052716,1.049674,25.789430,6.282874
0.050000,1.269242,2.683562,0.007640,0.093749,0.820667,-4.580147,6.282337
0.050000,1.276570,2.683553,0.014969,0.146565,1.056319,4.713044,6.281508
0.050000,1.287132,2.683529,0.025530,0.211230,1.293285,4.739330,6.280339
0.050000,1.301524,2.683477,0.039922,0.287840,1.532206,4.778414,6.278792
0.050000,1.320350,2.683376,0.058749,0.376532,1.773849,4.832870,6.276848
0.050000,1.344224,2.683196,0.082623,0.477488,2.019112,4.905249,6.274513
0.050000,1.373473,2.682903,0.111874,0.585021,2.150671,2.631179,6.271849
0.050000,1.408141,2.682459,0.146545,0.693410,2.167772,0.342023,6.268971
0.050000,1.448276,2.681828,0.186685,0.802809,2.187976,0.404083,6.266012
0.050000,1.493937,2.680976,0.232354,0.913373,2.211275,0.465969,6.263128
0.050000,1.545188,2.679878,0.283617,1.025256,2.237659,0.527694,6.260496
0.050000,1.602103,2.678520,0.340547,1.138612,2.267124,0.589292,6.258311
0.050000,1.664762,2.676909,0.403227,1.253595,2.299670,0.650914,6.256790
0.050000,1.733255,2.675073,0.471745,1.370361,2.335307,0.712759,6.256171
0.050000,1.807681,2.673075,0.546198,1.489064,2.374063,0.775109,6.256713
0.050000,1.888148,2.671014,0.626691,1.609862,2.415972,0.838178,6.258695
0.050000,1.974771,2.669042,0.713337,1.732916,2.461071,0.901977,6.262417
0.050000,2.067362,2.667371,0.805942,1.852104,2.383755,-1.546319,6.268179
0.050000,2.165408,2.666279,0.903995,1.961052,2.178959,-4.095919,6.276246
0.050000,2.268381,2.666092,1.006968,2.059472,1.968402,-4.211138,0.003658
0.050000,2.375727,2.667178,1.114319,2.147011,1.750794,-4.352165,0.016966
0.050000,2.486855,2.669939,1.225481,2.223249,1.524748,-4.520906,0.033106
0.050000,2.601136,2.674790,1.339866,2.287688,1.288795,-4.719071,0.052136
0.050000,2.717893,2.682142,1.456854,2.339761,1.041444,-4.947022,0.074036
0.050000,2.856135,2.697159,1.595909,2.781099,8.826772,155.706573,0.159241
0.050000,3.009926,2.731982,1.753593,3.153693,7.451868,-27.498082,0.286686
0.050000,3.158192,2.786257,1.911481,3.157760,0.081344,-147.410491,0.414676
0.050000,3.295780,2.857046,2.066212,3.094602,-1.263156,-26.889996,0.534202
0.050000,3.419780,2.939595,2.215176,2.979296,-2.306125,-20.859379,0.638288
0.050000,3.529925,3.029055,2.357074,2.837947,-2.826984,-10.417188,0.723463
0.050000,3.627728,3.121573,2.491703,2.692590,-2.907139,-1.603094,0.789206
0.050000,3.715267,3.214289,2.619215,2.550233,-2.847128,1.200223,0.836493
0.050000,3.794482,3.304979,2.739630,2.408298,-2.838696,0.168643,0.866766
0.050000,3.867048,3.391922,2.852877,2.264950,-2.866972,-0.565515,0.881477
0.050000,3.934305,3.473747,2.958796,2.118384,-2.931310,-1.286770,0.881832
0.050000,3.997217,3.549303,3.057115,1.966371,-3.040274,-2.179279,0.868739
0.050000,4.056379,3.617615,3.147484,1.807391,-3.179601,-2.786537,0.842903
0.050000,4.112053,3.677913,3.229554,1.641399,-3.319826,-2.804501,0.805019
0.050000,4.164220,3.729715,3.303072,1.470361,-3.420774,-2.018964,0.756044
0.050000,4.212681,3.772920,3.367996,1.298466,-3.437897,-0.342458,0.697493
0.050000,4.257290,3.807956,3.424719,1.134457,-3.280170,3.154546,0.631486
0.050000,4.298126,3.835722,3.474101,0.987646,-2.936215,6.879096,0.560572
0.050000,4.335435,3.857330,3.517215,0.862280,-2.507333,8.577632,0.487607
0.050000,4.369558,3.873901,3.555149,0.758679,-2.072024,8.706184,0.415491
0.050000,4.400851,3.886451,3.588865,0.674317,-1.687236,7.695755,0.346789
0.050000,4.429590,3.895821,3.619093,0.604563,-1.395078,5.843164,0.283449
0.050000,4.455913,3.902683,3.646296,0.544056,-1.210141,3.698749,0.226705
0.050000,4.479818,3.907573,3.670695,0.487991,-1.121305,1.776717,0.177149
0.050000,4.501194,3.910932,3.692334,0.432777,-1.104273,0.340635,0.134895
0.050000,4.519874,3.913132,3.711142,0.376163,-1.132268,-0.559907,0.099758
0.050000,4.535668,3.914485,3.726995,0.317053,-1.182208,-0.998795,0.071405
0.050000,4.548529,3.915261,3.739879,0.257683,-1.187394,-0.103717,0.049244
0.050000,4.558630,3.915673,3.749988,0.202178,-1.110109,1.545704,0.032419
0.050000,4.566247,3.915873,3.757608,0.152393,-0.995689,2.288392,0.020062
0.050000,4.571696,3.915959,3.763057,0.108991,-0.868048,2.552820,0.011395
0.050000,4.575320,3.915990,3.766682,0.072492,-0.729972,2.761520,0.005709
0.050000,4.577484,3.915998,3.768845,0.043270,-0.584447,2.910511,0.002345
0.050000,4.578562,3.916000,3.769924,0.021568,-0.434050,3.007932,0.000676
0.050000,4.578939,3.916000,3.770301,0.007539,-0.280571,3.069578,0.000094
0.050000,4.579000,3.916000,3.770362,0.001223,-0.126327,3.084889,6.283185
0.050000,4.579000,3.916000,3.770362,0.000000,-0.024454,2.037456,6.283185
