dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.400000,0.625000,0.000289,0.011544,0.230873,4.617455,0.000000
0.050000,3.400000,0.625000,0.000289,0.000000,-0.230873,-9.234910,0.000000
0.050000,3.402440,0.625000,0.002729,0.048805,0.976109,24.139642,0.000000
0.050000,3.407058,0.625000,0.007346,0.092349,0.870873,-2.104731,0.000000
0.050000,3.414273,0.625000,0.014561,0.144295,1.038927,3.361093,0.000000
0.050000,3.424662,0.625000,0.024950,0.207785,1.269800,4.617455,0.000000
0.050000,3.438803,0.625000,0.039091,0.282819,1.500673,4.617455,0.000000
0.050000,3.457273,0.625000,0.057561,0.369396,1.731546,4.617455,0.000000
0.050000,3.480648,0.625000,0.080937,0.467517,1.962418,4.617455,0.000000
0.050000,3.509219,0.625000,0.109508,0.571410,2.077855,2.308728,0.000000
0.050000,3.542984,0.625000,0.143273,0.675303,2.077855,-0.000000,0.000000
0.050000,3.581944,0.625000,0.182232,0.779196,2.077855,0.000000,0.000000
0.050000,3.626098,0.625000,0.226387,0.883088,2.077855,-0.000000,0.000000
0.050000,3.675447,0.625000,0.275736,0.986981,2.077855,0.000000,0.000000
0.050000,3.729702,0.625000,0.329991,1.085102,1.962418,-2.308728,0.000000
0.050000,3.788286,0.625000,0.388575,1.171679,1.731546,-4.617455,0.000000
0.050000,3.850622,0.625000,0.450911,1.246713,1.500673,-4.617455,0.000000
0.050000,3.916132,0.625000,0.516421,1.310203,1.269800,-4.617455,0.000000
0.050000,3.984240,0.625000,0.584528,1.362149,1.038927,-4.617455,0.000000
0.050000,4.054367,0.625000,0.654656,1.402552,0.808055,-4.617455,0.000000
0.050000,4.125938,0.625000,0.726226,1.431411,0.577182,-4.617455,0.000000
0.050000,4.198374,0.625000,0.798663,1.448727,0.346309,-4.617455,0.000000
0.050000,4.270817,0.625000,0.871106,1.448858,0.002622,-6.873746,0.000000
0.050000,4.342407,0.625000,0.942696,1.431804,-0.341065,-6.873746,0.000000
0.050000,4.412568,0.625000,1.012856,1.403207,-0.571938,-4.617455,0.000000
0.050000,4.480721,0.625000,1.081010,1.363067,-0.802811,-4.617455,0.000000
0.050000,4.546290,0.625000,1.146579,1.311383,-1.033684,-4.617455,0.000000
0.050000,4.608698,0.625000,1.208986,1.248155,-1.264556,-4.617455,0.000000
0.050000,4.667367,0.625000,1.267656,1.173383,-1.495429,-4.617455,0.000000
0.050000,4.721720,0.625000,1.322009,1.087068,-1.726302,-4.617455,0.000000
0.050000,4.771181,0.625000,1.371469,0.989210,-1.957175,-4.617455,0.000000
0.050000,4.815453,0.625000,1.415742,0.885448,-2.075233,-2.361165,0.000000
0.050000,4.854531,0.625000,1.454820,0.781555,-2.077855,-0.052437,0.000000
0.050000,4.888414,0.625000,1.488703,0.677662,-2.077855,0.000000,0.000000
0.050000,4.917103,0.625000,1.517391,0.573770,-2.077855,-0.000000,0.000000
0.050000,4.940597,0.625000,1.540885,0.469877,-2.077855,0.000000,0.000000
0.050000,4.959178,0.625000,1.559466,0.371625,-1.965040,2.256290,0.000000
0.050000,4.973417,0.625000,1.573706,0.284786,-1.736789,4.565018,0.000000
0.050000,4.983892,0.625000,1.584180,0.209490,-1.505917,4.617455,0.000000
0.050000,4.991178,0.625000,1.591467,0.145737,-1.275044,4.617455,0.000000
0.050000,4.995855,0.625000,1.596143,0.093529,-1.044171,4.617455,0.000000
0.050000,4.998498,0.625000,1.598787,0.052864,-0.813298,4.617455,0.000000
0.050000,4.999685,0.625000,1.599974,0.023743,-0.582426,4.617455,0.000000
0.050000,4.999993,0.625000,1.600282,0.006165,-0.351553,4.617455,0.000000
0.050000,5.000000,0.625000,1.600289,0.000131,-0.120680,4.617455,0.000000
0.050000,5.000000,0.625000,1.600289,0.000000,-0.002622,2.361165,0.000000
