dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.433642,5.053142,0.000306,0.012222,0.244444,4.888889,5.417608
0.050000,3.433656,5.053125,0.000328,0.000441,-0.235616,-9.601217,5.417549
0.050000,3.434813,5.051765,0.002113,0.035711,0.705391,18.820145,5.417417
0.050000,3.438038,5.047975,0.007090,0.099527,1.276331,11.418794,5.417184
0.050000,3.443074,5.042052,0.014864,0.155485,1.119147,-3.143662,5.416823
0.050000,3.450319,5.033522,0.026056,0.223841,1.367117,4.959394,5.416311
0.050000,3.460171,5.021910,0.041284,0.304563,1.614446,4.946585,5.415628
0.050000,3.473021,5.006741,0.061164,0.397607,1.860886,4.928787,5.414762
0.050000,3.489256,4.987538,0.086310,0.502914,2.106142,4.905116,5.413707
0.050000,3.509056,4.964063,0.117020,0.614207,2.225849,2.394156,5.412479
0.050000,3.532400,4.936315,0.153281,0.725220,2.220257,-0.111853,5.411117
0.050000,3.559261,4.904295,0.195076,0.835902,2.213650,-0.132130,5.409663
0.050000,3.589612,4.868004,0.242387,0.946204,2.206031,-0.152377,5.408169
0.050000,3.623428,4.827449,0.295190,1.056074,2.197401,-0.172611,5.406693
0.050000,3.660682,4.782639,0.353463,1.165462,2.187762,-0.192785,5.405298
0.050000,3.701351,4.733590,0.417179,1.274318,2.177113,-0.212979,5.404055
0.050000,3.745414,4.680324,0.486309,1.382590,2.165455,-0.233151,5.403043
0.050000,3.792859,4.622870,0.560820,1.490230,2.152787,-0.253364,5.402346
0.050000,3.843679,4.561268,0.640680,1.597185,2.139105,-0.273645,5.402055
0.050000,3.897875,4.495566,0.725850,1.703405,2.124402,-0.294049,5.402267
0.050000,3.955267,4.426061,0.815988,1.802756,1.987019,-2.747662,5.403085
0.050000,4.015496,4.353294,0.910447,1.889185,1.728579,-5.168795,5.404601
0.050000,4.078214,4.277811,1.008586,1.962782,1.471937,-5.132854,5.406897
0.050000,4.143089,4.200163,1.109768,2.023651,1.217382,-5.091093,5.410040
0.050000,4.209795,4.120902,1.213364,2.071909,0.965173,-5.044186,5.414081
0.050000,4.278016,4.040579,1.318748,2.107686,0.715536,-4.992734,5.419056
0.050000,4.347437,3.959740,1.425304,2.131120,0.468667,-4.937383,5.424980
0.050000,4.417742,3.878923,1.532422,2.142356,0.224727,-4.878806,5.431851
0.050000,4.488611,3.798654,1.639499,2.141548,-0.016158,-4.817692,5.439644
0.050000,4.559913,3.719223,1.746238,2.134773,-0.135494,-2.386726,5.448340
0.050000,4.631711,3.640698,1.852639,2.128018,-0.135112,0.007654,5.457936
0.050000,4.704064,3.563143,1.958704,2.121293,-0.134499,0.012252,5.468429
0.050000,4.777031,3.486627,2.064434,2.114613,-0.133604,0.017898,5.479813
0.050000,4.850666,3.411215,2.169834,2.107994,-0.132368,0.024731,5.492078
0.050000,4.925022,3.336976,2.274907,2.101458,-0.130729,0.032782,5.505215
0.050000,5.000148,3.263976,2.379658,2.095026,-0.128630,0.041978,5.519210
0.050000,5.076089,3.192283,2.484094,2.088726,-0.126011,0.052372,5.534044
0.050000,5.141306,3.134399,2.571294,1.743993,-6.894657,-135.372921,5.587162
0.050000,5.210425,3.080057,2.659218,1.758469,0.289528,143.683693,5.645999
0.050000,5.283669,3.028954,2.748527,1.786193,0.554485,5.299151,5.701143
0.050000,5.360967,2.980894,2.839548,1.820409,0.684307,2.596429,5.751729
0.050000,5.442180,2.935658,2.932509,1.859225,0.776328,1.840419,5.797144
0.050000,5.527107,2.892991,3.027552,1.900860,0.832705,1.127544,5.837013
0.050000,5.615510,2.852601,3.124744,1.943851,0.859802,0.541950,5.871153
0.050000,5.707128,2.814156,3.224101,1.987139,0.865763,0.119216,5.899526
0.050000,5.801695,2.777278,3.325605,2.030068,0.858586,-0.143550,5.922178
0.050000,5.898958,2.741554,3.429221,2.072322,0.845074,-0.270233,5.939198
0.050000,5.998678,2.706529,3.534913,2.113848,0.830536,-0.290751,5.950683
0.050000,6.100638,2.671716,3.642652,2.154779,0.818609,-0.238546,5.956712
0.050000,6.204634,2.636592,3.752420,2.195362,0.811663,-0.138922,5.957331
0.050000,6.310477,2.600598,3.864216,2.235903,0.810828,-0.016701,5.952543
0.050000,6.417973,2.563138,3.978051,2.276715,0.816221,0.107857,5.942314
0.050000,6.526916,2.523580,4.093954,2.318061,0.826939,0.214373,5.926569
0.050000,6.637069,2.481254,4.211960,2.360107,0.840912,0.279459,5.905215
0.050000,6.748142,2.435459,4.332102,2.402848,0.854825,0.278252,5.878159
0.050000,6.859724,2.385496,4.454360,2.445154,0.846110,-0.174299,5.845352
0.050000,6.970994,2.330836,4.578331,2.479420,0.685324,-3.215714,5.806947
0.050000,7.080746,2.271216,4.703231,2.498006,0.371713,-6.272237,5.763404
0.050000,7.187688,2.206615,4.828171,2.498790,0.015680,-7.120648,5.715466
0.050000,7.290497,2.137318,4.952153,2.479652,-0.382755,-7.968701,5.664163
0.050000,7.387903,2.063957,5.074095,2.438843,-0.816183,-8.668561,5.610757
0.050000,7.478791,1.987506,5.192861,2.375316,-1.270536,-9.087069,5.556647
0.050000,7.557911,1.913594,5.301133,2.165445,-4.197427,-58.537805,5.517556
0.050000,7.605870,1.870692,5.365482,1.286970,-17.569493,-267.441325,5.585332
0.050000,7.657920,1.829271,5.432001,1.330389,0.868389,368.757634,5.633377
0.050000,7.712387,1.789295,5.499564,1.351253,0.417271,-9.022358,5.663984
0.050000,7.767731,1.750606,5.567091,1.350536,-0.014346,-8.632329,5.680026
0.050000,7.822575,1.713071,5.633549,1.329161,-0.427487,-8.262831,5.684252
0.050000,7.875742,1.676637,5.698001,1.289053,-0.802174,-7.493729,5.679160
0.050000,7.926250,1.641369,5.759605,1.232065,-1.139748,-6.751495,5.666998
0.050000,7.973298,1.607472,5.817592,1.159742,-1.446463,-6.134292,5.649812
0.050000,8.016244,1.575282,5.871262,1.073411,-1.726630,-5.603338,5.629469
0.050000,8.054600,1.545244,5.919981,0.974362,-1.980969,-5.086776,5.607666
0.050000,8.088021,1.517873,5.963180,0.863989,-2.207463,-4.529898,5.585914
0.050000,8.116290,1.493705,6.000372,0.743832,-2.403136,-3.913451,5.565516
0.050000,8.139333,1.473225,6.031200,0.616560,-2.545443,-2.846137,5.547526
0.050000,8.157442,1.456585,6.055793,0.491874,-2.493713,1.034599,5.532519
0.050000,8.171211,1.443588,6.074727,0.378675,-2.263988,4.594499,5.520593
0.050000,8.181242,1.433918,6.088660,0.278657,-2.000359,5.272570,5.511620
0.050000,8.188139,1.427167,6.098312,0.193035,-1.712433,5.758527,5.505310
0.050000,8.192499,1.422855,6.104444,0.122640,-1.407906,6.090544,5.501261
0.050000,8.194909,1.420456,6.107844,0.068004,-1.092730,6.303516,5.499004
0.050000,8.195950,1.419416,6.109316,0.029438,-0.771305,6.428500,5.498024
0.050000,8.196201,1.419165,6.109671,0.007101,-0.446756,6.490984,5.497787
0.050000,8.196201,1.419165,6.109671,0.000000,-0.142012,6.094875,5.497787
