dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.862540,4.566991,0.000306,0.012222,0.244444,4.888889,5.417608
0.050000,2.862525,4.567008,0.000328,0.000441,-0.235616,-9.601217,5.417549
0.050000,2.863618,4.565724,0.002014,0.033731,0.665787,18.028070,5.417417
0.050000,2.866730,4.562067,0.006816,0.096028,1.245946,11.603188,5.417184
0.050000,2.871590,4.556350,0.014319,0.150071,1.080853,-3.301878,5.416823
0.050000,2.878587,4.548113,0.025127,0.216159,1.321772,4.818391,5.416311
0.050000,2.888108,4.536891,0.039843,0.294326,1.563331,4.831169,5.415628
0.050000,2.900538,4.522218,0.059074,0.384615,1.805781,4.849000,5.414762
0.050000,2.916261,4.503619,0.083428,0.487086,2.049414,4.872668,5.413707
0.050000,2.935468,4.480848,0.113218,0.595793,2.174150,2.494722,5.412479
0.050000,2.958154,4.453882,0.148457,0.704780,2.179742,0.111847,5.411117
0.050000,2.984314,4.422697,0.189162,0.814098,2.186349,0.132133,5.409663
0.050000,3.013947,4.387266,0.235352,0.923796,2.193969,0.152390,5.408169
0.050000,3.047053,4.347561,0.287048,1.033926,2.202598,0.172598,5.406693
0.050000,3.083638,4.303556,0.344275,1.144538,2.212239,0.192812,5.405298
0.050000,3.123712,4.255224,0.407059,1.255682,2.222888,0.212974,5.404055
0.050000,3.167292,4.202543,0.475430,1.367410,2.234546,0.233160,5.403043
0.050000,3.214404,4.145492,0.549418,1.479770,2.247214,0.253369,5.402346
0.050000,3.265085,4.084058,0.629059,1.592815,2.260897,0.273647,5.402055
0.050000,3.319382,4.018233,0.714389,1.706595,2.275598,0.294028,5.402267
0.050000,3.377165,3.948255,0.805140,1.815022,2.168535,-2.141264,5.403085
0.050000,3.438119,3.874612,0.900736,1.911926,1.938082,-4.609060,5.404601
0.050000,3.501938,3.797805,1.000597,1.997217,1.705831,-4.645013,5.406897
0.050000,3.568324,3.718349,1.104136,2.070792,1.471491,-4.686801,5.410040
0.050000,3.636982,3.636769,1.210763,2.132532,1.234803,-4.733753,5.414081
0.050000,3.707618,3.553602,1.319878,2.182309,0.995543,-4.785200,5.419056
0.050000,3.779934,3.469393,1.430878,2.219985,0.753517,-4.840533,5.424980
0.050000,3.853622,3.384688,1.543148,2.245413,0.508561,-4.899116,5.431851
0.050000,3.928359,3.300038,1.656070,2.258441,0.260552,-4.960172,5.439644
0.050000,4.004018,3.215754,1.769331,2.265213,0.135439,-2.502263,5.448340
0.050000,4.080673,3.131917,1.882929,2.271965,0.135051,-0.007766,5.457936
0.050000,4.158395,3.048609,1.996864,2.278687,0.134434,-0.012343,5.468429
0.050000,4.237254,2.965914,2.111132,2.285364,0.133532,-0.018044,5.479813
0.050000,4.317317,2.883921,2.225731,2.291978,0.132289,-0.024851,5.492078
0.050000,4.398646,2.802721,2.340656,2.298511,0.130648,-0.032819,5.505215
0.050000,4.481299,2.722407,2.455903,2.304938,0.128546,-0.042052,5.519210
0.050000,4.565331,2.643078,2.571465,2.311234,0.125923,-0.052449,5.534044
0.050000,4.660427,2.558851,2.698498,2.540669,4.588707,89.255685,5.587162
0.050000,4.764223,2.477228,2.830543,2.640895,2.004514,-51.683874,5.645999
0.050000,4.871371,2.402448,2.961206,2.613248,-0.552942,-51.149116,5.701143
0.050000,4.980875,2.334342,3.090162,2.579120,-0.682557,-2.592304,5.751729
0.050000,5.091833,2.272516,3.217181,2.540395,-0.774496,-1.838775,5.797144
0.050000,5.203470,2.216412,3.342124,2.498848,-0.830954,-1.129154,5.837013
0.050000,5.315156,2.165370,3.464920,2.455935,-0.858250,-0.545930,5.871153
0.050000,5.426390,2.118680,3.585556,2.412713,-0.864435,-0.123695,5.899526
0.050000,5.536782,2.075622,3.704048,2.369838,-0.857497,0.138764,5.922178
0.050000,5.646025,2.035490,3.820429,2.327625,-0.844271,0.264515,5.939198
0.050000,5.753871,1.997607,3.934736,2.286128,-0.829941,0.286604,5.950683
0.050000,5.860110,1.961332,4.046996,2.245214,-0.818267,0.233475,5.956712
0.050000,5.964546,1.926059,4.157228,2.204638,-0.811527,0.134809,5.957331
0.050000,6.066989,1.891222,4.265433,2.164093,-0.810908,0.012366,5.952543
0.050000,6.167241,1.856291,4.371596,2.123266,-0.816527,-0.112367,5.942314
0.050000,6.265087,1.820768,4.475691,2.081893,-0.827460,-0.218673,5.926569
0.050000,6.360293,1.784192,4.577681,2.039809,-0.841693,-0.284647,5.905215
0.050000,6.452609,1.746140,4.677532,1.997018,-0.855820,-0.282540,5.878159
0.050000,6.541741,1.706242,4.775186,1.953077,-0.878809,-0.459789,5.845352
0.050000,6.627164,1.664291,4.870355,1.903374,-0.994062,-2.305051,5.806947
0.050000,6.708228,1.620270,4.962600,1.844906,-1.169373,-3.506235,5.763404
0.050000,6.784406,1.574268,5.051590,1.779803,-1.302055,-2.653637,5.715466
0.050000,6.855318,1.526483,5.137100,1.710190,-1.392260,-1.804095,5.664163
0.050000,6.920738,1.477223,5.218991,1.637836,-1.447075,-1.096303,5.610757
0.050000,6.980576,1.426897,5.297180,1.563775,-1.481229,-0.683078,5.556647
0.050000,7.038168,1.372885,5.376136,1.579122,0.306944,35.763460,5.517556
0.050000,7.123939,1.296024,5.491307,2.303411,14.485784,283.576809,5.585332
0.050000,7.204145,1.232121,5.593857,2.051005,-5.048117,-390.678018,5.633377
0.050000,7.277099,1.178538,5.684374,1.810344,-4.813229,4.697760,5.663984
0.050000,7.342296,1.132945,5.763932,1.591153,-4.383813,8.588304,5.680026
0.050000,7.399754,1.093618,5.833560,1.392557,-3.971921,8.237850,5.684252
0.050000,7.449771,1.059345,5.894193,1.212665,-3.597839,7.481644,5.679160
0.050000,7.492804,1.029303,5.946675,1.049641,-3.260478,6.747214,5.666998
0.050000,7.529398,1.002945,5.991773,0.901953,-2.953764,6.134286,5.649812
0.050000,7.560139,0.979910,6.030187,0.768278,-2.673498,5.605320,5.629469
0.050000,7.585623,0.959957,6.062553,0.647326,-2.419039,5.089182,5.607666
0.050000,7.606425,0.942925,6.089438,0.537704,-2.192448,4.531816,5.585914
0.050000,7.623067,0.928700,6.111332,0.437868,-1.996720,3.914562,5.565516
0.050000,7.636025,0.917184,6.128667,0.346718,-1.822988,3.474640,5.547526
0.050000,7.645848,0.908159,6.142006,0.266774,-1.598878,4.482189,5.532519
0.050000,7.653112,0.901302,6.151995,0.199786,-1.339766,5.182253,5.520593
0.050000,7.658298,0.896303,6.159198,0.144060,-1.114533,4.504660,5.511620
0.050000,7.661813,0.892862,6.164117,0.098380,-0.913594,4.018781,5.505310
0.050000,7.664014,0.890685,6.167213,0.061918,-0.729240,3.687063,5.501261
0.050000,7.665224,0.889481,6.168920,0.034141,-0.555540,3.474010,5.499004
0.050000,7.665746,0.888960,6.169657,0.014737,-0.388072,3.349369,5.498024
0.050000,7.665871,0.888835,6.169835,0.003551,-0.223727,3.286882,5.497787
0.050000,7.665871,0.888835,6.169835,0.000000,-0.071017,3.054204,5.497787
