dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.433642,5.053142,0.000306,0.012222,0.244444,4.888889,5.417608
0.050000,3.433656,5.053125,0.000328,0.000441,-0.235616,-9.601217,5.417549
0.050000,3.434813,5.051765,0.002113,0.035711,0.705391,18.820145,5.417417
0.050000,3.438038,5.047975,0.007090,0.099527,1.276331,11.418794,5.417184
0.050000,3.443074,5.042052,0.014864,0.155485,1.119147,-3.143662,5.416823
0.050000,3.450319,5.033522,0.026056,0.223841,1.367117,4.959394,5.416311
0.050000,3.460171,5.021910,0.041284,0.304563,1.614446,4.946585,5.415628
0.050000,3.473021,5.006741,0.061164,0.397607,1.860886,4.928787,5.414762
0.050000,3.489256,4.987538,0.086310,0.502914,2.106142,4.905116,5.413707
0.050000,3.509056,4.964063,0.117020,0.614207,2.225849,2.394156,5.412479
0.050000,3.532400,4.936315,0.153281,0.725220,2.220257,-0.111853,5.411117
0.050000,3.559261,4.904295,0.195076,0.835902,2.213650,-0.132130,5.409663
0.050000,3.589612,4.868004,0.242387,0.946204,2.206031,-0.152377,5.408169
0.050000,3.623428,4.827449,0.295190,1.056074,2.197401,-0.172611,5.406693
0.050000,3.660682,4.782639,0.353463,1.165462,2.187762,-0.192785,5.405298
0.050000,3.701351,4.733590,0.417179,1.274318,2.177113,-0.212979,5.404055
0.050000,3.745414,4.680324,0.486309,1.382590,2.165455,-0.233151,5.403043
0.050000,3.792859,4.622870,0.560820,1.490230,2.152787,-0.253364,5.402346
0.050000,3.843679,4.561268,0.640680,1.597185,2.139105,-0.273645,5.402055
0.050000,3.897875,4.495566,0.725850,1.703405,2.124402,-0.294049,5.402267
0.050000,3.955267,4.426061,0.815988,1.802756,1.987019,-2.747662,5.403085
0.050000,4.015496,4.353294,0.910447,1.889185,1.728579,-5.168795,5.404601
0.050000,4.078214,4.277811,1.008586,1.962782,1.471937,-5.132854,5.406897
0.050000,4.143089,4.200163,1.109768,2.023651,1.217382,-5.091093,5.410040
0.050000,4.209795,4.120902,1.213364,2.071909,0.965173,-5.044186,5.414081
0.050000,4.278016,4.040579,1.318748,2.107686,0.715536,-4.992734,5.419056
0.050000,4.347437,3.959740,1.425304,2.131120,0.468667,-4.937383,5.424980
0.050000,4.417742,3.878923,1.532422,2.142356,0.224727,-4.878806,5.431851
0.050000,4.488611,3.798654,1.639499,2.141548,-0.016158,-4.817692,5.439644
0.050000,4.559913,3.719223,1.746238,2.134773,-0.135494,-2.386726,5.448340
0.050000,4.631711,3.640698,1.852639,2.128018,-0.135112,0.007654,5.457936
0.050000,4.704064,3.563143,1.958704,2.121293,-0.134499,0.012252,5.468429
0.050000,4.777031,3.486627,2.064434,2.114613,-0.133604,0.017898,5.479813
0.050000,4.850666,3.411215,2.169834,2.107994,-0.132368,0.024731,5.492078
0.050000,4.925022,3.336976,2.274907,2.101458,-0.130729,0.032782,5.505215
0.050000,5.000148,3.263976,2.379658,2.095026,-0.128630,0.041978,5.519210
0.050000,5.076089,3.192283,2.484094,2.088726,-0.126011,0.052372,5.534044
0.050000,5.141955,3.133705,2.572241,1.762922,-6.516072,-127.801211,5.584606
0.050000,5.211790,3.078329,2.661366,1.782506,0.391678,138.154989,5.640241
0.050000,5.285634,3.025994,2.751875,1.810185,0.553574,3.237931,5.692189
0.050000,5.363388,2.976511,2.844039,1.843288,0.662056,2.169642,5.739728
0.050000,5.444894,2.929666,2.938048,1.880179,0.737820,1.515280,5.782352
0.050000,5.529945,2.885211,3.034017,1.919362,0.783676,0.917108,5.819755
0.050000,5.618303,2.842866,3.131998,1.959629,0.805327,0.433023,5.851793
0.050000,5.709716,2.802309,3.232003,2.000111,0.809644,0.086334,5.878437
0.050000,5.803928,2.763183,3.334017,2.040271,0.803204,-0.128789,5.899729
0.050000,5.900694,2.725095,3.438010,2.079853,0.791644,-0.231201,5.915746
0.050000,5.999785,2.687618,3.543951,2.118817,0.779282,-0.247244,5.926569
0.050000,6.100985,2.650294,3.651814,2.157276,0.769170,-0.202234,5.932265
0.050000,6.204095,2.612633,3.761586,2.195439,0.763259,-0.118225,5.932873
0.050000,6.308921,2.574116,3.873265,2.233565,0.762521,-0.014766,5.928398
0.050000,6.415268,2.534187,3.986860,2.271918,0.767054,0.090667,5.918807
0.050000,6.522718,2.492346,4.102170,2.306182,0.685285,-1.635375,5.904075
0.050000,6.630513,2.448212,4.218650,2.329608,0.468519,-4.335321,5.884260
0.050000,6.737749,2.401490,4.335622,2.339443,0.196706,-5.436275,5.859542
0.050000,6.843465,2.351990,4.452353,2.334617,-0.096520,-5.864506,5.830248
0.050000,6.946653,2.299668,4.568047,2.313889,-0.414565,-6.360897,5.796867
0.050000,7.046277,2.244673,4.681843,2.275919,-0.759400,-6.896711,5.760070
0.050000,7.141312,2.187378,4.792814,2.219403,-1.130314,-7.418274,5.720699
0.050000,7.230789,2.128406,4.899976,2.143251,-1.523052,-7.854767,5.679746
0.050000,7.313841,2.068612,5.002314,2.046754,-1.929942,-8.137787,5.638295
0.050000,7.389954,2.008899,5.099055,1.934822,-2.238634,-6.173842,5.597345
0.050000,7.459044,1.950043,5.189815,1.815205,-2.392330,-3.073920,5.557680
0.050000,7.521234,1.892762,5.274365,1.690997,-2.484169,-1.836789,5.519912
0.050000,7.566646,1.848383,5.337861,1.269923,-8.421486,-118.746337,5.522581
0.050000,7.598607,1.819439,5.380980,0.862385,-8.150745,5.414820,5.565966
0.050000,7.634841,1.788492,5.428631,0.953008,1.812447,199.263844,5.582608
0.050000,7.672795,1.756468,5.478290,0.993191,0.803668,-20.175589,5.579228
0.050000,7.710245,1.724166,5.527747,0.989131,-0.081209,-17.697531,5.561720
0.050000,7.745371,1.692477,5.575055,0.946154,-0.859525,-15.566328,5.535274
0.050000,7.776769,1.662465,5.618489,0.868684,-1.549401,-13.797526,5.504490
0.050000,7.803451,1.635321,5.656551,0.761249,-2.148712,-11.986214,5.473364
0.050000,7.825043,1.612001,5.688332,0.635622,-2.512538,-7.276524,5.444895
0.050000,7.841795,1.592921,5.713723,0.507821,-2.556018,-0.869598,5.420758
0.050000,7.854251,1.578098,5.733085,0.387229,-2.411830,2.883756,5.401622
0.050000,7.863042,1.567276,5.747027,0.278844,-2.167718,4.882257,5.387489
0.050000,7.868822,1.559985,5.756331,0.186074,-1.855382,6.246704,5.377905
0.050000,7.872239,1.555606,5.761886,0.111100,-1.499479,7.118073,5.372128
0.050000,7.873928,1.553422,5.764646,0.055209,-1.117825,7.633084,5.369242
0.050000,7.874510,1.552666,5.765600,0.019081,-0.722563,7.905237,5.368242
0.050000,7.874602,1.552547,5.765751,0.003006,-0.321495,8.021353,5.368085
0.050000,7.874602,1.552547,5.765751,0.000000,-0.060127,5.227353,5.368085
