dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.862540,4.566991,0.000306,0.012222,0.244444,4.888889,5.417608
0.050000,2.862525,4.567008,0.000328,0.000441,-0.235616,-9.601217,5.417549
0.050000,2.863618,4.565724,0.002014,0.033731,0.665787,18.028070,5.417417
0.050000,2.866730,4.562067,0.006816,0.096028,1.245946,11.603188,5.417184
0.050000,2.871590,4.556350,0.014319,0.150071,1.080853,-3.301878,5.416823
0.050000,2.878587,4.548113,0.025127,0.216159,1.321772,4.818391,5.416311
0.050000,2.888108,4.536891,0.039843,0.294326,1.563331,4.831169,5.415628
0.050000,2.900538,4.522218,0.059074,0.384615,1.805781,4.849000,5.414762
0.050000,2.916261,4.503619,0.083428,0.487086,2.049414,4.872668,5.413707
0.050000,2.935468,4.480848,0.113218,0.595793,2.174150,2.494722,5.412479
0.050000,2.958154,4.453882,0.148457,0.704780,2.179742,0.111847,5.411117
0.050000,2.984314,4.422697,0.189162,0.814098,2.186349,0.132133,5.409663
0.050000,3.013947,4.387266,0.235352,0.923796,2.193969,0.152390,5.408169
0.050000,3.047053,4.347561,0.287048,1.033926,2.202598,0.172598,5.406693
0.050000,3.083638,4.303556,0.344275,1.144538,2.212239,0.192812,5.405298
0.050000,3.123712,4.255224,0.407059,1.255682,2.222888,0.212974,5.404055
0.050000,3.167292,4.202543,0.475430,1.367410,2.234546,0.233160,5.403043
0.050000,3.214404,4.145492,0.549418,1.479770,2.247214,0.253369,5.402346
0.050000,3.265085,4.084058,0.629059,1.592815,2.260897,0.273647,5.402055
0.050000,3.319382,4.018233,0.714389,1.706595,2.275598,0.294028,5.402267
0.050000,3.377165,3.948255,0.805140,1.815022,2.168535,-2.141264,5.403085
0.050000,3.438119,3.874612,0.900736,1.911926,1.938082,-4.609060,5.404601
0.050000,3.501938,3.797805,1.000597,1.997217,1.705831,-4.645013,5.406897
0.050000,3.568324,3.718349,1.104136,2.070792,1.471491,-4.686801,5.410040
0.050000,3.636982,3.636769,1.210763,2.132532,1.234803,-4.733753,5.414081
0.050000,3.707618,3.553602,1.319878,2.182309,0.995543,-4.785200,5.419056
0.050000,3.779934,3.469393,1.430878,2.219985,0.753517,-4.840533,5.424980
0.050000,3.853622,3.384688,1.543148,2.245413,0.508561,-4.899116,5.431851
0.050000,3.928359,3.300038,1.656070,2.258441,0.260552,-4.960172,5.439644
0.050000,4.004018,3.215754,1.769331,2.265213,0.135439,-2.502263,5.448340
0.050000,4.080673,3.131917,1.882929,2.271965,0.135051,-0.007766,5.457936
0.050000,4.158395,3.048609,1.996864,2.278687,0.134434,-0.012343,5.468429
0.050000,4.237254,2.965914,2.111132,2.285364,0.133532,-0.018044,5.479813
0.050000,4.317317,2.883921,2.225731,2.291978,0.132289,-0.024851,5.492078
0.050000,4.398646,2.802721,2.340656,2.298511,0.130648,-0.032819,5.505215
0.050000,4.481299,2.722407,2.455903,2.304938,0.128546,-0.042052,5.519210
0.050000,4.565331,2.643078,2.571465,2.311234,0.125923,-0.052449,5.534044
0.050000,4.657660,2.560670,2.695221,2.475128,3.277883,63.039203,5.578512
0.050000,4.757259,2.480082,2.823340,2.562373,1.744902,-30.659618,5.626862
0.050000,4.859497,2.404979,2.950199,2.537174,-0.503982,-44.977684,5.671847
0.050000,4.963680,2.335151,3.075618,2.508388,-0.575729,-1.434950,5.712989
0.050000,5.069179,2.270266,3.199473,2.477097,-0.625813,-1.001679,5.749954
0.050000,5.175443,2.209901,3.321686,2.444261,-0.656727,-0.618280,5.782537
0.050000,5.282005,2.153574,3.442218,2.410651,-0.672198,-0.309407,5.810634
0.050000,5.388471,2.100771,3.561060,2.376829,-0.676426,-0.084566,5.834219
0.050000,5.494516,2.050967,3.678218,2.343157,-0.673450,0.059514,5.853311
0.050000,5.599866,2.003643,3.793709,2.309820,-0.666747,0.134058,5.867956
0.050000,5.704285,1.958290,3.907552,2.276868,-0.659037,0.154207,5.878207
0.050000,5.807567,1.914419,4.019765,2.244249,-0.652366,0.133422,5.884107
0.050000,5.909518,1.871563,4.130357,2.211845,-0.648081,0.085695,5.885686
0.050000,6.009954,1.829277,4.239332,2.179499,-0.646924,0.023143,5.882953
0.050000,6.108689,1.787137,4.346684,2.147045,-0.649092,-0.043368,5.875893
0.050000,6.205533,1.744743,4.452401,2.114331,-0.654264,-0.103434,5.864472
0.050000,6.300285,1.701718,4.556463,2.081256,-0.661509,-0.144902,5.848642
0.050000,6.392735,1.657710,4.658853,2.047790,-0.669326,-0.156333,5.828352
0.050000,6.482661,1.612390,4.759554,2.014015,-0.675497,-0.123419,5.803561
0.050000,6.569709,1.565529,4.858414,1.977204,-0.736209,-1.214247,5.774306
0.050000,6.653315,1.517079,4.955044,1.932609,-0.891914,-3.114099,5.740807
0.050000,6.732881,1.467123,5.048992,1.878961,-1.072948,-3.620683,5.703485
0.050000,6.807909,1.415836,5.139875,1.817648,-1.226259,-3.066212,5.662948
0.050000,6.878018,1.363483,5.227374,1.749977,-1.353428,-2.543387,5.619977
0.050000,6.942943,1.310421,5.311224,1.677004,-1.459465,-2.120734,5.575494
0.050000,7.002533,1.257093,5.391192,1.599355,-1.552975,-1.870199,5.530505
0.050000,7.073884,1.189591,5.489413,1.964433,7.301554,177.090587,5.547838
0.050000,7.157609,1.118417,5.599302,2.197785,4.667055,-52.689995,5.607246
0.050000,7.234918,1.059080,5.696758,1.949101,-4.973675,-192.814601,5.647765
0.050000,7.304688,1.009027,5.782625,1.717346,-4.635117,6.771171,5.672038
0.050000,7.366668,0.966183,5.857971,1.506924,-4.208443,8.533479,5.682917
0.050000,7.421010,0.929052,5.923788,1.316335,-3.811765,7.933562,5.683049
0.050000,7.468090,0.896598,5.980970,1.143647,-3.453775,7.159802,5.674823
0.050000,7.508405,0.868122,6.030327,0.987145,-3.130038,6.474741,5.660398
0.050000,7.542521,0.843165,6.072597,0.845404,-2.834813,5.904498,5.641741
0.050000,7.571032,0.821420,6.108454,0.717136,-2.565354,5.389178,5.620649
0.050000,7.594528,0.802685,6.138505,0.601021,-2.322306,4.860966,5.598741
0.050000,7.613563,0.786819,6.163286,0.495605,-2.108321,4.279687,5.577444
0.050000,7.628634,0.773725,6.183250,0.399292,-1.926261,3.641204,5.557972
0.050000,7.640250,0.763257,6.198887,0.312737,-1.731099,3.903244,5.541183
0.050000,7.648978,0.755145,6.210803,0.238326,-1.488226,4.857445,5.527440
0.050000,7.655355,0.749071,6.219609,0.176119,-1.244141,4.881716,5.516742
0.050000,7.659827,0.744732,6.225841,0.124630,-1.029772,4.287380,5.508887
0.050000,7.662780,0.741829,6.229982,0.082815,-0.836304,3.869349,5.503536
0.050000,7.664554,0.740069,6.232480,0.049974,-0.656809,3.589911,5.500255
0.050000,7.665463,0.739163,6.233764,0.025675,-0.485980,3.416577,5.498555
0.050000,7.665805,0.738821,6.234248,0.009676,-0.319997,3.319666,5.497911
0.050000,7.665871,0.738755,6.234341,0.001865,-0.156206,3.275810,5.497787
0.050000,7.665871,0.738755,6.234341,0.000000,-0.037306,2.377999,5.497787
