dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.557323,4.224997,0.003125,0.125000,2.500000,50.000000,6.258752
0.050000,1.565842,4.224796,0.011646,0.170420,0.908392,-31.832168,6.260222
0.050000,1.580551,4.224476,0.026358,0.294248,2.476562,31.363406,6.262656
0.050000,1.601157,4.224088,0.046968,0.412196,2.358959,-2.352055,6.266029
0.050000,1.627674,4.223689,0.073488,0.530394,2.363975,0.100316,6.270310
0.050000,1.660118,4.223355,0.105934,0.648920,2.370514,0.130791,6.275454
0.050000,1.698510,4.223173,0.144326,0.767850,2.378600,0.161720,6.281407
0.050000,1.742873,4.223244,0.188690,0.887264,2.388282,0.193635,0.004920
0.050000,1.793234,4.223678,0.239052,1.007245,2.399608,0.226525,0.012287
0.050000,1.849620,4.224597,0.295446,1.127876,2.412633,0.260488,0.020236
0.050000,1.912063,4.226126,0.357908,1.249243,2.427343,0.294211,0.028670
0.050000,1.980597,4.228396,0.426479,1.371433,2.443788,0.328888,0.037478
0.050000,2.055258,4.231538,0.501206,1.494530,2.461946,0.363165,0.046540
0.050000,2.136083,4.235679,0.582137,1.618620,2.481797,0.397015,0.055723
0.050000,2.223113,4.240939,0.669326,1.743785,2.503305,0.430159,0.064885
0.050000,2.316393,4.247427,0.762832,1.870106,2.526416,0.462223,0.073870
0.050000,2.415970,4.255238,0.862715,1.997660,2.551074,0.493171,0.082514
0.050000,2.521897,4.264442,0.969041,2.126521,2.577223,0.522961,0.090644
0.050000,2.634232,4.275085,1.081879,2.256761,2.604811,0.551771,0.098075
0.050000,2.753041,4.287180,1.201301,2.388452,2.633809,0.579968,0.104614
0.050000,2.875333,4.300365,1.324303,2.460028,1.431521,-24.045778,0.109943
0.050000,2.998083,4.314174,1.447826,2.470478,0.208996,-24.450484,0.113880
0.050000,3.121306,4.328441,1.571872,2.480913,0.208711,-0.005717,0.116424
0.050000,3.245019,4.342997,1.696439,2.491338,0.208495,-0.004310,0.117579
0.050000,3.369243,4.357670,1.821527,2.501757,0.208387,-0.002169,0.117345
0.050000,3.493999,4.372289,1.947136,2.512177,0.208399,0.000253,0.115721
0.050000,3.619305,4.386678,2.073266,2.522604,0.208531,0.002625,0.112707
0.050000,3.743099,4.400433,2.197821,2.491104,-0.629987,-16.770349,0.108386
0.050000,3.862200,4.413079,2.317592,2.395408,-1.913935,-25.678971,0.102982
0.050000,3.975472,4.424438,2.431432,2.276816,-2.371828,-9.157850,0.096725
0.050000,4.082844,4.434490,2.539274,2.156832,-2.399691,-0.557255,0.089798
0.050000,4.184243,4.443248,2.641050,2.035527,-2.426105,-0.528294,0.082379
0.050000,4.279597,4.450755,2.736699,1.912974,-2.451059,-0.499081,0.074633
0.050000,4.368836,4.457077,2.826161,1.789248,-2.474521,-0.469226,0.066718
0.050000,4.451893,4.462300,2.909383,1.664425,-2.496451,-0.438608,0.058779
0.050000,4.528706,4.466521,2.986312,1.538585,-2.516805,-0.407075,0.050952
0.050000,4.599218,4.469851,3.056902,1.411807,-2.535549,-0.374887,0.043362
0.050000,4.663376,4.472404,3.121111,1.284175,-2.552654,-0.342099,0.036124
0.050000,4.721133,4.474297,3.178899,1.155770,-2.568100,-0.308922,0.029339
0.050000,4.772449,4.475643,3.230233,1.026675,-2.581880,-0.275602,0.023100
0.050000,4.817289,4.476554,3.275082,0.896975,-2.594002,-0.242430,0.017488
0.050000,4.855622,4.477131,3.313419,0.766750,-2.604500,-0.209958,0.012573
0.050000,4.887424,4.477464,3.345224,0.636082,-2.613367,-0.177343,0.008414
0.050000,4.912676,4.477635,3.370476,0.505049,-2.620658,-0.145826,0.005059
0.050000,4.931363,4.477706,3.389163,0.373729,-2.626397,-0.114770,0.002547
0.050000,4.943473,4.477727,3.401272,0.242198,-2.630616,-0.084390,0.000905
0.050000,4.948999,4.477730,3.406799,0.110532,-2.633336,-0.054397,0.000152
0.050000,4.950116,4.477730,3.407916,0.022336,-1.763904,17.388649,6.283185
0.050000,4.950116,4.477730,3.407916,0.000000,-0.446729,26.343485,6.283185
