dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.548162,3.850109,0.003125,0.125000,2.500000,50.000000,6.258752
0.050000,1.557231,3.849895,0.012500,0.250000,2.500000,0.000000,6.260222
0.050000,1.572853,3.849555,0.028125,0.375000,2.500000,0.000000,6.262656
0.050000,1.594724,3.849143,0.050000,0.500000,2.500000,0.000000,6.266029
0.050000,1.622846,3.848721,0.078125,0.625000,2.500000,0.000000,6.270310
0.050000,1.657219,3.848367,0.112500,0.750000,2.500000,0.000000,6.275454
0.050000,1.697843,3.848174,0.153125,0.875000,2.500000,0.000000,6.281407
0.050000,1.744718,3.848248,0.200000,1.000000,2.500000,0.000000,0.004920
0.050000,1.797841,3.848706,0.253125,1.125000,2.500000,0.000000,0.012287
0.050000,1.857208,3.849673,0.312500,1.250000,2.500000,0.000000,0.020236
0.050000,1.922813,3.851280,0.378125,1.375000,2.500000,0.000000,0.028670
0.050000,1.994648,3.853659,0.450000,1.500000,2.500000,0.000000,0.037478
0.050000,2.072704,3.856944,0.528125,1.625000,2.500000,0.000000,0.046540
0.050000,2.156968,3.861261,0.612500,1.750000,2.500000,0.000000,0.055723
0.050000,2.247428,3.866728,0.703125,1.875000,2.500000,0.000000,0.064885
0.050000,2.344069,3.873450,0.800000,2.000000,2.500000,0.000000,0.073870
0.050000,2.446878,3.881514,0.903125,2.125000,2.500000,0.000000,0.082514
0.050000,2.555842,3.890981,1.012500,2.250000,2.500000,0.000000,0.090644
0.050000,2.670951,3.901887,1.128125,2.375000,2.500000,0.000000,0.098075
0.050000,2.792200,3.914230,1.250000,2.500000,2.500000,0.000000,0.104614
0.050000,2.916479,3.927629,1.375000,2.500000,0.000000,-50.000000,0.109943
0.050000,3.040696,3.941603,1.500000,2.500000,0.000000,0.000000,0.113880
0.050000,3.164866,3.955980,1.625000,2.500000,0.000000,0.000000,0.116424
0.050000,3.289010,3.970586,1.750000,2.500000,0.000000,0.000000,0.117579
0.050000,3.413147,3.985249,1.875000,2.500000,0.000000,0.000000,0.117345
0.050000,3.537297,3.999797,2.000000,2.500000,0.000000,0.000000,0.115721
0.050000,3.661481,4.014057,2.125000,2.500000,0.000000,0.000000,0.112707
0.050000,3.783664,4.027633,2.247935,2.417387,-1.652259,-33.045187,0.108386
0.050000,3.900750,4.040066,2.365679,2.292387,-2.500000,-16.954813,0.102982
0.050000,4.011688,4.051191,2.477173,2.167387,-2.500000,0.000000,0.096725
0.050000,4.116474,4.061001,2.582418,2.042387,-2.500000,0.000000,0.089798
0.050000,4.215100,4.069520,2.681412,1.917387,-2.500000,0.000000,0.082379
0.050000,4.307558,4.076799,2.774156,1.792387,-2.500000,0.000000,0.074633
0.050000,4.393836,4.082912,2.860651,1.667387,-2.500000,0.000000,0.066718
0.050000,4.473922,4.087947,2.940895,1.542387,-2.500000,0.000000,0.058779
0.050000,4.547805,4.092008,3.014889,1.417387,-2.500000,0.000000,0.050952
0.050000,4.615474,4.095204,3.082634,1.292387,-2.500000,0.000000,0.043362
0.050000,4.676919,4.097649,3.144128,1.167387,-2.500000,0.000000,0.036124
0.050000,4.732134,4.099458,3.199373,1.042387,-2.500000,0.000000,0.029339
0.050000,4.781111,4.100743,3.248367,0.917387,-2.500000,0.000000,0.023100
0.050000,4.823847,4.101611,3.291111,0.792387,-2.500000,0.000000,0.017488
0.050000,4.860337,4.102160,3.327606,0.667387,-2.500000,0.000000,0.012573
0.050000,4.890580,4.102478,3.357850,0.542387,-2.500000,0.000000,0.008414
0.050000,4.914573,4.102639,3.381844,0.417387,-2.500000,0.000000,0.005059
0.050000,4.932318,4.102707,3.399589,0.292387,-2.500000,0.000000,0.002547
0.050000,4.943812,4.102727,3.411083,0.167387,-2.500000,0.000000,0.000905
0.050000,4.949056,4.102730,3.416327,0.042387,-2.500000,0.000000,0.000152
0.050000,4.950116,4.102730,3.417387,0.000000,-0.847741,33.045187,6.283185
0.050000,4.950116,4.102730,3.417387,0.000000,0.000000,16.954813,6.283185
