dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.539000,3.475221,0.003125,0.125000,2.500000,50.000000,6.258752
0.050000,1.548621,3.474993,0.012748,0.192464,1.349273,-23.014544,6.260222
0.050000,1.565155,3.474634,0.029286,0.330752,2.765765,28.329848,6.262656
0.050000,1.588291,3.474198,0.052426,0.462804,2.641045,-2.494399,6.266029
0.050000,1.618018,3.473752,0.082156,0.594604,2.636005,-0.100798,6.270310
0.050000,1.654320,3.473378,0.118460,0.726078,2.629476,-0.130583,6.275454
0.050000,1.697176,3.473175,0.161317,0.857148,2.621387,-0.161783,6.281407
0.050000,1.746563,3.473253,0.210704,0.987732,2.611693,-0.193876,0.004920
0.050000,1.802448,3.473735,0.266592,1.117750,2.600355,-0.226760,0.012287
0.050000,1.864796,3.474750,0.328947,1.247118,2.587354,-0.260034,0.020236
0.050000,1.933563,3.476434,0.397735,1.375749,2.572619,-0.294682,0.028670
0.050000,2.008700,3.478923,0.472913,1.503558,2.556181,-0.328769,0.037478
0.050000,2.090150,3.482350,0.554436,1.630459,2.538026,-0.363091,0.046540
0.050000,2.177854,3.486843,0.642254,1.756368,2.518179,-0.396947,0.055723
0.050000,2.271743,3.492517,0.736314,1.881202,2.496680,-0.429977,0.064885
0.050000,2.371745,3.499473,0.836558,2.004881,2.473577,-0.462063,0.073870
0.050000,2.477786,3.507789,0.942925,2.127327,2.448929,-0.492955,0.082514
0.050000,2.589787,3.517521,1.055348,2.248467,2.422794,-0.522714,0.090644
0.050000,2.707671,3.528689,1.173759,2.368228,2.395218,-0.551522,0.098075
0.050000,2.831358,3.541280,1.298086,2.486539,2.366231,-0.579731,0.104614
0.050000,2.957625,3.554893,1.425085,2.539966,1.068533,-25.953961,0.109943
0.050000,3.083308,3.569032,1.551561,2.529519,-0.208941,-25.549486,0.113880
0.050000,3.208427,3.583518,1.677515,2.519085,-0.208672,0.005379,0.116424
0.050000,3.333000,3.598175,1.802948,2.508662,-0.208474,0.003960,0.117579
0.050000,3.457050,3.612828,1.927860,2.498243,-0.208381,0.001868,0.117345
0.050000,3.580596,3.627305,2.052251,2.487822,-0.208410,-0.000580,0.115721
0.050000,3.703657,3.641437,2.176121,2.477394,-0.208557,-0.002949,0.112707
0.050000,3.824229,3.654834,2.297435,2.426279,-1.022311,-16.275082,0.108386
0.050000,3.939300,3.667053,2.413153,2.314361,-2.238363,-24.321032,0.102982
0.050000,4.047903,3.677944,2.522300,2.182950,-2.628202,-7.796769,0.096725
0.050000,4.150103,3.687512,2.624947,2.052934,-2.600333,0.557363,0.089798
0.050000,4.245958,3.695791,2.721159,1.924238,-2.573908,0.528505,0.082379
0.050000,4.335520,3.702843,2.810999,1.796791,-2.548945,0.499270,0.074633
0.050000,4.418837,3.708746,2.894525,1.670517,-2.525474,0.469413,0.066718
0.050000,4.495952,3.713595,2.971792,1.545341,-2.503538,0.438715,0.058779
0.050000,4.566904,3.717495,3.042851,1.421182,-2.483176,0.407252,0.050952
0.050000,4.631729,3.720556,3.107749,1.297960,-2.464429,0.374943,0.043362
0.050000,4.690463,3.722894,3.166528,1.175594,-2.447325,0.342073,0.036124
0.050000,4.743134,3.724619,3.219228,1.054000,-2.431880,0.308890,0.029339
0.050000,4.789773,3.725843,3.265883,0.933095,-2.418098,0.275650,0.023100
0.050000,4.830405,3.726669,3.306523,0.812797,-2.405970,0.242551,0.017488
0.050000,4.865052,3.727190,3.341174,0.693022,-2.395496,0.209496,0.012573
0.050000,4.893735,3.727491,3.369859,0.573691,-2.386618,0.177544,0.008414
0.050000,4.916470,3.727644,3.392595,0.454724,-2.379331,0.145750,0.005059
0.050000,4.933273,3.727708,3.409397,0.336045,-2.373594,0.114734,0.002547
0.050000,4.944151,3.727727,3.420276,0.217576,-2.369383,0.084227,0.000905
0.050000,4.949113,3.727730,3.425238,0.099242,-2.366668,0.054294,0.000152
0.050000,4.950116,3.727730,3.426240,0.020051,-1.583822,15.656922,6.283185
0.050000,4.950116,3.727730,3.426240,0.000000,-0.401022,23.656003,6.283185
