dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.557490,4.224993,0.000306,0.012222,0.244444,4.888889,6.258309
0.050000,1.557417,4.224995,0.000378,0.001442,-0.215603,-9.200949,6.258501
0.050000,1.558105,4.224978,0.001065,0.013756,0.246275,9.237557,6.258933
0.050000,1.562705,4.224869,0.005667,0.092027,1.565421,26.382915,6.259700
0.050000,1.569894,4.224704,0.012858,0.143820,1.035872,-10.590962,6.260894
0.050000,1.580250,4.224482,0.023216,0.207164,1.266865,4.619859,6.262606
0.050000,1.594352,4.224208,0.037321,0.282091,1.498543,4.633559,6.264920
0.050000,1.612782,4.223899,0.055753,0.368650,1.731188,4.652885,6.267915
0.050000,1.636125,4.223586,0.079099,0.466909,1.965172,4.679680,6.271660
0.050000,1.664683,4.223322,0.107657,0.571179,2.085394,2.404454,6.276169
0.050000,1.698471,4.223173,0.141446,0.675762,2.091659,0.125299,6.281401
0.050000,1.737507,4.223220,0.180481,0.780719,2.099142,0.149651,0.004120
0.050000,1.781811,4.223547,0.224787,0.886113,2.107889,0.174952,0.010638
0.050000,1.831406,4.224251,0.274388,0.992009,2.117917,0.200559,0.017703
0.050000,1.886317,4.225432,0.329311,1.098472,2.129263,0.226913,0.025240
0.050000,1.946570,4.227193,0.389590,1.205568,2.141926,0.253257,0.033164
0.050000,2.012193,4.229643,0.455258,1.313365,2.155923,0.279940,0.041381
0.050000,2.083215,4.232886,0.526354,1.421926,2.171232,0.306174,0.049790
0.050000,2.159669,4.237025,0.602920,1.531319,2.187848,0.332332,0.058281
0.050000,2.241588,4.242156,0.685000,1.641605,2.205729,0.357607,0.066733
0.050000,2.328716,4.248346,0.772347,1.746936,2.106626,-1.982051,0.074992
0.050000,2.420497,4.255613,0.864415,1.841363,1.888536,-4.361807,0.082884
0.050000,2.516374,4.263941,0.960654,1.924772,1.668187,-4.406969,0.090247
0.050000,2.615788,4.273280,1.060506,1.997032,1.445199,-4.459762,0.096939
0.050000,2.718174,4.283550,1.163405,2.057996,1.219263,-4.518714,0.102835
0.050000,2.822964,4.294638,1.268780,2.107503,0.990147,-4.582334,0.107834
0.050000,2.929586,4.306407,1.376050,2.145387,0.757677,-4.649403,0.111857
0.050000,3.037462,4.318698,1.484623,2.171474,0.521751,-4.718503,0.114845
0.050000,3.146008,4.331334,1.593903,2.185590,0.282309,-4.788852,0.116767
0.050000,3.254938,4.344168,1.703586,2.193661,0.161432,-2.417539,0.117612
0.050000,3.364264,4.357083,1.813673,2.201730,0.161370,-0.001246,0.117381
0.050000,3.473716,4.369928,1.923876,2.204062,0.046650,-2.294386,0.116079
0.050000,3.582712,4.382517,2.033596,2.194407,-0.193098,-4.794976,0.113730
0.050000,3.690639,4.394671,2.142205,2.172181,-0.444522,-5.028477,0.110379
0.050000,3.796873,4.406223,2.249066,2.137214,-0.699354,-5.096638,0.106096
0.050000,3.900780,4.417028,2.353533,2.089339,-0.957486,-5.162645,0.100973
0.050000,4.001712,4.426963,2.454953,2.028401,-1.218760,-5.225464,0.095121
0.050000,4.099012,4.435936,2.552665,1.954253,-1.482957,-5.283945,0.088672
0.050000,4.192011,4.443887,2.646004,1.866764,-1.749794,-5.336733,0.081776
0.050000,4.280032,4.450788,2.734295,1.765818,-2.018923,-5.382584,0.074596
0.050000,4.362684,4.456665,2.817156,1.657225,-2.171854,-3.058619,0.067284
0.050000,4.439893,4.461587,2.894522,1.547316,-2.198177,-0.526474,0.059960
0.050000,4.511608,4.465634,2.966350,1.436575,-2.214829,-0.333036,0.052734
0.050000,4.577781,4.468896,3.032603,1.325063,-2.230231,-0.308036,0.045711
0.050000,4.638369,4.471465,3.093246,1.212844,-2.244373,-0.282834,0.038983
0.050000,4.693333,4.473435,3.148245,1.099983,-2.257234,-0.257225,0.032636
0.050000,4.742638,4.474900,3.197572,0.986543,-2.268802,-0.231366,0.026749
0.050000,4.786255,4.475950,3.241201,0.872588,-2.279101,-0.205982,0.021388
0.050000,4.824157,4.476671,3.279110,0.758182,-2.288117,-0.180311,0.016616
0.050000,4.856323,4.477139,3.311280,0.643387,-2.295895,-0.155555,0.012482
0.050000,4.882735,4.477424,3.337693,0.528266,-2.302426,-0.130629,0.009032
0.050000,4.903678,4.477584,3.358637,0.418879,-2.187734,2.293846,0.006260
0.050000,4.919764,4.477667,3.374724,0.321731,-1.942957,4.895538,0.004109
0.050000,4.931630,4.477706,3.386590,0.237324,-1.688144,5.096253,0.002510
0.050000,4.939916,4.477723,3.394875,0.165708,-1.432319,5.116506,0.001388
0.050000,4.945262,4.477728,3.400221,0.106921,-1.175738,5.131616,0.000662
0.050000,4.948311,4.477729,3.403271,0.060988,-0.918657,5.141622,0.000246
0.050000,4.949707,4.477730,3.404667,0.027925,-0.661269,5.147759,0.000056
0.050000,4.950094,4.477730,3.405054,0.007738,-0.403728,5.150824,0.000003
0.050000,4.950116,4.477730,3.405075,0.000433,-0.146116,5.152231,6.283185
0.050000,4.950116,4.477730,3.405075,0.000000,-0.008651,2.749315,6.283185
