dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.548162,3.850109,0.000306,0.012222,0.244444,4.888889,6.258309
0.050000,1.548162,3.850109,0.001528,0.036667,0.488889,4.888889,6.258501
0.050000,1.549011,3.850089,0.004278,0.073333,0.733333,4.888889,6.258933
0.050000,1.553899,3.849972,0.009167,0.122222,0.977778,4.888889,6.259700
0.050000,1.561536,3.849797,0.016806,0.183333,1.222222,4.888889,6.260894
0.050000,1.572533,3.849561,0.027806,0.256667,1.466667,4.888889,6.262606
0.050000,1.587503,3.849271,0.042778,0.342222,1.711111,4.888889,6.264920
0.050000,1.607055,3.848943,0.062333,0.440000,1.955556,4.888889,6.267915
0.050000,1.631803,3.848611,0.087083,0.550000,2.200000,4.888889,6.271660
0.050000,1.662052,3.848331,0.117333,0.660000,2.200000,0.000000,6.276169
0.050000,1.697802,3.848174,0.153083,0.770000,2.200000,-0.000000,6.281401
0.050000,1.739051,3.848223,0.194333,0.880000,2.200000,0.000000,0.004120
0.050000,1.785800,3.848568,0.241083,0.990000,2.200000,-0.000000,0.010638
0.050000,1.838045,3.849310,0.293333,1.100000,2.200000,0.000000,0.017703
0.050000,1.895781,3.850551,0.351083,1.210000,2.200000,0.000000,0.025240
0.050000,1.959004,3.852400,0.414333,1.320000,2.200000,0.000000,0.033164
0.050000,2.027706,3.854964,0.483083,1.430000,2.200000,-0.000000,0.041381
0.050000,2.101879,3.858350,0.557333,1.540000,2.200000,0.000000,0.049790
0.050000,2.181512,3.862661,0.637083,1.650000,2.200000,0.000000,0.058281
0.050000,2.266595,3.867991,0.722333,1.760000,2.200000,0.000000,0.066733
0.050000,2.356811,3.874400,0.812778,1.857778,1.955556,-4.888889,0.074992
0.050000,2.451543,3.881900,0.907806,1.943333,1.711111,-4.888889,0.082884
0.050000,2.550171,3.890467,1.006806,2.016667,1.466667,-4.888889,0.090247
0.050000,2.652083,3.900041,1.109167,2.077778,1.222222,-4.888889,0.096939
0.050000,2.756669,3.910531,1.214278,2.126667,0.977778,-4.888889,0.102835
0.050000,2.863324,3.921817,1.321528,2.163333,0.733333,-4.888889,0.107834
0.050000,2.971445,3.933751,1.430306,2.187778,0.488889,-4.888889,0.111857
0.050000,3.080434,3.946168,1.540000,2.200000,0.244444,-4.888889,0.114845
0.050000,3.189696,3.958888,1.650000,2.200000,0.000000,-4.888889,0.116767
0.050000,3.298941,3.971759,1.760000,2.200000,0.000000,0.000000,0.117612
0.050000,3.408181,3.984664,1.870000,2.200000,0.000000,0.000000,0.117381
0.050000,3.517148,3.997451,1.979715,2.188599,-0.228029,-4.560576,0.116079
0.050000,3.625269,4.009940,2.088554,2.164975,-0.472473,-4.888889,0.113730
0.050000,3.731947,4.021953,2.195907,2.129129,-0.716918,-4.888889,0.110379
0.050000,3.836585,4.033332,2.301162,2.081061,-0.961362,-4.888889,0.106096
0.050000,3.938581,4.043938,2.403707,2.020771,-1.205807,-4.888889,0.100973
0.050000,4.037329,4.053658,2.502933,1.948258,-1.450251,-4.888889,0.095121
0.050000,4.132221,4.062410,2.598228,1.863523,-1.694695,-4.888889,0.088672
0.050000,4.222643,4.070140,2.688980,1.766566,-1.939140,-4.888889,0.081776
0.050000,4.307980,4.076830,2.774579,1.657387,-2.183584,-4.888889,0.074596
0.050000,4.387897,4.082513,2.854698,1.547387,-2.200000,-0.328313,0.067284
0.050000,4.462365,4.087260,2.929317,1.437387,-2.200000,0.000000,0.059960
0.050000,4.531374,4.091156,2.998437,1.327387,-2.200000,-0.000000,0.052734
0.050000,4.594916,4.094288,3.062056,1.217387,-2.200000,0.000000,0.045711
0.050000,4.652983,4.096749,3.120176,1.107387,-2.200000,0.000000,0.038983
0.050000,4.705569,4.098634,3.172795,0.997387,-2.200000,0.000000,0.032636
0.050000,4.752667,4.100034,3.219914,0.887387,-2.200000,0.000000,0.026749
0.050000,4.794275,4.101036,3.261534,0.777387,-2.200000,0.000000,0.021388
0.050000,4.830387,4.101723,3.297653,0.667387,-2.200000,-0.000000,0.016616
0.050000,4.861004,4.102169,3.328272,0.557387,-2.200000,0.000000,0.012482
0.050000,4.886121,4.102439,3.353392,0.447387,-2.200000,0.000000,0.009032
0.050000,4.906025,4.102591,3.373296,0.348788,-1.971971,4.560576,0.006260
0.050000,4.921305,4.102670,3.388576,0.262412,-1.727527,4.888889,0.004109
0.050000,4.932572,4.102708,3.399843,0.188258,-1.483082,4.888889,0.002510
0.050000,4.940436,4.102723,3.407707,0.126326,-1.238638,4.888889,0.001388
0.050000,4.945510,4.102728,3.412781,0.076616,-0.994193,4.888889,0.000662
0.050000,4.948404,4.102729,3.415675,0.039129,-0.749749,4.888889,0.000246
0.050000,4.949728,4.102730,3.416999,0.013864,-0.505305,4.888889,0.000056
0.050000,4.950095,4.102730,3.417367,0.000821,-0.260860,4.888889,0.000003
0.050000,4.950116,4.102730,3.417387,0.000000,-0.016416,4.888889,6.283185
0.050000,4.950116,4.102730,3.417387,0.000000,0.000000,0.328313,6.283185
