dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.538834,3.475225,0.000306,0.012222,0.244444,4.888889,6.258309
0.050000,1.538906,3.475224,0.000378,0.001442,-0.215603,-9.200949,6.258501
0.050000,1.539918,3.475199,0.001390,0.020238,0.375927,11.830599,6.258933
0.050000,1.545093,3.475075,0.006566,0.103529,1.665808,25.797620,6.259700
0.050000,1.553177,3.474890,0.014653,0.161735,1.164115,-10.033854,6.260894
0.050000,1.564817,3.474641,0.026295,0.232836,1.422033,5.158354,6.262606
0.050000,1.580654,3.474333,0.042134,0.316798,1.679242,5.144178,6.264920
0.050000,1.601329,3.473986,0.062813,0.413571,1.935459,5.124346,6.267915
0.050000,1.627481,3.473636,0.088968,0.523091,2.190390,5.098612,6.271660
0.050000,1.659421,3.473340,0.120909,0.638820,2.314588,2.483961,6.276169
0.050000,1.697132,3.473175,0.158620,0.754237,2.308333,-0.125104,6.281401
0.050000,1.740596,3.473226,0.202084,0.869279,2.300840,-0.149845,0.004120
0.050000,1.789789,3.473590,0.251279,0.983884,2.292096,-0.174882,0.010638
0.050000,1.844683,3.474369,0.306178,1.097986,2.282057,-0.200783,0.017703
0.050000,1.905245,3.475670,0.366754,1.211522,2.270717,-0.226795,0.025240
0.050000,1.971438,3.477606,0.432975,1.324425,2.258047,-0.253398,0.033164
0.050000,2.043220,3.480285,0.504807,1.436628,2.244059,-0.279767,0.041381
0.050000,2.120542,3.483815,0.582210,1.548065,2.228744,-0.306294,0.049790
0.050000,2.203355,3.488298,0.665143,1.658672,2.212140,-0.332097,0.058281
0.050000,2.291601,3.493826,0.753563,1.768385,2.194258,-0.357635,0.066733
0.050000,2.384907,3.500454,0.847104,1.870831,2.048927,-2.906613,0.074992
0.050000,2.482588,3.508188,0.945091,1.959738,1.778140,-5.415747,0.082884
0.050000,2.583968,3.516993,1.046852,2.035219,1.509609,-5.370611,0.090247
0.050000,2.688378,3.526802,1.151722,2.097404,1.243716,-5.317863,0.096939
0.050000,2.795165,3.537512,1.259044,2.146443,0.980767,-5.258978,0.102835
0.050000,2.903683,3.548995,1.368169,2.182493,0.720999,-5.195363,0.107834
0.050000,3.013304,3.561094,1.478455,2.205721,0.464575,-5.128490,0.111857
0.050000,3.123407,3.573638,1.589270,2.216302,0.211609,-5.059316,0.114845
0.050000,3.233384,3.586442,1.699991,2.214410,-0.037846,-4.989096,0.116767
0.050000,3.342943,3.599350,1.810308,2.206339,-0.161420,-2.471486,0.117612
0.050000,3.452098,3.612244,1.920221,2.198270,-0.161367,0.001065,0.117381
0.050000,3.560580,3.624975,2.029448,2.184536,-0.274685,-2.266367,0.116079
0.050000,3.667826,3.637362,2.137406,2.159165,-0.507417,-4.654635,0.113730
0.050000,3.773255,3.649235,2.243502,2.121921,-0.744890,-4.749453,0.110379
0.050000,3.876296,3.660440,2.347151,2.072973,-0.978950,-4.681205,0.106096
0.050000,3.976381,3.670848,2.447775,2.012488,-1.209707,-4.615147,0.100973
0.050000,4.072945,3.680353,2.544806,1.940622,-1.437321,-4.552273,0.095121
0.050000,4.165429,3.688883,2.637682,1.857521,-1.662009,-4.493767,0.088672
0.050000,4.253274,3.696393,2.725848,1.763319,-1.884053,-4.440867,0.081776
0.050000,4.335927,3.702873,2.808755,1.658128,-2.103806,-4.395066,0.074596
0.050000,4.413109,3.708362,2.886132,1.547542,-2.211726,-2.158408,0.067284
0.050000,4.484836,3.712934,2.958004,1.437451,-2.201813,0.198273,0.059960
0.050000,4.551141,3.716677,3.024414,1.328193,-2.185160,0.333063,0.052734
0.050000,4.612052,3.719679,3.085399,1.219706,-2.169749,0.308206,0.045711
0.050000,4.667598,3.722034,3.140996,1.111925,-2.155612,0.282742,0.038983
0.050000,4.717805,3.723834,3.191235,1.004787,-2.142755,0.257149,0.032636
0.050000,4.762697,3.725168,3.236146,0.898229,-2.131175,0.231598,0.026749
0.050000,4.802295,3.726122,3.275756,0.792184,-2.120888,0.205739,0.021388
0.050000,4.836618,3.726775,3.310085,0.686591,-2.111861,0.180544,0.016616
0.050000,4.865684,3.727198,3.339155,0.581386,-2.104104,0.155139,0.012482
0.050000,4.889508,3.727454,3.362980,0.476508,-2.097571,0.130652,0.009032
0.050000,4.908373,3.727598,3.381845,0.377296,-1.984222,2.266987,0.006260
0.050000,4.922846,3.727673,3.396318,0.289469,-1.756550,4.553445,0.004109
0.050000,4.933513,3.727709,3.406985,0.213346,-1.522450,4.681985,0.002510
0.050000,4.940957,3.727723,3.414429,0.148876,-1.289408,4.660847,0.001388
0.050000,4.945758,3.727728,3.419230,0.096021,-1.057096,4.646248,0.000662
0.050000,4.948496,3.727729,3.421968,0.054757,-0.825282,4.636268,0.000246
0.050000,4.949749,3.727730,3.423222,0.025068,-0.593776,4.630132,0.000056
0.050000,4.950097,3.727730,3.423569,0.006946,-0.362439,4.626724,0.000003
0.050000,4.950116,3.727730,3.423588,0.000388,-0.131164,4.625513,6.283185
0.050000,4.950116,3.727730,3.423588,0.000000,-0.007765,2.467969,6.283185
