dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.599480,4.006171,0.000306,0.012222,0.244444,4.888889,0.001386
0.050000,1.599795,4.006172,0.000620,0.006288,-0.118693,-7.262752,0.000548
0.050000,1.602453,4.006170,0.003278,0.053163,0.937502,21.123907,6.281848
0.050000,1.608598,4.006152,0.009423,0.122903,1.394808,9.146126,6.278498
0.050000,1.618198,4.006081,0.019024,0.192010,1.382145,-0.253278,6.273267
0.050000,1.632018,4.005892,0.032845,0.276416,1.688114,6.119389,6.265744
0.050000,1.650816,4.005468,0.051648,0.376072,1.993119,6.100097,6.255527
0.050000,1.675344,4.004626,0.076190,0.490833,2.295217,6.041963,6.242230
0.050000,1.706331,4.003097,0.107215,0.620501,2.593355,5.962761,6.225496
0.050000,1.744096,4.000531,0.145067,0.757042,2.730825,2.749395,6.205222
0.050000,1.788533,3.996529,0.189684,0.892346,2.706087,-0.494759,6.181573
0.050000,1.839485,3.990641,0.240974,1.025803,2.669140,-0.738935,6.154795
0.050000,1.896726,3.982386,0.298808,1.156677,2.617480,-1.033205,6.125232
0.050000,1.959962,3.971272,0.363014,1.284106,2.548572,-1.378153,6.093345
0.050000,2.028821,3.956826,0.433371,1.407157,2.461026,-1.750932,6.059715
0.050000,2.102864,3.938631,0.509617,1.524916,2.355176,-2.117004,6.025049
0.050000,2.181600,3.916349,0.591445,1.636561,2.232913,-2.445260,5.990163
0.050000,2.264512,3.889754,0.678518,1.741448,2.097733,-2.703583,5.955959
0.050000,2.351088,3.858756,0.770476,1.839162,1.954271,-2.869249,5.923393
0.050000,2.440854,3.823407,0.866951,1.929513,1.807026,-2.944889,5.893448
0.050000,2.533097,3.784049,0.967240,2.005781,1.525359,-5.633344,5.867188
0.050000,2.626933,3.741327,1.070343,2.062056,1.125509,-7.997012,5.845649
0.050000,2.721641,3.696041,1.175322,2.099584,0.750548,-7.499211,5.829702
0.050000,2.816654,3.649102,1.281297,2.119491,0.398152,-7.047920,5.820065
0.050000,2.911516,3.601501,1.387433,2.122712,0.064419,-6.674664,5.817333
0.050000,3.005854,3.554272,1.492932,2.109992,-0.254402,-6.376421,5.822000
0.050000,3.099333,3.508465,1.597031,2.081984,-0.560159,-6.115134,5.834475
0.050000,3.191629,3.465111,1.699002,2.039417,-0.851355,-5.823925,5.855066
0.050000,3.282399,3.425178,1.798168,1.983317,-1.121987,-5.412643,5.883948
0.050000,3.371524,3.389435,1.894193,1.920507,-1.256213,-2.684512,5.921199
0.050000,3.459092,3.358459,1.987078,1.857697,-1.256184,0.000580,5.966818
0.050000,3.545171,3.332743,2.076917,1.796773,-1.218494,0.753791,6.020552
0.050000,3.629856,3.312668,2.163948,1.740630,-1.122857,1.912751,6.081765
0.050000,3.713308,3.298493,2.248596,1.692958,-0.953433,3.388468,6.149328
0.050000,3.799149,3.289659,2.334891,1.725889,0.658613,32.240929,6.208214
0.050000,3.890464,3.285147,2.426316,1.828513,2.052478,27.877295,6.257720
0.050000,3.985133,3.284751,2.520987,1.893408,1.297908,-15.091390,0.015396
0.050000,4.083100,3.287907,2.619005,1.960360,1.339034,0.822515,0.047337
0.050000,4.184304,3.293949,2.720389,2.027680,1.346399,0.147298,0.070307
0.050000,4.288714,3.302122,2.825118,2.094585,1.338097,-0.166034,0.084360
0.050000,4.396346,3.311587,2.933166,2.160954,1.327380,-0.214345,0.089566
0.050000,4.507264,3.321427,3.044519,2.227063,1.322179,-0.104015,0.085958
0.050000,4.621560,3.330641,3.159185,2.293331,1.325359,0.063592,0.073512
0.050000,4.739325,3.338133,3.277189,2.360077,1.334928,0.191383,0.052162
0.050000,4.860603,3.342705,3.398553,2.427272,1.343901,0.179451,0.021847
0.050000,4.985316,3.343063,3.523266,2.494272,1.340004,-0.077922,6.265774
0.050000,5.113188,3.337845,3.651245,2.559572,1.305986,-0.680366,6.217799
0.050000,5.243655,3.325688,3.782278,2.620653,1.221627,-1.687178,6.161666
0.050000,5.362399,3.307979,3.902334,2.401126,-4.390532,-112.243177,6.129609
0.050000,5.440895,3.299351,3.981303,1.579377,-16.434992,-240.889202,6.212299
0.050000,5.528189,3.295986,4.068662,1.747176,3.355996,395.819751,6.272640
0.050000,5.622874,3.297087,4.163354,1.893843,2.933332,-8.453273,0.030258
0.050000,5.723925,3.301489,4.264500,2.022923,2.581600,-7.034651,0.053862
0.050000,5.830786,3.307812,4.371548,2.140962,2.360769,-4.416613,0.061733
0.050000,5.943347,3.314495,4.484307,2.255187,2.284514,-1.525092,0.054374
0.050000,6.061876,3.319725,4.602952,2.372893,2.354107,1.391859,0.031315
0.050000,6.186931,3.321295,4.728017,2.501291,2.567968,4.277213,6.274306
0.050000,6.319185,3.316365,4.860363,2.646927,2.912711,6.894859,6.214663
0.050000,6.459040,3.301211,5.001036,2.813456,3.330582,8.357427,6.132764
0.050000,6.605804,3.271143,5.150848,2.996253,3.655955,6.507447,6.026408
0.050000,6.756419,3.221131,5.309550,3.174024,3.555407,-2.010955,5.896238
0.050000,6.904495,3.147740,5.474815,3.305311,2.625749,-18.593160,5.748461
0.050000,7.041495,3.051691,5.642131,3.346310,0.819974,-36.115498,5.595181
0.050000,7.160432,2.938336,5.806434,3.286059,-1.205026,-40.499993,5.449988
0.050000,7.258764,2.814855,5.964284,3.157010,-2.580979,-27.519061,5.322098
0.050000,7.337914,2.687101,6.114570,3.005721,-3.025767,-8.895761,5.214475
0.050000,7.401056,2.558571,6.257772,2.864037,-2.833695,3.841433,5.125810
0.050000,7.451463,2.430929,6.395007,2.744695,-2.386835,8.937193,5.053105
0.050000,7.481922,2.352742,6.478917,1.678206,-21.329781,-378.858902,5.118462
0.050000,7.520536,2.268986,6.571146,1.844577,3.327414,493.143899,5.165165
0.050000,7.565696,2.179208,6.671641,2.009909,3.306652,-0.415241,5.187694
0.050000,7.614945,2.084037,6.778800,2.143173,2.665281,-12.827431,5.188686
0.050000,7.665845,1.983384,6.891591,2.255825,2.253033,-8.244951,5.169249
0.050000,7.715883,1.876669,7.009455,2.357280,2.029098,-4.478702,5.129233
0.050000,7.762261,1.763111,7.132119,2.453270,1.919807,-2.185823,5.067725
0.050000,7.801659,1.642231,7.259257,2.542774,1.790074,-2.594652,4.983942
0.050000,7.830231,1.514734,7.389917,2.613185,1.408228,-7.636922,4.878786
0.050000,7.844252,1.383601,7.521797,2.637611,0.488524,-18.394090,4.756763
0.050000,7.841637,1.254066,7.651358,2.591215,-0.927929,-28.329055,4.626382
0.050000,7.823195,1.132118,7.774693,2.466695,-2.490404,-31.249500,4.497957
0.050000,7.792447,1.022520,7.888523,2.276599,-3.801926,-26.230434,4.380262
0.050000,7.754087,0.927471,7.991020,2.049953,-4.532912,-14.619721,4.278175
0.050000,7.712389,0.846858,8.081779,1.815177,-4.695521,-3.252187,4.192772
0.050000,7.670508,0.779310,8.161257,1.589563,-4.512287,3.664687,4.122814
0.050000,7.630522,0.723088,8.230248,1.379815,-4.194944,6.346845,4.066174
0.050000,7.593719,0.676561,8.289571,1.186466,-3.866979,6.559301,4.020658
0.050000,7.560883,0.638363,8.339943,1.007425,-3.580829,5.723006,3.984354
0.050000,7.532489,0.607421,8.381939,0.839920,-3.350105,4.614476,3.955721
0.050000,7.508827,0.582912,8.416005,0.681334,-3.171723,3.567640,3.933568
0.050000,7.489846,0.564001,8.442800,0.535888,-2.908915,5.256173,3.916807
0.050000,7.475135,0.549765,8.463271,0.409427,-2.529217,7.593961,3.904388
0.050000,7.464185,0.539394,8.478353,0.301633,-2.155886,7.466604,3.895449
0.050000,7.456461,0.532186,8.488917,0.211291,-1.806834,6.981039,3.889292
0.050000,7.451406,0.527518,8.495798,0.137614,-1.473542,6.665848,3.885328
0.050000,7.448459,0.524812,8.499799,0.080020,-1.151885,6.433136,3.883040
0.050000,7.447049,0.523523,8.501710,0.038219,-0.836011,6.317478,3.881951
0.050000,7.446604,0.523116,8.502313,0.012057,-0.523231,6.255611,3.881608
0.050000,7.446551,0.523068,8.502384,0.001428,-0.212591,6.212791,3.881568
0.050000,7.446551,0.523068,8.502384,0.000000,-0.028558,3.680654,3.881568
