dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.600520,3.256172,0.000306,0.012222,0.244444,4.888889,0.001386
0.050000,1.600205,3.256172,0.000620,0.006288,-0.118693,-7.262752,0.000548
0.050000,1.601450,3.256171,0.001864,0.024882,0.371887,9.811604,6.281848
0.050000,1.605082,3.256160,0.005497,0.072650,0.955367,11.669598,6.278498
0.050000,1.610759,3.256118,0.011174,0.113548,0.817950,-2.748347,6.273267
0.050000,1.618937,3.256006,0.019353,0.163579,1.000623,3.653468,6.265744
0.050000,1.630076,3.255755,0.030494,0.222819,1.184808,3.683693,6.255527
0.050000,1.644636,3.255255,0.045063,0.291379,1.371187,3.727582,6.242230
0.050000,1.663088,3.254344,0.063537,0.369490,1.562234,3.820946,6.225496
0.050000,1.685683,3.252809,0.086184,0.452934,1.668877,2.132861,6.205222
0.050000,1.712455,3.250397,0.113065,0.537622,1.693756,0.497587,6.181573
0.050000,1.743456,3.246814,0.144272,0.624146,1.730478,0.734424,6.154795
0.050000,1.778754,3.241722,0.179935,0.713253,1.782152,1.033483,6.125232
0.050000,1.818435,3.234746,0.220225,0.805807,1.851066,1.378278,6.093345
0.050000,1.862610,3.225476,0.265362,0.902733,1.938526,1.749208,6.059715
0.050000,1.911405,3.213480,0.315610,1.004956,2.044452,2.118518,6.025049
0.050000,1.964965,3.198317,0.371275,1.113299,2.166864,2.448237,5.990163
0.050000,2.023448,3.179551,0.432695,1.228407,2.302153,2.705781,5.955959
0.050000,2.087027,3.156779,0.500230,1.350697,2.445810,2.873146,5.923393
0.050000,2.155895,3.129651,0.574248,1.480359,2.593239,2.948577,5.893448
0.050000,2.230021,3.098014,0.654843,1.611893,2.630672,0.748662,5.867188
0.050000,2.309151,3.061979,0.741792,1.738981,2.541771,-1.778022,5.845649
0.050000,2.393067,3.021846,0.834810,1.860375,2.427868,-2.278064,5.829702
0.050000,2.481597,2.978105,0.933557,1.974937,2.291253,-2.732296,5.820065
0.050000,2.574628,2.931422,1.037644,2.081731,2.135874,-3.107590,5.817333
0.050000,2.672097,2.882628,1.146644,2.180004,1.965463,-3.408214,5.822000
0.050000,2.773980,2.832710,1.260099,2.269099,1.781893,-3.671388,5.834475
0.050000,2.880258,2.782800,1.377513,2.348283,1.583689,-3.964082,5.855066
0.050000,2.990862,2.734160,1.498340,2.416530,1.364936,-4.375070,5.883948
0.050000,3.105924,2.688038,1.622301,2.479239,1.254172,-2.215270,5.921199
0.050000,3.225754,2.645680,1.749397,2.541920,1.253630,-0.010842,5.966818
0.050000,3.350453,2.608461,1.879532,2.602696,1.215527,-0.762060,6.020552
0.050000,3.479810,2.577830,2.012466,2.658682,1.119717,-1.916214,6.081765
0.050000,3.613215,2.555202,2.147776,2.706201,0.950374,-3.386860,6.149328
0.050000,3.742973,2.541766,2.278229,2.609048,-1.943064,-57.868746,6.208214
0.050000,3.871367,2.535390,2.406781,2.571037,-0.760217,23.656930,6.257720
0.050000,3.996680,2.534840,2.532095,2.506285,-1.295035,-10.696357,0.015396
0.050000,4.118590,2.538747,2.654068,2.439453,-1.336649,-0.832274,0.047337
0.050000,4.236991,2.545802,2.772679,2.372223,-1.344592,-0.158864,0.070307
0.050000,4.351909,2.554789,2.887948,2.305379,-1.336884,0.154165,0.084360
0.050000,4.463431,2.564593,2.999900,2.239041,-1.326755,0.202580,0.089566
0.050000,4.571653,2.574196,3.108547,2.172935,-1.322127,0.092543,0.085958
0.050000,4.676644,2.582667,3.213879,2.106641,-1.325881,-0.075061,0.073512
0.050000,4.778429,2.589153,3.315871,2.039839,-1.336033,-0.203056,0.052162
0.050000,4.876987,2.592884,3.414498,1.972559,-1.345599,-0.191310,0.021847
0.050000,4.972258,2.593177,3.509771,1.905445,-1.342291,0.066150,6.265774
0.050000,5.064183,2.589447,3.601771,1.840006,-1.308780,0.670233,6.217799
0.050000,5.152740,2.581219,3.690709,1.778768,-1.224746,1.680675,6.161666
0.050000,5.247668,2.566806,3.786726,1.920323,2.831093,81.116784,6.129609
0.050000,5.387774,2.551234,3.927694,2.819372,17.980986,302.997858,6.212299
0.050000,5.520280,2.546028,4.060302,2.652154,-3.344377,-426.507266,6.272640
0.050000,5.645564,2.547430,4.185595,2.505853,-2.926009,8.367356,0.030258
0.050000,5.764302,2.552576,4.304443,2.376976,-2.577545,6.969286,0.053862
0.050000,5.877056,2.559241,4.417395,2.259028,-2.358950,4.371897,0.061733
0.050000,5.984108,2.565603,4.524635,2.144804,-2.284484,1.489334,0.054374
0.050000,6.085359,2.570093,4.625985,2.027011,-2.355860,-1.427528,0.031315
0.050000,6.180271,2.571324,4.720906,1.898413,-2.571956,-4.321924,6.274306
0.050000,6.267834,2.568125,4.808527,1.752421,-2.919843,-6.957740,6.214663
0.050000,6.346649,2.559680,4.887793,1.585316,-3.342111,-8.445351,6.132764
0.050000,6.415330,2.545733,4.957876,1.401668,-3.672944,-6.616674,6.026408
0.050000,6.473397,2.526582,5.019020,1.222864,-3.576096,1.936973,5.896238
0.050000,6.522292,2.502433,5.073553,1.090669,-2.643888,18.644159,5.748461
0.050000,6.565248,2.472305,5.126021,1.049363,-0.826116,36.355438,5.595181
0.050000,6.605368,2.433951,5.181524,1.110065,1.214036,40.803034,5.449988
0.050000,6.643903,2.385383,5.243523,1.239978,2.598252,27.684325,5.322098
0.050000,6.680479,2.326160,5.313131,1.392151,3.043473,8.904414,5.214475
0.050000,6.714242,2.257262,5.389856,1.534509,2.847149,-3.926485,5.125810
0.050000,6.744576,2.180307,5.472574,1.654357,2.396958,-9.003815,5.053105
0.050000,6.792913,2.056488,5.605494,2.658393,20.080715,353.675144,5.118462
0.050000,6.846109,1.940888,5.732746,2.545048,-2.266896,-446.952219,5.165165
0.050000,6.898831,1.836001,5.850138,2.347843,-3.944100,-33.544090,5.187694
0.050000,6.948420,1.740169,5.958041,2.158050,-3.795852,2.964964,5.188686
0.050000,6.992763,1.652535,6.056254,1.964267,-3.875671,-1.596381,5.169249
0.050000,7.030105,1.573011,6.144109,1.757092,-4.143483,-5.356240,5.129233
0.050000,7.059113,1.502182,6.220648,1.530792,-4.526007,-7.650474,5.067725
0.050000,7.079143,1.441060,6.284968,1.286399,-4.887852,-7.236903,4.983942
0.050000,7.090590,1.390511,6.336797,1.036579,-4.996406,-2.171077,4.878786
0.050000,7.094990,1.350331,6.377218,0.808404,-4.563494,8.658238,4.756763
0.050000,7.094409,1.318492,6.409062,0.636892,-3.430243,22.665028,4.626382
0.050000,7.090372,1.291713,6.436144,0.541631,-1.905222,30.500405,4.497957
0.050000,7.083434,1.267061,6.461753,0.512191,-0.588811,26.328228,4.380262
0.050000,7.073686,1.242994,6.487720,0.519327,0.142728,14.630789,4.278175
0.050000,7.061382,1.219269,6.514445,0.534510,0.303649,3.218413,4.192772
0.050000,7.047125,1.196316,6.541466,0.540408,0.117977,-3.713438,4.122814
0.050000,7.031746,1.174715,6.567982,0.530328,-0.201607,-6.391677,4.066174
0.050000,7.016112,1.154964,6.593171,0.503786,-0.530848,-6.584831,4.020658
0.050000,7.001021,1.137416,6.616316,0.462896,-0.817785,-5.738745,3.984354
0.050000,6.987144,1.122298,6.636838,0.410437,-1.049190,-4.628087,3.955721
0.050000,6.975021,1.109743,6.654290,0.349052,-1.227706,-3.570319,3.933568
0.050000,6.964944,1.099704,6.668515,0.284482,-1.291384,-1.273556,3.916807
0.050000,6.956926,1.091946,6.679672,0.223138,-1.226883,1.290003,3.904388
0.050000,6.950844,1.086185,6.688049,0.167546,-1.111854,2.300594,3.895449
0.050000,6.946496,1.082128,6.693996,0.118937,-0.972161,2.793846,3.889292
0.050000,6.943625,1.079476,6.697903,0.078154,-0.815666,3.129912,3.885328
0.050000,6.941942,1.077932,6.700188,0.045694,-0.649210,3.329110,3.883040
0.050000,6.941134,1.077193,6.701282,0.021889,-0.476104,3.462133,3.881951
0.050000,6.940879,1.076960,6.701628,0.006914,-0.299489,3.532294,3.881608
0.050000,6.940849,1.076932,6.701669,0.000819,-0.121900,3.551780,3.881568
0.050000,6.940849,1.076932,6.701669,0.000000,-0.016382,2.110365,3.881568
