dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.242063,5.570052,0.003125,0.125000,2.500000,50.000000,6.172331
0.050000,1.252560,5.568867,0.013688,0.211264,1.725271,-15.494581,6.169163
0.050000,1.270037,5.566819,0.031285,0.351935,2.813432,21.763220,6.163905
0.050000,1.294468,5.563800,0.055902,0.492338,2.808066,-0.107327,6.156593
0.050000,1.325813,5.559662,0.087519,0.632342,2.800067,-0.159979,6.147280
0.050000,1.364017,5.554218,0.126109,0.771799,2.789143,-0.218470,6.136040
0.050000,1.409007,5.547248,0.171636,0.910533,2.774678,-0.289311,6.122968
0.050000,1.460690,5.538502,0.224053,1.048343,2.756213,-0.369298,6.108187
0.050000,1.518948,5.527708,0.283303,1.185005,2.733221,-0.459825,6.091852
0.050000,1.583643,5.514579,0.349316,1.320262,2.705150,-0.561428,6.074148
0.050000,1.654606,5.498820,0.422008,1.453849,2.671739,-0.668213,6.055298
0.050000,1.731649,5.480144,0.501283,1.585483,2.632673,-0.781336,6.035564
0.050000,1.814558,5.458277,0.587027,1.714885,2.588046,-0.892528,6.015242
0.050000,1.903103,5.432974,0.679116,1.841787,2.538040,-1.000120,5.994666
0.050000,1.997042,5.404030,0.777413,1.965943,2.483124,-1.098326,5.974202
0.050000,2.096131,5.371291,0.881770,2.087139,2.423915,-1.184174,5.954246
0.050000,2.200129,5.334662,0.992030,2.205195,2.361121,-1.255884,5.935215
0.050000,2.308813,5.294124,1.108028,2.319966,2.295427,-1.313871,5.917549
0.050000,2.421986,5.249735,1.229595,2.431335,2.227374,-1.361062,5.901701
0.050000,2.539483,5.201639,1.356555,2.539197,2.157241,-1.402662,5.888139
0.050000,2.658237,5.151346,1.485519,2.579287,0.801791,-27.109005,5.877566
0.050000,2.775382,5.100501,1.613223,2.554080,-0.504123,-26.118272,5.870354
0.050000,2.891096,5.049513,1.739673,2.528987,-0.501876,0.044941,5.866489
0.050000,3.005554,4.998779,1.864871,2.503960,-0.500524,0.027025,5.865961
0.050000,3.118924,4.948680,1.988818,2.478942,-0.500369,0.003098,5.868769
0.050000,3.231370,4.899590,2.111511,2.453869,-0.501457,-0.021755,5.874919
0.050000,3.343038,4.851876,2.232946,2.428691,-0.503562,-0.042099,5.884426
0.050000,3.454063,4.805899,2.353115,2.403381,-0.506206,-0.052884,5.897306
0.050000,3.564565,4.762014,2.472012,2.377950,-0.508614,-0.048155,5.913576
0.050000,3.673264,4.721062,2.588169,2.323132,-1.096366,-11.755042,5.930472
0.050000,3.794235,4.675746,2.717350,2.583621,5.209778,126.122890,5.919321
0.050000,3.914165,4.629401,2.845923,2.571460,-0.243220,-109.059964,5.909792
0.050000,4.033120,4.582236,2.973887,2.559283,-0.243538,-0.006363,5.901886
0.050000,4.151173,4.534457,3.101242,2.547106,-0.243536,0.000050,5.895605
0.050000,4.268401,4.486264,3.227989,2.534938,-0.243363,0.003461,5.890946
0.050000,4.384880,4.437854,3.354128,2.522781,-0.243138,0.004494,5.887909
0.050000,4.500691,4.389419,3.479660,2.510633,-0.242950,0.003766,5.886491
0.050000,4.615913,4.341148,3.604585,2.498491,-0.242855,0.001883,5.886692
0.050000,4.730623,4.293227,3.728902,2.486347,-0.242882,-0.000528,5.888513
0.050000,4.844898,4.245841,3.852612,2.474195,-0.243025,-0.002864,5.891953
0.050000,4.958810,4.199171,3.975713,2.462033,-0.243251,-0.004515,5.897015
0.050000,5.072429,4.153399,4.098206,2.449858,-0.243494,-0.004867,5.903700
0.050000,5.185822,4.108703,4.220090,2.437675,-0.243659,-0.003301,5.912009
0.050000,5.299049,4.065261,4.341365,2.425494,-0.243619,0.000798,5.921942
0.050000,5.412166,4.023250,4.462031,2.413333,-0.243216,0.008055,5.933496
0.050000,5.525224,3.982844,4.582092,2.401220,-0.242263,0.019064,5.946664
0.050000,5.638266,3.944216,4.701552,2.389193,-0.240545,0.034356,5.961435
0.050000,5.751330,3.907535,4.820417,2.377302,-0.237826,0.054384,5.977792
0.050000,5.864446,3.872969,4.938697,2.365609,-0.233853,0.079456,5.995706
0.050000,5.976512,3.840987,5.055237,2.330787,-0.696444,-9.251813,6.014621
0.050000,6.109896,3.801540,5.194332,2.781910,9.022470,194.378284,5.977011
0.050000,6.240867,3.757566,5.332488,2.763117,-0.375863,-187.966664,5.941910
0.050000,6.369319,3.709558,5.469618,2.742596,-0.410412,-0.690969,5.909548
0.050000,6.495217,3.658014,5.605659,2.720828,-0.435376,-0.499287,5.880091
0.050000,6.618593,3.603427,5.740571,2.698233,-0.451885,-0.330176,5.853649
0.050000,6.739527,3.546278,5.874329,2.675163,-0.461406,-0.190424,5.830286
0.050000,6.858145,3.487024,6.006923,2.651886,-0.465546,-0.082795,5.810029
0.050000,6.974603,3.426102,6.138353,2.628593,-0.465865,-0.006379,5.792879
0.050000,7.089076,3.363924,6.268623,2.605404,-0.463770,0.041893,5.778822
0.050000,7.201758,3.300880,6.397742,2.582381,-0.460456,0.066289,5.767836
