dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.159093,4.824655,0.003125,0.125000,2.500000,50.000000,6.172331
0.050000,1.167228,4.823737,0.011312,0.163735,0.774705,-34.505906,6.169163
0.050000,1.180788,4.822148,0.024965,0.273064,2.186574,28.237384,6.163905
0.050000,1.199777,4.819801,0.044098,0.382661,2.191940,0.107313,6.156593
0.050000,1.224198,4.816577,0.068731,0.492653,2.199852,0.158246,6.147280
0.050000,1.254056,4.812323,0.098890,0.603194,2.210816,0.219283,6.136040
0.050000,1.289358,4.806854,0.134613,0.714455,2.225222,0.288116,6.122968
0.050000,1.330110,4.799957,0.175945,0.826638,2.243661,0.368793,6.108187
0.050000,1.376322,4.791395,0.222944,0.939972,2.266673,0.460223,6.091852
0.050000,1.428004,4.780905,0.275679,1.054706,2.294677,0.560082,6.074148
0.050000,1.485167,4.768211,0.334235,1.171113,2.328132,0.669104,6.055298
0.050000,1.547825,4.753020,0.398708,1.289470,2.367154,0.780446,6.035564
0.050000,1.615997,4.735039,0.469211,1.410061,2.411816,0.893238,6.015242
0.050000,1.689703,4.713974,0.545869,1.533153,2.461844,1.000556,5.994666
0.050000,1.768975,4.689548,0.628819,1.658993,2.516802,1.099163,5.974202
0.050000,1.853851,4.661501,0.718208,1.787797,2.576065,1.185267,5.954246
0.050000,1.944386,4.629612,0.814195,1.919743,2.638921,1.257116,5.935215
0.050000,2.040655,4.593702,0.916944,2.054977,2.704680,1.315179,5.917549
0.050000,2.142762,4.553650,1.026625,2.193616,2.772796,1.362317,5.901701
0.050000,2.250845,4.509405,1.143413,2.335766,2.842982,1.403724,5.888139
0.050000,2.362296,4.462203,1.264448,2.420690,1.698488,-22.889887,5.877566
0.050000,2.474479,4.413510,1.386743,2.445909,0.504374,-23.882271,5.870354
0.050000,2.587540,4.363690,1.510294,2.471010,0.502031,-0.046860,5.866489
0.050000,2.701635,4.313116,1.635096,2.496039,0.500584,-0.028942,5.865961
0.050000,2.816932,4.262166,1.761149,2.521056,0.500339,-0.004914,5.868769
