dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.649210,3.159614,0.000306,0.012222,0.244444,4.888889,0.001467
0.050000,1.649210,3.159614,0.001528,0.036667,0.488889,4.888889,0.000518
0.050000,1.651293,3.159612,0.004278,0.073333,0.733333,4.888889,6.281568
0.050000,1.656182,3.159595,0.009167,0.122222,0.977778,4.888889,6.277773
0.050000,1.663820,3.159531,0.016806,0.183333,1.222222,4.888889,6.271843
0.050000,1.674819,3.159359,0.027806,0.256667,1.466667,4.888889,6.263308
0.050000,1.689786,3.158975,0.042778,0.342222,1.711111,4.888889,6.251703
0.050000,1.709327,3.158211,0.062333,0.440000,1.955556,4.888889,6.236580
0.050000,1.734037,3.156822,0.087083,0.550000,2.200000,4.888889,6.217519
0.050000,1.764196,3.154488,0.117333,0.660000,2.200000,0.000000,6.194395
0.050000,1.799758,3.150837,0.153083,0.770000,2.200000,-0.000000,6.167394
0.050000,1.840652,3.145443,0.194333,0.880000,2.200000,0.000000,6.136811
0.050000,1.886778,3.137841,0.241083,0.990000,2.200000,-0.000000,6.103075
0.050000,1.938000,3.127544,0.293333,1.100000,2.200000,0.000000,6.066775
0.050000,1.994151,3.114061,0.351083,1.210000,2.200000,0.000000,6.028663
0.050000,2.055033,3.096931,0.414333,1.320000,2.200000,0.000000,5.989657
0.050000,2.120432,3.075745,0.483083,1.430000,2.200000,-0.000000,5.950808
0.050000,2.190137,3.050179,0.557333,1.540000,2.200000,0.000000,5.913261
0.050000,2.263958,3.020015,0.637083,1.650000,2.200000,0.000000,5.878206
0.050000,2.341755,2.985162,0.722333,1.760000,2.200000,0.000000,5.846841
0.050000,2.423187,2.945812,0.812778,1.857778,1.955556,-4.888889,5.820417
0.050000,2.507756,2.902476,0.907806,1.943333,1.711111,-4.888889,5.800125
0.050000,2.595092,2.855857,1.006806,2.016667,1.466667,-4.888889,5.786959
0.050000,2.684945,2.806824,1.109167,2.077778,1.222222,-4.888889,5.781759
0.050000,2.777167,2.756392,1.214278,2.126667,0.977778,-4.888889,5.785257
0.050000,2.871681,2.705701,1.321528,2.163333,0.733333,-4.888889,5.798103
0.050000,2.968438,2.656000,1.430306,2.187778,0.488889,-4.888889,5.820869
0.050000,3.067368,2.608623,1.540000,2.200000,0.244444,-4.888889,5.853992
0.050000,3.168321,2.564957,1.650000,2.200000,0.000000,-4.888889,5.897654
0.050000,3.271282,2.526280,1.760000,2.200000,0.000000,0.000000,5.951764
0.050000,3.376346,2.493761,1.870000,2.200000,0.000000,0.000000,6.015867
0.050000,3.483387,2.468528,1.980000,2.200000,0.000000,0.000000,6.088837
0.050000,3.590557,2.451733,2.090000,2.200000,0.000000,0.000000,6.166567
0.050000,3.700107,2.441941,2.200000,2.200000,0.000000,0.000000,6.220205
0.050000,3.810011,2.437593,2.310000,2.200000,0.000000,0.000000,6.265667
0.050000,3.920005,2.437770,2.420000,2.200000,0.000000,0.000000,0.019269
0.050000,4.029938,2.441506,2.530000,2.200000,0.000000,0.000000,0.047187
0.050000,4.139755,2.447821,2.640000,2.200000,0.000000,0.000000,0.066214
0.050000,4.249469,2.455738,2.750000,2.200000,0.000000,0.000000,0.076398
0.050000,4.359136,2.464290,2.860000,2.200000,0.000000,0.000000,0.077785
0.050000,4.468828,2.472512,2.970000,2.200000,0.000000,0.000000,0.070384
0.050000,4.578609,2.479439,3.080000,2.200000,0.000000,0.000000,0.054158
0.050000,4.688507,2.484095,3.190000,2.200000,0.000000,0.000000,0.029052
0.050000,4.798493,2.485502,3.300000,2.200000,0.000000,0.000000,6.278241
0.050000,4.908448,2.482686,3.410000,2.200000,0.000000,0.000000,6.235482
0.050000,5.018147,2.474709,3.520000,2.200000,0.000000,0.000000,6.184350
0.050000,5.126473,2.461754,3.630000,2.200000,0.000000,0.000000,6.157012
0.050000,5.235549,2.447529,3.740000,2.200000,0.000000,0.000000,6.148781
