dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.058661,3.751266,0.000306,0.012222,0.244444,4.888889,0.110461
0.050000,1.058620,3.751261,0.000347,0.000833,-0.227793,-9.444751,0.110572
0.050000,1.060326,3.751451,0.002064,0.034338,0.670102,17.957895,0.110822
0.050000,1.065020,3.751974,0.006787,0.094449,1.202225,10.642475,0.111265
0.050000,1.072353,3.752796,0.014165,0.147579,1.062595,-2.792603,0.111959
0.050000,1.082912,3.753989,0.024791,0.212518,1.298792,4.723930,0.112956
0.050000,1.097282,3.755629,0.039255,0.289270,1.535041,4.724979,0.114313
0.050000,1.116048,3.757800,0.058147,0.377839,1.771369,4.726562,0.116082
0.050000,1.139796,3.760596,0.082058,0.478229,2.007804,4.728709,0.118319
0.050000,1.168814,3.764086,0.111285,0.584543,2.126283,2.369582,0.121046
0.050000,1.203099,3.768312,0.145830,0.690883,2.126789,0.010122,0.124262
0.050000,1.242645,3.773326,0.185692,0.797253,2.127408,0.012363,0.127961
0.050000,1.287446,3.779186,0.230875,0.903660,2.128132,0.014480,0.132140
0.050000,1.337496,3.785957,0.281381,1.010108,2.128977,0.016916,0.136792
0.050000,1.392785,3.793712,0.337211,1.116606,2.129955,0.019550,0.141911
0.050000,1.453303,3.802530,0.398369,1.223159,2.131060,0.022095,0.147490
0.050000,1.519041,3.812500,0.464858,1.329775,2.132316,0.025134,0.153519
0.050000,1.589983,3.823713,0.536681,1.436461,2.133723,0.028143,0.159991
0.050000,1.666116,3.836268,0.613842,1.543226,2.135290,0.031334,0.166894
0.050000,1.747423,3.850272,0.696346,1.650077,2.137030,0.034805,0.174216
0.050000,1.833593,3.865781,0.783901,1.751108,2.020610,-2.328414,0.181920
0.050000,1.924027,3.882792,0.875921,1.840400,1.785855,-4.695100,0.189940
0.050000,2.018124,3.901288,0.971819,1.917948,1.550956,-4.697984,0.198213
0.050000,2.115286,3.921232,1.071006,1.983741,1.315861,-4.701899,0.206676
0.050000,2.214915,3.942569,1.172894,2.037768,1.080528,-4.706659,0.215269
0.050000,2.316417,3.965226,1.276895,2.080013,0.844910,-4.712350,0.223933
0.050000,2.419203,3.989106,1.382418,2.110462,0.608971,-4.718791,0.232612
0.050000,2.522683,4.014094,1.488873,2.129095,0.372673,-4.725958,0.241250
