dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.100000,3.378551,0.000306,0.012222,0.244444,4.888889,0.110461
0.050000,1.100000,3.378551,0.001528,0.036667,0.488889,4.888889,0.110572
0.050000,1.101799,3.378751,0.004278,0.073333,0.733333,4.888889,0.110822
0.050000,1.106658,3.379293,0.009167,0.122222,0.977778,4.888889,0.111265
0.050000,1.114250,3.380144,0.016806,0.183333,1.222222,4.888889,0.111959
0.050000,1.125180,3.381378,0.027806,0.256667,1.466667,4.888889,0.112956
0.050000,1.140056,3.383076,0.042778,0.342222,1.711111,4.888889,0.114313
0.050000,1.159482,3.385324,0.062333,0.440000,1.955556,4.888889,0.116082
0.050000,1.184062,3.388218,0.087083,0.550000,2.200000,4.888889,0.118319
0.050000,1.214095,3.391830,0.117333,0.660000,2.200000,0.000000,0.121046
0.050000,1.249577,3.396204,0.153083,0.770000,2.200000,-0.000000,0.124262
0.050000,1.290499,3.401392,0.194333,0.880000,2.200000,0.000000,0.127961
0.050000,1.336854,3.407455,0.241083,0.990000,2.200000,-0.000000,0.132140
0.050000,1.388633,3.414460,0.293333,1.100000,2.200000,0.000000,0.136792
0.050000,1.445823,3.422481,0.351083,1.210000,2.200000,0.000000,0.141911
0.050000,1.508412,3.431602,0.414333,1.320000,2.200000,0.000000,0.147490
0.050000,1.576384,3.441910,0.483083,1.430000,2.200000,-0.000000,0.153519
0.050000,1.649724,3.453502,0.557333,1.540000,2.200000,0.000000,0.159991
0.050000,1.728411,3.466479,0.637083,1.650000,2.200000,0.000000,0.166894
0.050000,1.812424,3.480948,0.722333,1.760000,2.200000,0.000000,0.174216
0.050000,1.901438,3.496969,0.812778,1.857778,1.955556,-4.888889,0.181920
0.050000,1.994827,3.514537,0.907806,1.943333,1.711111,-4.888889,0.189940
0.050000,2.091968,3.533630,1.006806,2.016667,1.466667,-4.888889,0.198213
0.050000,2.192238,3.554212,1.109167,2.077778,1.222222,-4.888889,0.206676
0.050000,2.295019,3.576225,1.214278,2.126667,0.977778,-4.888889,0.215269
0.050000,2.399692,3.599589,1.321528,2.163333,0.733333,-4.888889,0.223933
0.050000,2.505648,3.624206,1.430306,2.187778,0.488889,-4.888889,0.232612
0.050000,2.612277,3.649954,1.540000,2.200000,0.244444,-4.888889,0.241250
0.050000,2.718978,3.676692,1.650000,2.200000,0.000000,-4.888889,0.249796
0.050000,2.825447,3.704335,1.760000,2.200000,0.000000,0.000000,0.258225
0.050000,2.931682,3.732867,1.870000,2.200000,0.000000,0.000000,0.266535
0.050000,3.037678,3.762276,1.980000,2.200000,0.000000,0.000000,0.274725
0.050000,3.143431,3.792544,2.090000,2.200000,0.000000,0.000000,0.282793
0.050000,3.248938,3.823659,2.200000,2.200000,0.000000,0.000000,0.290739
0.050000,3.354197,3.855605,2.310000,2.200000,0.000000,0.000000,0.298562
0.050000,3.459205,3.888366,2.420000,2.200000,0.000000,0.000000,0.306261
0.050000,3.561509,3.921351,2.530000,2.200000,0.000000,0.000000,0.319755
0.050000,3.665644,3.956786,2.640000,2.200000,0.000000,0.000000,0.335936
0.050000,3.769224,3.993812,2.750000,2.200000,0.000000,0.000000,0.350389
0.050000,3.872292,4.032242,2.860000,2.200000,0.000000,0.000000,0.363098
0.050000,3.974898,4.071888,2.970000,2.200000,0.000000,0.000000,0.374057
0.050000,4.077099,4.112567,3.080000,2.200000,0.000000,0.000000,0.383260
0.050000,4.178959,4.154096,3.190000,2.200000,0.000000,0.000000,0.390710
0.050000,4.280543,4.196293,3.300000,2.200000,0.000000,0.000000,0.396406
0.050000,4.381923,4.238980,3.410000,2.200000,0.000000,0.000000,0.400352
0.050000,4.483171,4.281977,3.520000,2.200000,0.000000,0.000000,0.402549
0.050000,4.584362,4.325109,3.630000,2.200000,0.000000,0.000000,0.402998
0.050000,4.685572,4.368198,3.740000,2.200000,0.000000,0.000000,0.401701
0.050000,4.786874,4.411067,3.850000,2.200000,0.000000,0.000000,0.398656
0.050000,4.888344,4.453538,3.960000,2.200000,0.000000,0.000000,0.393862
0.050000,4.990053,4.495433,4.070000,2.200000,0.000000,0.000000,0.387316
0.050000,5.092071,4.536573,4.180000,2.200000,0.000000,0.000000,0.379016
0.050000,5.194461,4.576774,4.290000,2.200000,0.000000,0.000000,0.368961
0.050000,5.297284,4.615853,4.400000,2.200000,0.000000,0.000000,0.357152
0.050000,5.400595,4.653625,4.510000,2.200000,0.000000,0.000000,0.343596
0.050000,5.504439,4.689903,4.620000,2.200000,0.000000,0.000000,0.328303
0.050000,5.608856,4.724499,4.730000,2.200000,0.000000,0.000000,0.311291
0.050000,5.713874,4.757224,4.840000,2.200000,0.000000,0.000000,0.292588
0.050000,5.819510,4.787892,4.950000,2.200000,0.000000,0.000000,0.272235
0.050000,5.923916,4.817891,5.060000,2.200000,0.000000,0.000000,0.295297
0.050000,6.028625,4.851583,5.170000,2.200000,0.000000,0.000000,0.327000
0.050000,6.132250,4.888473,5.280000,2.200000,0.000000,0.000000,0.356649
0.050000,6.234780,4.928307,5.390000,2.200000,0.000000,0.000000,0.384110
0.050000,6.336227,4.970827,5.500000,2.200000,0.000000,0.000000,0.409287
0.050000,6.436624,5.015770,5.610000,2.200000,0.000000,0.000000,0.432114
0.050000,6.536026,5.062875,5.720000,2.200000,0.000000,0.000000,0.452554
0.050000,6.634504,5.111883,5.830000,2.200000,0.000000,0.000000,0.470588
0.050000,6.732143,5.162542,5.940000,2.200000,0.000000,0.000000,0.486214
0.050000,6.829042,5.214604,6.050000,2.200000,0.000000,0.000000,0.499442
0.050000,6.925307,5.267828,6.160000,2.200000,0.000000,0.000000,0.510285
0.050000,7.021055,5.321980,6.270000,2.200000,0.000000,0.000000,0.518759
