dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.141339,3.005837,0.000306,0.012222,0.244444,4.888889,0.110461
0.050000,1.141380,3.005841,0.000347,0.000833,-0.227793,-9.444751,0.110572
0.050000,1.143273,3.006052,0.002251,0.038084,0.745021,19.456289,0.110822
0.050000,1.148297,3.006612,0.007307,0.101107,1.260460,10.308778,0.111265
0.050000,1.156146,3.007492,0.015206,0.157977,1.137403,-2.461139,0.111959
0.050000,1.167449,3.008768,0.026580,0.227482,1.390099,5.053915,0.112956
0.050000,1.182830,3.010524,0.042061,0.309619,1.642736,5.052740,0.114313
0.050000,1.202915,3.012848,0.062280,0.404383,1.895296,5.051189,0.116082
0.050000,1.228328,3.015840,0.087868,0.511771,2.147750,5.049093,0.118319
0.050000,1.259377,3.019574,0.119141,0.625457,2.273714,2.519267,0.121046
0.050000,1.296055,3.024095,0.156097,0.739117,2.273202,-0.010233,0.124262
0.050000,1.338354,3.029458,0.198734,0.852746,2.272590,-0.012229,0.127961
0.050000,1.386263,3.035724,0.247051,0.966339,2.271859,-0.014627,0.132140
0.050000,1.439770,3.042963,0.301046,1.079890,2.271010,-0.016981,0.136792
0.050000,1.498861,3.051251,0.360715,1.193391,2.270038,-0.019445,0.141911
0.050000,1.563520,3.060673,0.426057,1.306837,2.268920,-0.022346,0.147490
0.050000,1.633728,3.071320,0.497068,1.420221,2.267667,-0.025072,0.153519
0.050000,1.709465,3.083291,0.573745,1.533534,2.266258,-0.028186,0.159991
0.050000,1.790706,3.096689,0.656083,1.646768,2.264685,-0.031460,0.166894
0.050000,1.877425,3.111625,0.744079,1.759915,2.262946,-0.034774,0.174216
0.050000,1.969282,3.128157,0.837412,1.866661,2.134918,-2.560557,0.181920
0.050000,2.065627,3.146281,0.935447,1.960700,1.880786,-5.082633,0.189940
0.050000,2.165812,3.165973,1.037549,2.042041,1.626802,-5.079694,0.198213
0.050000,2.269191,3.187193,1.143084,2.110691,1.373009,-5.075859,0.206676
0.050000,2.375122,3.209880,1.251417,2.166664,1.119458,-5.071005,0.215269
0.050000,2.482967,3.233952,1.361916,2.209973,0.866191,-5.065348,0.223933
0.050000,2.592093,3.259305,1.473947,2.240636,0.613248,-5.058868,0.232612
0.050000,2.701871,3.285814,1.586881,2.258669,0.360659,-5.051764,0.241250
0.050000,2.811680,3.313331,1.700085,2.264092,0.108458,-5.044038,0.249796
0.050000,2.921209,3.341768,1.813246,2.263210,-0.017632,-2.521799,0.258225
0.050000,3.030453,3.371109,1.926362,2.262318,-0.017844,-0.004242,0.266535
0.050000,3.139409,3.401338,2.039433,2.261416,-0.018036,-0.003832,0.274725
0.050000,3.248070,3.432440,2.152458,2.260506,-0.018202,-0.003324,0.282793
0.050000,3.356436,3.464397,2.265437,2.259589,-0.018348,-0.002908,0.290739
0.050000,3.464502,3.497195,2.378371,2.258665,-0.018474,-0.002527,0.298562
0.050000,3.572266,3.530816,2.491257,2.257736,-0.018582,-0.002164,0.306261
0.050000,3.679384,3.565359,2.603808,2.251006,-0.134596,-2.320268,0.319755
0.050000,3.789264,3.602748,2.719874,2.321334,1.406552,30.822952,0.335936
0.050000,3.897947,3.641598,2.835293,2.308375,-0.259180,-33.314651,0.350389
0.050000,4.005481,3.681692,2.950058,2.295306,-0.261379,-0.043965,0.363098
0.050000,4.111921,3.722819,3.064167,2.282176,-0.262593,-0.024292,0.374057
0.050000,4.217329,3.764774,3.177618,2.269021,-0.263098,-0.010092,0.383260
0.050000,4.321776,3.807356,3.290411,2.255864,-0.263133,-0.000708,0.390710
0.050000,4.425333,3.850373,3.402547,2.242719,-0.262904,0.004597,0.396406
0.050000,4.528076,3.893633,3.514027,2.229591,-0.262573,0.006606,0.400352
0.050000,4.630083,3.936953,3.624851,2.216477,-0.262268,0.006110,0.402549
0.050000,4.731429,3.980151,3.735019,2.203373,-0.262075,0.003862,0.402998
0.050000,4.832191,4.023049,3.844533,2.190271,-0.262042,0.000661,0.401701
0.050000,4.932442,4.065473,3.953391,2.177162,-0.262178,-0.002737,0.398656
0.050000,5.032253,4.107250,4.061593,2.164040,-0.262457,-0.005568,0.393862
0.050000,5.131693,4.148211,4.169138,2.150899,-0.262810,-0.007065,0.387316
0.050000,5.230823,4.188187,4.276025,2.137742,-0.263133,-0.006450,0.379016
0.050000,5.329703,4.227010,4.382254,2.124578,-0.263279,-0.002936,0.368961
0.050000,5.428387,4.264517,4.487825,2.111425,-0.263067,0.004246,0.357152
0.050000,5.526923,4.300544,4.592741,2.098312,-0.262272,0.015892,0.343596
0.050000,5.625353,4.334932,4.697005,2.085280,-0.260638,0.032692,0.328303
0.050000,5.723714,4.367522,4.800624,2.072386,-0.257875,0.055253,0.311291
0.050000,5.822036,4.398161,4.903609,2.059702,-0.253675,0.084010,0.292588
0.050000,5.920342,4.426702,5.005975,2.047316,-0.247717,0.119147,0.272235
0.050000,6.033050,4.459122,5.123253,2.345569,5.965049,124.255331,0.295297
0.050000,6.149076,4.496454,5.245137,2.437670,1.842032,-82.460350,0.327000
0.050000,6.263176,4.537071,5.366251,2.422278,-0.307856,-42.997748,0.356649
0.050000,6.375306,4.580633,5.486545,2.405883,-0.327887,-0.400617,0.384110
0.050000,6.485460,4.626801,5.605983,2.388762,-0.342431,-0.290883,0.409287
0.050000,6.593671,4.675239,5.724541,2.371152,-0.352183,-0.195048,0.432114
0.050000,6.700000,4.725625,5.842203,2.353255,-0.357957,-0.115476,0.452554
0.050000,6.804533,4.777645,5.958965,2.335224,-0.360604,-0.052943,0.470588
0.050000,6.907374,4.831001,6.074824,2.317177,-0.360949,-0.006889,0.486214
0.050000,7.008643,4.885410,6.189783,2.299190,-0.359744,0.024089,0.499442
0.050000,7.108467,4.940601,6.303848,2.281308,-0.357641,0.042059,0.510285
0.050000,7.206981,4.996317,6.417026,2.263548,-0.355190,0.049030,0.518759
0.050000,7.295466,5.046469,6.518736,2.034202,-4.586916,-84.634526,0.498904
0.050000,7.383893,5.092845,6.618586,1.997009,-0.743864,76.861047,0.471847
0.050000,7.481507,5.142302,6.728014,2.188558,3.830973,91.496736,0.470321
0.050000,7.587030,5.197282,6.847001,2.379730,3.823448,-0.150500,0.494293
0.050000,7.698885,5.260937,6.975701,2.573997,3.885326,1.237559,0.544195
0.050000,7.814662,5.336870,7.114157,2.769128,3.902631,0.346094,0.620168
0.050000,7.930416,5.428375,7.261710,2.951056,3.638565,-5.281314,0.720474
0.050000,8.040236,5.536817,7.416048,3.086765,2.714179,-18.487719,0.839436
0.050000,8.118117,5.627658,7.535704,2.393116,-13.872989,-331.743369,0.869665
0.050000,8.194227,5.720404,7.655681,2.399542,0.128516,280.030096,0.901957
0.050000,8.271355,5.823979,7.784819,2.582761,3.664376,70.717214,0.963757
0.050000,8.344959,5.940567,7.922697,2.757553,3.495849,-3.370554,1.055607
0.050000,8.409010,6.070807,8.067834,2.902754,2.904016,-11.836658,1.175216
0.050000,8.456783,6.211649,8.216559,2.974484,1.434608,-29.388146,1.314408
0.050000,8.483620,6.355604,8.362994,2.928699,-0.915713,-47.006429,1.459072
0.050000,8.489645,6.493495,8.501016,2.760450,-3.364976,-48.985261,1.594431
0.050000,8.483230,6.593988,8.601714,2.013961,-14.929776,-231.295988,1.646028
0.050000,8.477369,6.672251,8.680196,1.569637,-8.886474,120.866026,1.651332
0.050000,8.468909,6.758011,8.766373,1.723532,3.077889,239.287264,1.691836
0.050000,8.454704,6.849138,8.858600,1.844546,2.420280,-13.152174,1.763180
0.050000,8.431744,6.943083,8.955310,1.934203,1.793148,-12.542637,1.861195
0.050000,8.398125,7.035752,9.053889,1.971571,0.747352,-20.915922,1.978908
0.050000,8.354430,7.121634,9.150247,1.927176,-0.887904,-32.705121,2.105388
0.050000,8.304245,7.195672,9.239691,1.788879,-2.765933,-37.560585,2.228073
0.050000,8.252756,7.255355,9.318515,1.576471,-4.248166,-29.644662,2.337058
0.050000,8.204614,7.301036,9.384880,1.327310,-4.983221,-14.701095,2.427445
0.050000,8.162848,7.334701,9.438524,1.072882,-5.088550,-2.106578,2.498544
0.050000,8.128717,7.358864,9.480343,0.836371,-4.730214,7.166721,2.552276
0.050000,8.102069,7.375926,9.511985,0.632849,-4.070439,13.195500,2.591750
0.050000,8.082114,7.387771,9.535191,0.464110,-3.374781,13.913146,2.619980
0.050000,8.067903,7.395754,9.551491,0.325993,-2.762347,12.248694,2.639421
0.050000,8.058448,7.400869,9.562241,0.215002,-2.219828,10.850375,2.652060
0.050000,8.052761,7.403872,9.568672,0.128624,-1.727555,9.845462,2.659550
0.050000,8.049867,7.405379,9.571935,0.065255,-1.267374,9.203617,2.663330
0.050000,8.048802,7.405930,9.573133,0.023977,-0.825570,8.836086,2.664715
0.050000,8.048607,7.406031,9.573353,0.004398,-0.391577,8.679855,2.664969
0.050000,8.048607,7.406031,9.573353,0.000000,-0.087957,6.072404,2.664969
