dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.591340,3.448156,0.000306,0.012222,0.244444,4.888889,0.109629
0.050000,1.591085,3.448127,0.000563,0.005140,-0.141640,-7.721698,0.110315
0.050000,1.592636,3.448301,0.002123,0.031215,0.521503,13.262861,0.111856
0.050000,1.596473,3.448737,0.005986,0.077247,0.920632,7.982585,0.114593
0.050000,1.602469,3.449440,0.012023,0.120739,0.869835,-1.015927,0.118865
0.050000,1.611103,3.450498,0.020721,0.173962,1.064465,3.892583,0.125003
0.050000,1.622853,3.452025,0.032570,0.236984,1.260448,3.919662,0.133331
0.050000,1.638200,3.454168,0.048066,0.309919,1.458694,3.964921,0.144157
0.050000,1.657624,3.457123,0.067713,0.392948,1.660578,4.037676,0.157763
0.050000,1.681368,3.461101,0.091788,0.481495,1.770944,2.207323,0.174230
0.050000,1.709438,3.466321,0.120339,0.571022,1.790537,0.391866,0.193426
0.050000,1.741845,3.473037,0.153435,0.661923,1.818013,0.549527,0.215168
0.050000,1.778609,3.481539,0.191169,0.754671,1.854969,0.739122,0.239209
0.050000,1.819754,3.492146,0.233659,0.849812,1.902826,0.957121,0.265231
0.050000,1.865316,3.505207,0.281057,0.947948,1.962715,1.197788,0.292834
0.050000,1.915341,3.521085,0.333542,1.049694,2.034925,1.444192,0.321536
0.050000,1.969886,3.540157,0.391324,1.155644,2.118997,1.681459,0.350778
0.050000,2.029017,3.562793,0.454640,1.266324,2.213596,1.891962,0.379929
0.050000,2.092819,3.589349,0.523748,1.382156,2.316635,2.060796,0.408302
0.050000,2.161394,3.620144,0.598920,1.503438,2.425650,2.180295,0.435171
0.050000,2.234623,3.655321,0.680160,1.624812,2.427474,0.036482,0.459709
0.050000,2.312171,3.694791,0.767174,1.740282,2.309397,-2.361546,0.481075
0.050000,2.393730,3.738319,0.859623,1.848969,2.173744,-2.713061,0.498542
0.050000,2.479036,3.785530,0.957121,1.949960,2.019814,-3.078594,0.511509
0.050000,2.567861,3.835913,1.059240,2.042383,1.848466,-3.426957,0.519487
0.050000,2.660020,3.888833,1.165512,2.125446,1.661256,-3.744210,0.522094
0.050000,2.755354,3.943551,1.275434,2.198427,1.459624,-4.032630,0.519044
0.050000,2.853721,3.999229,1.388465,2.260634,1.244136,-4.309771,0.510144
0.050000,2.954963,4.054958,1.504032,2.311331,1.013950,-4.603707,0.495297
0.050000,3.059170,4.109920,1.621845,2.356264,0.898659,-2.305835,0.474456
0.050000,3.166690,4.163388,1.741925,2.401599,0.906685,0.160523,0.447566
0.050000,3.277822,4.214564,1.864275,2.446992,0.907865,0.023599,0.414619
0.050000,3.385418,4.259857,1.981015,2.334808,-2.243667,-63.030628,0.389951
0.050000,3.485877,4.301358,2.089709,2.173873,-3.218716,-19.500990,0.393434
0.050000,3.586495,4.343287,2.198713,2.180090,0.124356,66.861450,0.396089
0.050000,3.687305,4.385561,2.308028,2.186304,0.124263,-0.001866,0.397915
0.050000,3.788342,4.428098,2.417654,2.192513,0.124190,-0.001462,0.398913
0.050000,3.889639,4.470815,2.527590,2.198720,0.124146,-0.000878,0.399084
0.050000,3.991233,4.513627,2.637836,2.204927,0.124136,-0.000196,0.398427
0.050000,4.093159,4.556451,2.748393,2.211135,0.124161,0.000502,0.396942
0.050000,4.195453,4.599201,2.859260,2.217346,0.124218,0.001137,0.394629
0.050000,4.298150,4.641791,2.970438,2.223561,0.124300,0.001627,0.391488
0.050000,4.401285,4.684134,3.081928,2.229781,0.124394,0.001888,0.387517
0.050000,4.504894,4.726140,3.193728,2.236005,0.124486,0.001833,0.382716
0.050000,4.609009,4.767721,3.305839,2.242233,0.124555,0.001393,0.377084
0.050000,4.713664,4.808786,3.418263,2.248462,0.124579,0.000474,0.370622
0.050000,4.818890,4.849242,3.530997,2.254688,0.124529,-0.001005,0.363330
0.050000,4.924715,4.888994,3.644042,2.260907,0.124373,-0.003125,0.355208
0.050000,5.031167,4.927949,3.757398,2.267111,0.124074,-0.005964,0.346259
0.050000,5.138270,4.966009,3.871062,2.273290,0.123595,-0.009595,0.336485
0.050000,5.246046,5.003076,3.985034,2.279435,0.122890,-0.014083,0.325893
0.050000,5.354512,5.039051,4.099311,2.285531,0.121915,-0.019507,0.314487
0.050000,5.463683,5.073834,4.213889,2.291562,0.120623,-0.025843,0.302277
0.050000,5.573568,5.107325,4.328764,2.297510,0.118966,-0.033146,0.289273
0.050000,5.684172,5.139423,4.443932,2.303355,0.116894,-0.041428,0.275490
0.050000,5.784744,5.167741,4.548415,2.089660,-4.273893,-87.815754,0.286557
0.050000,5.877143,5.196763,4.645265,1.936994,-3.053318,24.411516,0.321611
0.050000,5.969520,5.229232,4.743181,1.958334,0.426798,69.602319,0.353822
0.050000,6.061917,5.264931,4.842235,1.981080,0.454919,0.562407,0.383002
0.050000,6.154387,5.303625,4.942475,2.004783,0.474053,0.382679,0.409023
0.050000,6.246994,5.345059,5.043928,2.029069,0.485734,0.233631,0.431808
0.050000,6.339815,5.388968,5.146611,2.053652,0.491659,0.118492,0.451317
0.050000,6.432942,5.435075,5.250527,2.078327,0.493488,0.036585,0.467537
0.050000,6.526484,5.483097,5.355675,2.102963,0.492721,-0.015336,0.480473
0.050000,6.620562,5.532745,5.462050,2.127494,0.490625,-0.041924,0.490140
0.050000,6.715313,5.583726,5.569645,2.151904,0.488198,-0.048541,0.496552
0.050000,6.810886,5.635741,5.678456,2.176213,0.486180,-0.040362,0.499723
0.050000,6.909048,5.689266,5.790262,2.236133,1.198396,14.244318,0.492657
0.050000,7.014910,5.744180,5.909520,2.385151,2.980364,35.639370,0.467962
0.050000,7.113762,5.793804,6.020128,2.212167,-3.459682,-128.800918,0.466340
0.050000,7.204442,5.840435,6.122096,2.039347,-3.456399,0.065644,0.487755
0.050000,7.285860,5.885747,6.215273,1.863556,-3.515813,-1.188280,0.532593
0.050000,7.357083,5.930826,6.299563,1.685799,-3.555137,-0.786474,0.601109
0.050000,7.417694,5.976342,6.375362,1.515965,-3.396696,3.168827,0.692244
0.050000,7.468207,6.022935,6.444082,1.374411,-2.831075,11.312414,0.802014
0.050000,7.525662,6.088307,6.531114,1.740645,7.324690,203.115311,0.859552
0.050000,7.591799,6.165937,6.633097,2.039654,5.980175,-26.890308,0.876590
0.050000,7.646597,6.234720,6.721040,1.758859,-5.615911,-231.921720,0.926541
0.050000,7.688136,6.294584,6.793904,1.457275,-6.031664,-8.315068,1.010536
0.050000,7.715988,6.344759,6.851291,1.147739,-6.190719,-3.181095,1.128006
0.050000,7.732049,6.385496,6.895080,0.875786,-5.439065,15.033081,1.272328
0.050000,7.739827,6.419868,6.930321,0.704815,-3.419424,40.392821,1.428427
0.050000,7.742017,6.452863,6.963388,0.661349,-0.869311,51.002271,1.577682
0.050000,7.738522,6.495952,7.006619,0.864624,4.065483,98.695877,1.684123
0.050000,7.729980,6.582390,7.093478,1.737176,17.451052,267.711372,1.661277
0.050000,7.723660,6.647770,7.159162,1.313682,-8.469891,-518.418857,1.680233
0.050000,7.717463,6.694458,7.206260,0.941963,-7.434375,20.710322,1.734073
0.050000,7.711481,6.724073,7.236473,0.604259,-6.754069,13.606110,1.818265
0.050000,7.707014,6.738913,7.251971,0.309958,-5.886031,17.360766,1.927034
0.050000,7.705329,6.742938,7.256334,0.087253,-4.454094,28.638732,2.050845
0.050000,7.706397,6.741250,7.258331,0.039940,-0.946264,70.156616,2.176955
0.050000,7.708777,6.738219,7.262185,0.077073,0.742668,33.778635,2.293354
0.050000,7.710796,6.736132,7.265088,0.058077,-0.379928,-22.451918,2.392550
0.050000,7.711577,6.735448,7.266126,0.020759,-0.746349,-7.328422,2.472101
0.050000,7.711132,6.735769,7.266675,0.010971,-0.195766,11.011661,2.532971
0.050000,7.709925,6.736567,7.268122,0.028935,0.359271,11.100740,2.578024
0.050000,7.708447,6.737465,7.269852,0.034603,0.113373,-4.917954,2.610531
0.050000,7.707054,6.738262,7.271457,0.032095,-0.050170,-3.270878,2.633212
0.050000,7.705943,6.738869,7.272722,0.025316,-0.135577,-1.708124,2.648265
0.050000,7.705183,6.739274,7.273584,0.017224,-0.161843,-0.525321,2.657495
0.050000,7.704749,6.739501,7.274073,0.009792,-0.148648,0.263894,2.662444
0.050000,7.704563,6.739597,7.274282,0.004182,-0.112196,0.729037,2.664498
0.050000,7.704520,6.739619,7.274331,0.000967,-0.064290,0.958116,2.664969
0.050000,7.704520,6.739619,7.274331,0.000000,-0.019343,0.898939,2.664969
