dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.632369,3.075407,0.000306,0.012222,0.244444,4.888889,0.109629
0.050000,1.632369,3.075407,0.001528,0.036667,0.488889,4.888889,0.110315
0.050000,1.634494,3.075644,0.004278,0.073333,0.733333,4.888889,0.111856
0.050000,1.639352,3.076197,0.009167,0.122222,0.977778,4.888889,0.114593
0.050000,1.646939,3.077086,0.016806,0.183333,1.222222,4.888889,0.118865
0.050000,1.657857,3.078424,0.027806,0.256667,1.466667,4.888889,0.125003
0.050000,1.672704,3.080353,0.042778,0.342222,1.711111,4.888889,0.133331
0.050000,1.692072,3.083058,0.062333,0.440000,1.955556,4.888889,0.144157
0.050000,1.716540,3.086780,0.087083,0.550000,2.200000,4.888889,0.157763
0.050000,1.746374,3.091779,0.117333,0.660000,2.200000,0.000000,0.174230
0.050000,1.781521,3.098314,0.153083,0.770000,2.200000,-0.000000,0.193426
0.050000,1.821912,3.106684,0.194333,0.880000,2.200000,0.000000,0.215168
0.050000,1.867459,3.117217,0.241083,0.990000,2.200000,-0.000000,0.239209
0.050000,1.918053,3.130259,0.293333,1.100000,2.200000,0.000000,0.265231
0.050000,1.973566,3.146171,0.351083,1.210000,2.200000,0.000000,0.292834
0.050000,2.033851,3.165304,0.414333,1.320000,2.200000,0.000000,0.321536
0.050000,2.098746,3.187992,0.483083,1.430000,2.200000,-0.000000,0.350778
0.050000,2.168087,3.214534,0.557333,1.540000,2.200000,0.000000,0.379929
0.050000,2.241713,3.245176,0.637083,1.650000,2.200000,0.000000,0.408302
0.050000,2.319481,3.280095,0.722333,1.760000,2.200000,0.000000,0.435171
0.050000,2.401006,3.319253,0.812778,1.857778,1.955556,-4.888889,0.459709
0.050000,2.485695,3.362354,0.907806,1.943333,1.711111,-4.888889,0.481075
0.050000,2.573035,3.408964,1.006806,2.016667,1.466667,-4.888889,0.498542
0.050000,2.662596,3.458528,1.109167,2.077778,1.222222,-4.888889,0.511509
0.050000,2.754024,3.510385,1.214278,2.126667,0.977778,-4.888889,0.519487
0.050000,2.847031,3.563792,1.321528,2.163333,0.733333,-4.888889,0.522094
0.050000,2.941373,3.617940,1.430306,2.187778,0.488889,-4.888889,0.519044
0.050000,3.036835,3.671976,1.540000,2.200000,0.244444,-4.888889,0.510144
0.050000,3.133198,3.725023,1.650000,2.200000,0.000000,-4.888889,0.495297
0.050000,3.230491,3.776342,1.760000,2.200000,0.000000,0.000000,0.474456
0.050000,3.328980,3.825324,1.870000,2.200000,0.000000,0.000000,0.447566
0.050000,3.428888,3.871337,1.980000,2.200000,0.000000,0.000000,0.414619
0.050000,3.527972,3.913009,2.090000,2.200000,0.000000,0.000000,0.389951
0.050000,3.629638,3.955009,2.200000,2.200000,0.000000,0.000000,0.393434
0.050000,3.731175,3.997320,2.310000,2.200000,0.000000,0.000000,0.396089
0.050000,3.832616,4.039859,2.420000,2.200000,0.000000,0.000000,0.397915
0.050000,3.933998,4.082542,2.530000,2.200000,0.000000,0.000000,0.398913
0.050000,4.035355,4.125283,2.640000,2.200000,0.000000,0.000000,0.399084
0.050000,4.136722,4.168000,2.750000,2.200000,0.000000,0.000000,0.398427
0.050000,4.238134,4.210608,2.860000,2.200000,0.000000,0.000000,0.396942
0.050000,4.339628,4.253024,2.970000,2.200000,0.000000,0.000000,0.394629
0.050000,4.441236,4.295163,3.080000,2.200000,0.000000,0.000000,0.391488
0.050000,4.542994,4.336940,3.190000,2.200000,0.000000,0.000000,0.387517
0.050000,4.644934,4.378270,3.300000,2.200000,0.000000,0.000000,0.382716
0.050000,4.747088,4.419068,3.410000,2.200000,0.000000,0.000000,0.377084
0.050000,4.849487,4.459248,3.520000,2.200000,0.000000,0.000000,0.370622
0.050000,4.952160,4.498722,3.630000,2.200000,0.000000,0.000000,0.363330
0.050000,5.055134,4.537404,3.740000,2.200000,0.000000,0.000000,0.355208
0.050000,5.158435,4.575205,3.850000,2.200000,0.000000,0.000000,0.346259
0.050000,5.262084,4.612038,3.960000,2.200000,0.000000,0.000000,0.336485
0.050000,5.366104,4.647814,4.070000,2.200000,0.000000,0.000000,0.325893
0.050000,5.470510,4.682443,4.180000,2.200000,0.000000,0.000000,0.314487
0.050000,5.575318,4.715836,4.290000,2.200000,0.000000,0.000000,0.302277
0.050000,5.680539,4.747906,4.400000,2.200000,0.000000,0.000000,0.289273
0.050000,5.786179,4.778563,4.510000,2.200000,0.000000,0.000000,0.275490
0.050000,5.890739,4.808032,4.620000,2.200000,0.000000,0.000000,0.286557
0.050000,5.995679,4.840991,4.730000,2.200000,0.000000,0.000000,0.321611
