dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.673397,2.702658,0.000306,0.012222,0.244444,4.888889,0.109629
0.050000,1.673653,2.702686,0.000563,0.005140,-0.141640,-7.721698,0.110315
0.050000,1.676353,2.702988,0.003279,0.054332,0.983842,22.509655,0.111856
0.050000,1.682230,2.703656,0.009195,0.118312,1.279590,5.914949,0.114593
0.050000,1.691408,2.704732,0.018436,0.184815,1.330067,1.009543,0.118865
0.050000,1.704611,2.706350,0.031737,0.266036,1.624414,5.886950,0.125003
0.050000,1.722556,2.708681,0.049832,0.361903,1.917348,5.858665,0.133331
0.050000,1.745944,2.711947,0.073448,0.472301,2.207959,5.812229,0.144157
0.050000,1.775456,2.716437,0.103300,0.597042,2.494808,5.736983,0.157763
0.050000,1.811380,2.722456,0.139724,0.728494,2.629042,2.684666,0.174230
0.050000,1.853604,2.730307,0.182672,0.858956,2.609241,-0.396002,0.193426
0.050000,1.901979,2.740332,0.232074,0.988043,2.581755,-0.549737,0.215168
0.050000,1.956309,2.752895,0.287838,1.115284,2.544809,-0.738901,0.239209
0.050000,2.016353,2.768372,0.349845,1.240127,2.496861,-0.958967,0.265231
0.050000,2.081816,2.787135,0.417944,1.361978,2.437022,-1.196790,0.292834
0.050000,2.152360,2.809522,0.491955,1.480219,2.364820,-1.444037,0.321536
0.050000,2.227607,2.835828,0.571668,1.594258,2.280771,-1.680973,0.350778
0.050000,2.307158,2.866275,0.656846,1.703570,2.186254,-1.890352,0.379929
0.050000,2.390608,2.901002,0.747233,1.807737,2.083332,-2.058435,0.408302
0.050000,2.477568,2.940045,0.842556,1.906459,1.974440,-2.177838,0.435171
0.050000,2.567389,2.983185,0.942200,1.992875,1.728322,-4.922350,0.459709
0.050000,2.659220,3.029917,1.045237,2.060757,1.357633,-7.413778,0.481075
0.050000,2.752340,3.079609,1.150786,2.110981,1.004482,-7.063037,0.498542
0.050000,2.846156,3.131525,1.258009,2.144456,0.669505,-6.699525,0.511509
0.050000,2.940187,3.184857,1.366112,2.162050,0.351885,-6.352404,0.519487
0.050000,3.034042,3.238751,1.474339,2.164553,0.050054,-6.036617,0.522094
0.050000,3.127392,3.292330,1.581974,2.152682,-0.237411,-5.749296,0.519044
0.050000,3.219948,3.344724,1.688330,2.127129,-0.511063,-5.473050,0.510144
0.050000,3.311433,3.395088,1.792761,2.088628,-0.770019,-5.179119,0.495297
0.050000,3.401811,3.442764,1.894944,2.043656,-0.899447,-2.588565,0.474456
0.050000,3.491269,3.487261,1.994858,1.998269,-0.907747,-0.166003,0.447566
0.050000,3.579953,3.528111,2.092498,1.952809,-0.909197,-0.028993,0.414619
0.050000,3.670525,3.566161,2.190738,1.964793,0.239676,22.977467,0.389951
0.050000,3.773399,3.608659,2.302044,2.226125,5.226650,99.739478,0.393434
0.050000,3.875854,3.651354,2.413039,2.219908,-0.124338,-107.019758,0.396089
0.050000,3.977928,3.694158,2.523724,2.213696,-0.124249,0.001766,0.397915
0.050000,4.079654,3.736985,2.634099,2.207487,-0.124181,0.001361,0.398913
0.050000,4.181070,3.779752,2.744163,2.201280,-0.124143,0.000776,0.399084
0.050000,4.282210,3.822373,2.853916,2.195073,-0.124138,0.000094,0.398427
0.050000,4.383109,3.864765,2.963359,2.188864,-0.124168,-0.000604,0.396942
0.050000,4.483802,3.906847,3.072492,2.182653,-0.124230,-0.001238,0.394629
0.050000,4.584323,3.948534,3.181314,2.176437,-0.124316,-0.001725,0.391488
0.050000,4.684703,3.989746,3.289825,2.170216,-0.124415,-0.001986,0.387517
0.050000,4.784975,4.030400,3.398024,2.163991,-0.124513,-0.001941,0.382716
0.050000,4.885168,4.070415,3.505912,2.157761,-0.124587,-0.001496,0.377084
0.050000,4.985311,4.109709,3.613489,2.151530,-0.124616,-0.000576,0.370622
0.050000,5.085431,4.148203,3.720754,2.145302,-0.124571,0.000904,0.363330
0.050000,5.185554,4.185814,3.827708,2.139081,-0.124420,0.003026,0.355208
0.050000,5.285703,4.222462,3.934352,2.132875,-0.124126,0.005868,0.346259
0.050000,5.385899,4.258068,4.040686,2.126692,-0.123651,0.009503,0.336485
0.050000,5.486162,4.292552,4.146714,2.120544,-0.122951,0.013998,0.325893
0.050000,5.586508,4.325834,4.252436,2.114445,-0.121982,0.019383,0.314487
0.050000,5.686953,4.357838,4.357856,2.108411,-0.120694,0.025756,0.302277
0.050000,5.787509,4.388487,4.462979,2.102459,-0.119039,0.033101,0.289273
0.050000,5.888186,4.417704,4.567810,2.096610,-0.116969,0.041401,0.275490
0.050000,5.996733,4.448324,4.680593,2.255656,3.180918,65.957741,0.286557
0.050000,6.114215,4.485218,4.803732,2.462780,4.142480,19.231242,0.321611
0.050000,6.229384,4.525690,4.925805,2.441475,-0.426097,-91.371550,0.353822
0.050000,6.342197,4.569271,5.046744,2.418764,-0.454234,-0.562730,0.383002
0.050000,6.452672,4.615493,5.166498,2.395093,-0.473412,-0.383564,0.409023
0.050000,6.560879,4.663901,5.285040,2.370835,-0.485155,-0.234851,0.431808
0.050000,6.666928,4.714063,5.402354,2.346278,-0.491150,-0.119909,0.451317
0.050000,6.770959,4.765565,5.518435,2.321625,-0.493056,-0.038128,0.467537
0.050000,6.873133,4.818015,5.633285,2.297006,-0.492370,0.013725,0.480473
0.050000,6.973624,4.871045,5.746910,2.272489,-0.490353,0.040353,0.490140
0.050000,7.072610,4.924303,5.859314,2.248088,-0.488007,0.046902,0.496552
0.050000,7.170273,4.977454,5.970504,2.223785,-0.486065,0.038848,0.499723
0.050000,7.263774,5.028457,6.077010,2.130139,-1.872922,-27.737138,0.492657
0.050000,7.353211,5.074813,6.177747,2.014736,-2.308066,-8.702872,0.467962
0.050000,7.450976,5.123889,6.287139,2.187831,3.461906,115.399433,0.466340
0.050000,7.555925,5.177894,6.405167,2.360568,3.454729,-0.143552,0.487755
0.050000,7.666687,5.239627,6.531971,2.536074,3.510125,1.107935,0.532593
0.050000,7.781251,5.312295,6.667638,2.713338,3.545288,0.703261,0.601109
0.050000,7.896394,5.398980,6.811763,2.882510,3.383432,-3.237130,0.692244
0.050000,8.007276,5.501490,6.962770,3.020139,2.752591,-12.616820,0.802014
0.050000,8.093825,5.598724,7.092945,2.603490,-8.332994,-221.711704,0.859552
0.050000,8.168221,5.686105,7.207706,2.295220,-6.165393,43.352024,0.876590
0.050000,8.246257,5.784268,7.333108,2.508042,4.256434,208.436547,0.926541
0.050000,8.323473,5.896028,7.468949,2.716814,4.175453,-1.619624,1.010536
0.050000,8.393657,6.023412,7.614387,2.908770,3.839120,-6.726663,1.128006
0.050000,8.448890,6.164954,7.766324,3.038734,2.599268,-24.797045,1.272328
0.050000,8.482239,6.313452,7.918520,3.043927,0.103863,-49.908093,1.428427
0.050000,8.491999,6.458027,8.063425,2.898093,-2.916680,-60.410857,1.577682
0.050000,8.483711,6.580765,8.186443,2.460356,-8.754736,-116.761115,1.684123
0.050000,8.476912,6.650158,8.256167,1.394498,-21.317170,-251.248680,1.661277
