dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.040702,1.521512,0.000301,0.012029,0.240570,4.811402,3.141644
0.050000,4.039240,1.521512,0.001763,0.029240,0.344237,2.073336,3.140765
0.050000,4.035799,1.521519,0.005203,0.068812,0.791437,8.943995,3.138807
0.050000,4.029709,1.521546,0.011294,0.121806,1.059868,5.368619,3.135397
0.050000,4.020261,1.521629,0.020742,0.188967,1.343219,5.667023,3.130249
0.050000,4.007174,1.521823,0.033830,0.261767,1.456017,2.255969,3.123413
0.050000,3.990590,1.522193,0.050418,0.331763,1.399905,-1.122249,3.115263
0.050000,3.970693,1.522808,0.070325,0.398132,1.327387,-1.450364,3.106283
0.050000,3.947709,1.523728,0.093328,0.460054,1.238451,-1.778706,3.097066
0.050000,3.922243,1.524977,0.118824,0.509927,0.997444,-4.820150,3.088416
0.050000,3.895223,1.526517,0.145888,0.541274,0.626939,-7.410096,3.081200
0.050000,3.867510,1.528270,0.173656,0.555371,0.281946,-6.899860,3.076114
0.050000,3.839882,1.530122,0.201347,0.553812,-0.031173,-6.262375,3.073642
0.050000,3.813106,1.531945,0.228185,0.536757,-0.341110,-6.198741,3.074021
0.050000,3.787843,1.533621,0.253503,0.506364,-0.607856,-5.334919,3.077203
0.050000,3.764574,1.535060,0.276817,0.466277,-0.801736,-3.877609,3.082877
0.050000,3.743693,1.536213,0.297729,0.418243,-0.960689,-3.179051,3.090497
0.050000,3.725525,1.537065,0.315918,0.363773,-1.089386,-2.573942,3.099319
0.050000,3.710267,1.537642,0.331187,0.305378,-1.167915,-1.570577,3.108486
0.050000,3.697858,1.538000,0.343600,0.248279,-1.141978,0.518732,3.117248
0.050000,3.688090,1.538200,0.353370,0.195398,-1.057614,1.687278,3.125041
0.050000,3.680795,1.538298,0.360666,0.145914,-0.989679,1.358700,3.131413
0.050000,3.675783,1.538338,0.365678,0.100245,-0.913385,1.525884,3.136079
0.050000,3.672686,1.538350,0.368775,0.061935,-0.766190,2.943910,3.139084
0.050000,3.671021,1.538353,0.370441,0.033313,-0.572439,3.875002,3.140739
0.050000,3.670330,1.538353,0.371131,0.013810,-0.390076,3.647264,3.141434
0.050000,3.670173,1.538353,0.371288,0.003144,-0.213315,3.535224,3.141593
0.050000,3.670173,1.538353,0.371288,0.000000,-0.062877,3.008755,3.141593
