dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.040683,1.896512,0.000301,0.012029,0.240570,4.811402,3.141644
0.050000,4.039550,1.896512,0.001504,0.036086,0.481140,4.811402,3.140765
0.050000,4.036844,1.896517,0.004210,0.072171,0.721710,4.811402,3.138807
0.050000,4.032033,1.896539,0.009021,0.120285,0.962280,4.811402,3.135397
0.050000,4.024515,1.896605,0.016539,0.180428,1.202851,4.811402,3.130249
0.050000,4.013991,1.896761,0.027064,0.240570,1.202851,-0.000000,3.123413
0.050000,4.000463,1.897063,0.040596,0.300713,1.202851,0.000000,3.115263
0.050000,3.983931,1.897574,0.057135,0.360855,1.202851,-0.000000,3.106283
0.050000,3.964401,1.898356,0.076682,0.420998,1.202851,0.000000,3.097066
0.050000,3.942175,1.899447,0.098934,0.469112,0.962280,-4.811402,3.088416
0.050000,3.917857,1.900834,0.123292,0.505197,0.721710,-4.811402,3.081200
0.050000,3.892047,1.902466,0.149153,0.529254,0.481140,-4.811402,3.076114
0.050000,3.865344,1.904256,0.175917,0.541283,0.240570,-4.811402,3.073642
0.050000,3.838426,1.906090,0.202897,0.537924,-0.067179,-6.154976,3.074021
0.050000,3.811972,1.907844,0.229409,0.522536,-0.307749,-4.811402,3.077203
0.050000,3.786580,1.909414,0.254850,0.495120,-0.548319,-4.811402,3.082877
0.050000,3.762846,1.910723,0.278620,0.455676,-0.788889,-4.811402,3.090497
0.050000,3.741372,1.911730,0.300117,0.404203,-1.029459,-4.811402,3.099319
0.050000,3.722679,1.912437,0.318823,0.344060,-1.202851,-3.467828,3.108486
0.050000,3.706986,1.912889,0.334523,0.283918,-1.202851,0.000000,3.117248
0.050000,3.694297,1.913149,0.347215,0.223775,-1.202851,0.000000,3.125041
0.050000,3.684612,1.913279,0.356900,0.163633,-1.202851,-0.000000,3.131413
0.050000,3.677851,1.913332,0.363663,0.106849,-1.135672,1.343574,3.136079
0.050000,3.673627,1.913349,0.367886,0.062094,-0.895102,4.811402,3.139084
0.050000,3.671341,1.913353,0.370173,0.029368,-0.654532,4.811402,3.140739
0.050000,3.670390,1.913353,0.371124,0.008670,-0.413962,4.811402,3.141434
0.050000,3.670173,1.913353,0.371340,0.000000,-0.173391,4.811402,3.141593
0.050000,3.670173,1.913353,0.371340,0.000000,0.000000,3.467828,3.141593
