dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.040663,2.271512,0.000301,0.012029,0.240570,4.811402,3.141644
0.050000,4.039861,2.271512,0.001103,0.016051,0.080453,-3.202339,3.140765
0.050000,4.037889,2.271516,0.003075,0.039444,0.467864,7.748216,3.138807
0.050000,4.034356,2.271532,0.006608,0.070650,0.624121,3.125146,3.135397
0.050000,4.028769,2.271581,0.012195,0.111746,0.821907,3.955724,3.130249
0.050000,4.020808,2.271699,0.020157,0.159229,0.949674,2.555328,3.123413
0.050000,4.010335,2.271933,0.030633,0.209519,1.005783,1.122184,3.115263
0.050000,3.997170,2.272340,0.043804,0.263434,1.078300,1.450335,3.106283
0.050000,3.981093,2.272985,0.059894,0.321796,1.167239,1.778785,3.097066
0.050000,3.962107,2.273916,0.078903,0.380180,1.167687,0.008960,3.088416
0.050000,3.940490,2.275150,0.100555,0.433033,1.057065,-2.212440,3.081200
0.050000,3.916584,2.276662,0.124509,0.479079,0.920925,-2.722808,3.076114
0.050000,3.890806,2.278391,0.150345,0.516724,0.752900,-3.360493,3.073642
0.050000,3.863746,2.280234,0.177467,0.542450,0.514507,-4.767866,3.074021
0.050000,3.836102,2.282067,0.205172,0.554096,0.232920,-5.631741,3.077203
0.050000,3.808585,2.283768,0.232741,0.551378,-0.054350,-5.745387,3.082877
0.050000,3.781998,2.285234,0.259369,0.532551,-0.376538,-6.443758,3.090497
0.050000,3.757220,2.286395,0.284174,0.496103,-0.728972,-7.048685,3.099319
0.050000,3.735092,2.287231,0.306318,0.442883,-1.064392,-6.708392,3.108486
0.050000,3.716115,2.287778,0.325303,0.379698,-1.263711,-3.986380,3.117248
0.050000,3.700503,2.288098,0.340918,0.312294,-1.348072,-1.687232,3.125041
0.050000,3.688430,2.288259,0.352992,0.241494,-1.416009,-1.358745,3.131413
0.050000,3.679918,2.288326,0.361504,0.170237,-1.425129,-0.182395,3.136079
0.050000,3.674568,2.288348,0.366855,0.107008,-1.264580,3.210981,3.139084
0.050000,3.671661,2.288353,0.369762,0.058148,-0.977193,5.747749,3.140739
0.050000,3.670449,2.288353,0.370973,0.024228,-0.678417,5.975512,3.141434
0.050000,3.670173,2.288353,0.371250,0.005526,-0.374037,6.087597,3.141593
0.050000,3.670173,2.288353,0.371250,0.000000,-0.110515,5.270452,3.141593
