dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380285,4.675000,0.000296,0.011857,0.237133,4.742666,6.282426
0.050000,1.380161,4.675000,0.000420,0.002472,-0.187701,-8.496679,6.282755
0.050000,1.381003,4.675000,0.001261,0.016826,0.287089,9.495786,0.000311
0.050000,1.385252,4.675004,0.005511,0.084997,1.363422,21.526662,0.001625
0.050000,1.391895,4.675022,0.012154,0.132860,0.957266,-8.123117,0.003671
0.050000,1.401467,4.675071,0.021726,0.191428,1.171345,4.281579,0.006603
0.050000,1.414505,4.675183,0.034764,0.260766,1.386760,4.308295,0.010566
0.050000,1.431551,4.675407,0.051812,0.340960,1.603894,4.342683,0.015693
0.050000,1.453154,4.675815,0.073419,0.432138,1.823544,4.393002,0.022101
0.050000,1.479601,4.676502,0.099874,0.529108,1.939409,2.317304,0.029807
0.050000,1.510916,4.677576,0.131208,0.626668,1.951190,0.235625,0.038733
0.050000,1.547128,4.679163,0.167455,0.724946,1.965578,0.287760,0.048783
0.050000,1.588271,4.681401,0.208659,0.824078,1.982632,0.341071,0.059843
0.050000,1.634381,4.684442,0.254869,0.924205,2.002533,0.398025,0.071781
0.050000,1.685498,4.688446,0.306143,1.025472,2.025338,0.456089,0.084445
0.050000,1.741666,4.693578,0.362544,1.128026,2.051088,0.515001,0.097662
0.050000,1.802930,4.700005,0.424144,1.232012,2.079727,0.572789,0.111243
0.050000,1.869342,4.707891,0.491023,1.337572,2.111196,0.629372,0.124976
0.050000,1.940956,4.717393,0.563265,1.444839,2.145332,0.682728,0.138636
0.050000,2.017833,4.728652,0.640962,1.553936,2.181953,0.732418,0.151976
0.050000,2.099761,4.741745,0.723930,1.659354,2.108360,-1.471864,0.164699
0.050000,2.186254,4.756657,0.811698,1.755374,1.920403,-3.759141,0.176476
0.050000,2.276822,4.773315,0.903786,1.841750,1.727512,-3.857816,0.187012
0.050000,2.370975,4.791588,0.999696,1.918198,1.528969,-3.970853,0.196050
0.050000,2.468220,4.811289,1.098916,1.984413,1.324282,-4.093742,0.203374
0.050000,2.568062,4.832180,1.200920,2.040071,1.113162,-4.222404,0.208811
0.050000,2.669999,4.853981,1.305162,2.084844,0.895462,-4.353992,0.212229
0.050000,2.773523,4.876379,1.411082,2.118400,0.671126,-4.486718,0.213546
0.050000,2.877885,4.898984,1.517864,2.135644,0.344870,-6.525134,0.212722
0.050000,2.982312,4.921398,1.624669,2.136099,0.009100,-6.715405,0.209786
0.050000,3.086241,4.943275,1.730875,2.124125,-0.239475,-4.971487,0.204812
0.050000,3.189086,4.964286,1.835845,2.099391,-0.494671,-5.103924,0.197922
0.050000,3.290236,4.984134,1.938923,2.061569,-0.756446,-5.235508,0.189280
0.050000,3.389049,5.002557,2.039440,2.010335,-1.024675,-5.364566,0.179093
0.050000,3.484858,5.019347,2.136709,1.945381,-1.299095,-5.488407,0.167610
0.050000,3.576965,5.034351,2.230030,1.866417,-1.579268,-5.603456,0.155117
0.050000,3.664647,5.047481,2.318690,1.773191,-1.864523,-5.705097,0.141935
0.050000,3.747412,5.058743,2.402217,1.670545,-2.052925,-3.768045,0.128372
0.050000,3.825073,5.068234,2.480456,1.564782,-2.115256,-1.246621,0.114682
0.050000,3.897513,5.076084,2.553320,1.457288,-2.149881,-0.692494,0.101097
0.050000,3.964622,5.082446,2.620730,1.348194,-2.181885,-0.640094,0.087830
0.050000,4.026299,5.087484,2.682612,1.237638,-2.211111,-0.584508,0.075076
0.050000,4.082453,5.091369,2.738900,1.125765,-2.237453,-0.526834,0.063010
0.050000,4.133005,5.094276,2.789536,1.012722,-2.260868,-0.468309,0.051789
0.050000,4.177889,5.096373,2.834469,0.898654,-2.281359,-0.409817,0.041549
0.050000,4.217047,5.097822,2.873654,0.783703,-2.299027,-0.353365,0.032409
0.050000,4.250434,5.098772,2.907054,0.668004,-2.313969,-0.298846,0.024467
0.050000,4.278012,5.099356,2.934639,0.551689,-2.326302,-0.246654,0.017805
0.050000,4.300014,5.099688,2.956643,0.440093,-2.231922,1.887591,0.012427
0.050000,4.317007,5.099864,2.973637,0.339879,-2.004289,4.552679,0.008234
0.050000,4.329632,5.099948,2.986262,0.252495,-1.747677,5.132221,0.005098
0.050000,4.338534,5.099983,2.995164,0.178035,-1.489194,5.169661,0.002876
0.050000,4.344362,5.099996,3.000992,0.116570,-1.229297,5.197956,0.001416
0.050000,4.347769,5.099999,3.004400,0.068144,-0.968531,5.215303,0.000561
0.050000,4.349409,5.100000,3.006039,0.032785,-0.707174,5.227145,0.000149
0.050000,4.349934,5.100000,3.006564,0.010509,-0.445524,5.233007,0.000017
0.050000,4.350000,5.100000,3.006630,0.001321,-0.183754,5.235399,6.283185
0.050000,4.350000,5.100000,3.006630,0.000000,-0.026421,3.146658,6.283185
