dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380000,4.300000,0.000296,0.011857,0.237133,4.742666,6.282426
0.050000,1.380000,4.300000,0.001482,0.035570,0.474267,4.742666,6.282755
0.050000,1.381119,4.300000,0.004150,0.071140,0.711400,4.742666,0.000311
0.050000,1.385862,4.300005,0.008892,0.118567,0.948533,4.742666,0.001625
0.050000,1.393272,4.300024,0.016303,0.177850,1.185666,4.742666,0.003671
0.050000,1.403943,4.300079,0.026974,0.248990,1.422800,4.742666,0.006603
0.050000,1.418467,4.300204,0.041498,0.331987,1.659933,4.742666,0.010566
0.050000,1.437436,4.300453,0.060469,0.426840,1.897066,4.742666,0.015693
0.050000,1.461441,4.300907,0.084479,0.533550,2.134200,4.742666,0.022101
0.050000,1.490777,4.301669,0.113824,0.640260,2.134200,0.000000,0.029807
0.050000,1.525437,4.302858,0.148505,0.746970,2.134200,-0.000000,0.038733
0.050000,1.565414,4.304609,0.188521,0.853680,2.134200,0.000000,0.048783
0.050000,1.610699,4.307072,0.233873,0.960390,2.134200,-0.000000,0.059843
0.050000,1.661276,4.310408,0.284560,1.067100,2.134200,0.000000,0.071781
0.050000,1.717127,4.314782,0.340583,1.173810,2.134200,0.000000,0.084445
0.050000,1.778231,4.320365,0.401941,1.280520,2.134200,0.000000,0.097662
0.050000,1.844560,4.327323,0.468635,1.387230,2.134200,-0.000000,0.111243
0.050000,1.916086,4.335816,0.540664,1.493940,2.134200,0.000000,0.124976
0.050000,1.992778,4.345991,0.618029,1.600650,2.134200,0.000000,0.138636
0.050000,2.074605,4.357974,0.700729,1.707360,2.134200,-0.000000,0.151976
0.050000,2.161245,4.371819,0.788468,1.802213,1.897066,-4.742666,0.164699
0.050000,2.252089,4.387481,0.880654,1.885210,1.659933,-4.742666,0.176476
0.050000,2.346544,4.404854,0.976693,1.956350,1.422800,-4.742666,0.187012
0.050000,2.444024,4.423772,1.075992,2.015633,1.185666,-4.742666,0.196050
0.050000,2.543961,4.444017,1.177960,2.063060,0.948533,-4.742666,0.203374
0.050000,2.645798,4.465325,1.282002,2.098630,0.711400,-4.742666,0.208811
0.050000,2.748989,4.487395,1.387526,2.122343,0.474267,-4.742666,0.212229
0.050000,2.852996,4.509897,1.493940,2.134200,0.237133,-4.742666,0.213546
0.050000,2.957056,4.532437,1.600413,2.124736,-0.189276,-8.528190,0.212722
0.050000,3.060406,4.554620,1.706117,2.103415,-0.426409,-4.742666,0.209786
0.050000,3.162509,4.576113,1.810458,2.070238,-0.663543,-4.742666,0.204812
0.050000,3.262823,4.596607,1.912844,2.025204,-0.900676,-4.742666,0.197922
0.050000,3.360793,4.615831,2.012682,1.968314,-1.137809,-4.742666,0.189280
0.050000,3.455851,4.633555,2.109379,1.899567,-1.374943,-4.742666,0.179093
0.050000,3.547418,4.649602,2.202343,1.818963,-1.612076,-4.742666,0.167610
0.050000,3.634901,4.663854,2.290979,1.726503,-1.849209,-4.742666,0.155117
0.050000,3.717694,4.676252,2.374696,1.622185,-2.086343,-4.742666,0.141935
0.050000,3.795419,4.686828,2.453138,1.515475,-2.134200,-0.957142,0.128372
0.050000,3.867985,4.695697,2.526244,1.408765,-2.134200,0.000000,0.114682
0.050000,3.935360,4.702999,2.594014,1.302056,-2.134200,0.000000,0.101097
0.050000,3.997516,4.708892,2.656450,1.195346,-2.134200,0.000000,0.087830
0.050000,4.054425,4.713540,2.713549,1.088636,-2.134200,0.000000,0.075076
0.050000,4.106066,4.717114,2.765313,0.981926,-2.134200,-0.000000,0.063010
0.050000,4.152417,4.719779,2.811742,0.875216,-2.134200,0.000000,0.051789
0.050000,4.193466,4.721697,2.852835,0.768506,-2.134200,-0.000000,0.041549
0.050000,4.229198,4.723019,2.888592,0.661796,-2.134200,0.000000,0.032409
0.050000,4.259608,4.723885,2.919014,0.555086,-2.134200,0.000000,0.024467
0.050000,4.284689,4.724415,2.944101,0.448376,-2.134200,-0.000000,0.017805
0.050000,4.304674,4.724717,2.964088,0.351129,-1.944923,3.785524,0.012427
0.050000,4.320095,4.724877,2.979510,0.265740,-1.707790,4.742666,0.008234
0.050000,4.331544,4.724953,2.990959,0.192207,-1.470657,4.742666,0.005098
0.050000,4.339612,4.724985,2.999027,0.130531,-1.233524,4.742666,0.002876
0.050000,4.344893,4.724996,3.004308,0.080711,-0.996390,4.742666,0.001416
0.050000,4.347979,4.724999,3.007395,0.042749,-0.759257,4.742666,0.000561
0.050000,4.349464,4.725000,3.008880,0.016642,-0.522124,4.742666,0.000149
0.050000,4.349940,4.725000,3.009355,0.002393,-0.284990,4.742666,0.000017
0.050000,4.350000,4.725000,3.009415,0.000000,-0.047857,4.742666,6.283185
0.050000,4.350000,4.725000,3.009415,0.000000,0.000000,0.957142,6.283185
