dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.379715,3.925000,0.000296,0.011857,0.237133,4.742666,6.282426
0.050000,1.379839,3.925000,0.000420,0.002472,-0.187701,-8.496679,6.282755
0.050000,1.381236,3.925000,0.001817,0.027936,0.509293,13.939869,0.000311
0.050000,1.386471,3.925005,0.007052,0.104708,1.535439,20.522917,0.001625
0.050000,1.394649,3.925027,0.015230,0.163557,1.176982,-7.169129,0.003671
0.050000,1.406419,3.925087,0.027001,0.235411,1.437074,5.201828,0.006603
0.050000,1.422429,3.925225,0.043011,0.320211,1.696005,5.178635,0.010566
0.050000,1.443321,3.925499,0.063904,0.417864,1.953057,5.141025,0.015693
0.050000,1.469728,3.925999,0.090317,0.528251,2.207736,5.093582,0.022101
0.050000,1.501952,3.926835,0.122552,0.644700,2.328975,2.424782,0.029807
0.050000,1.539958,3.928139,0.160580,0.760557,2.317144,-0.236612,0.038733
0.050000,1.583701,3.930055,0.204365,0.875697,2.302803,-0.286825,0.048783
0.050000,1.633127,3.932744,0.253864,0.989982,2.285705,-0.341961,0.059843
0.050000,1.688171,3.936373,0.309027,1.103273,2.265807,-0.397955,0.071781
0.050000,1.748757,3.941118,0.369798,1.215423,2.242999,-0.456158,0.084445
0.050000,1.814796,3.947152,0.436113,1.326286,2.217268,-0.514626,0.097662
0.050000,1.886190,3.954641,0.507899,1.435717,2.188613,-0.573106,0.111243
0.050000,1.962830,3.963741,0.585077,1.543575,2.157161,-0.629040,0.124976
0.050000,2.044600,3.974589,0.667564,1.649727,2.123039,-0.682424,0.138636
0.050000,2.131377,3.987297,0.755266,1.754049,2.086439,-0.732018,0.151976
0.050000,2.222728,4.001894,0.847776,1.850195,1.922924,-3.270299,0.164699
0.050000,2.317925,4.018305,0.944377,1.932027,1.636645,-5.725569,0.176476
0.050000,2.416265,4.036392,1.044367,1.999792,1.355292,-5.627066,0.187012
0.050000,2.517073,4.055955,1.147055,2.053771,1.079583,-5.514171,0.196050
0.050000,2.619702,4.076746,1.251769,2.094271,0.810005,-5.391577,0.203374
0.050000,2.723534,4.098471,1.357850,2.121614,0.546851,-5.263071,0.208811
0.050000,2.827978,4.120808,1.464656,2.136127,0.290267,-5.131671,0.212229
0.050000,2.932468,4.143415,1.571563,2.138142,0.040309,-4.999174,0.213546
0.050000,3.036226,4.165890,1.677728,2.123292,-0.297009,-6.746359,0.212722
0.050000,3.138500,4.187841,1.782330,2.092051,-0.624813,-6.556074,0.209786
0.050000,3.238778,4.208950,1.884806,2.049524,-0.850535,-4.514442,0.204812
0.050000,3.336560,4.228928,1.984609,1.996043,-1.069623,-4.381750,0.197922
0.050000,3.431350,4.247529,2.081205,1.931937,-1.282125,-4.250059,0.189280
0.050000,3.522652,4.264553,2.174082,1.857529,-1.488166,-4.120802,0.179093
0.050000,3.609978,4.279857,2.262738,1.773129,-1.687998,-3.996649,0.167610
0.050000,3.692837,4.293356,2.346690,1.679025,-1.882071,-3.881470,0.155117
0.050000,3.770742,4.305022,2.425463,1.575473,-2.071052,-3.779617,0.141935
0.050000,3.843426,4.314914,2.498818,1.467092,-2.167614,-1.931239,0.128372
0.050000,3.910896,4.323160,2.566790,1.359436,-2.153121,0.289868,0.114682
0.050000,3.973207,4.329914,2.629465,1.253512,-2.118475,0.692913,0.101097
0.050000,4.030410,4.335337,2.686925,1.149189,-2.086463,0.640252,0.087830
0.050000,4.082552,4.339597,2.739241,1.046327,-2.057234,0.584565,0.075076
0.050000,4.129679,4.342858,2.786480,0.944783,-2.030893,0.526835,0.063010
0.050000,4.171830,4.345281,2.828701,0.844409,-2.007481,0.468223,0.051789
0.050000,4.209042,4.347020,2.865954,0.745060,-1.986972,0.410179,0.041549
0.050000,4.241350,4.348216,2.898283,0.646594,-1.969323,0.352980,0.032409
0.050000,4.268782,4.348997,2.925727,0.548873,-1.954411,0.298240,0.024467
0.050000,4.291366,4.349474,2.948315,0.451769,-1.942080,0.246624,0.017805
0.050000,4.309334,4.349746,2.966286,0.359412,-1.847139,1.898823,0.012427
0.050000,4.323183,4.349889,2.980135,0.276990,-1.648452,3.973752,0.008234
0.050000,4.333455,4.349958,2.990408,0.205452,-1.430750,4.354038,0.005098
0.050000,4.340690,4.349987,2.997643,0.144702,-1.215010,4.314791,0.002876
0.050000,4.345424,4.349997,3.002377,0.094672,-1.000589,4.288416,0.001416
0.050000,4.348190,4.349999,3.005143,0.055316,-0.787120,4.269380,0.000561
0.050000,4.349520,4.350000,3.006473,0.026607,-0.574194,4.258525,0.000149
0.050000,4.349946,4.350000,3.006899,0.008527,-0.361583,4.252221,0.000017
0.050000,4.350000,4.350000,3.006953,0.001072,-0.149109,4.249477,6.283185
0.050000,4.350000,4.350000,3.006953,0.000000,-0.021439,2.553404,6.283185
