dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.379897,4.377000,0.000306,0.012222,0.244444,4.888889,0.000274
0.050000,1.379940,4.377000,0.000349,0.000867,-0.227096,-9.430805,0.000159
0.050000,1.381109,4.377000,0.001517,0.023361,0.449870,13.539319,6.283084
0.050000,1.386170,4.376998,0.006579,0.101235,1.557484,22.152284,6.282623
0.050000,1.394078,4.376991,0.014487,0.158159,1.138484,-8.380004,6.281906
0.050000,1.405463,4.376971,0.025872,0.227705,1.390915,5.048623,6.280878
0.050000,1.420956,4.376924,0.041364,0.309848,1.642853,5.038761,6.279491
0.050000,1.441183,4.376831,0.061592,0.404553,1.894101,5.024954,6.277699
0.050000,1.466771,4.376662,0.087181,0.511774,2.144425,5.006488,6.275462
0.050000,1.498027,4.376379,0.118438,0.625140,2.267317,2.457832,6.272777
0.050000,1.534939,4.375937,0.155352,0.738287,2.262949,-0.087351,6.269672
0.050000,1.577493,4.375287,0.197911,0.851176,2.257776,-0.103477,6.266182
0.050000,1.625672,4.374375,0.246099,0.963765,2.251781,-0.119886,6.262346
0.050000,1.679459,4.373142,0.299900,1.076014,2.244968,-0.136269,6.258211
0.050000,1.738831,4.371528,0.359294,1.187880,2.237326,-0.152829,6.253827
0.050000,1.803764,4.369471,0.424260,1.299323,2.228860,-0.169325,6.249250
0.050000,1.874233,4.366911,0.494775,1.410301,2.219568,-0.185834,6.244543
0.050000,1.950208,4.363790,0.570814,1.520774,2.209454,-0.202283,6.239773
0.050000,2.031657,4.360055,0.652349,1.630700,2.198524,-0.218601,6.235013
0.050000,2.118548,4.355660,0.739351,1.740040,2.186784,-0.234799,6.230341
0.050000,2.210535,4.350584,0.831477,1.842533,2.049872,-2.738257,6.225855
0.050000,2.306963,4.344842,0.928077,1.931988,1.789092,-5.215589,6.221664
0.050000,2.407185,4.338473,1.028501,2.008477,1.529784,-5.186165,6.217866
0.050000,2.510557,4.331534,1.132105,2.072086,1.272181,-5.152064,6.214551
0.050000,2.616442,4.324102,1.238250,2.122910,1.016479,-5.114041,6.211793
0.050000,2.724210,4.316273,1.346303,2.161052,0.762835,-5.072866,6.209652
0.050000,2.833239,4.308154,1.455634,2.186620,0.511375,-5.029196,6.208177
0.050000,2.942913,4.299863,1.565621,2.199730,0.262187,-4.983776,6.207398
0.050000,3.052621,4.291522,1.675645,2.200496,0.015328,-4.937169,6.207332
0.050000,3.161808,4.283253,1.785145,2.189986,-0.210206,-4.510682,6.207979
0.050000,3.269922,4.275174,1.893560,2.168308,-0.433565,-4.467190,6.209326
0.050000,3.376369,4.267399,2.000291,2.134625,-0.673647,-4.801632,6.211344
0.050000,3.480562,4.260034,2.104744,2.089053,-0.911446,-4.755974,6.213988
0.050000,3.581915,4.253167,2.206329,2.031701,-1.147046,-4.712008,6.217199
0.050000,3.679846,4.246873,2.304463,1.962672,-1.380565,-4.670384,6.220905
0.050000,3.773779,4.241205,2.398566,1.882065,-1.612156,-4.631820,6.225020
0.050000,3.863137,4.236196,2.488064,1.789964,-1.842009,-4.597063,6.229446
0.050000,3.947347,4.231859,2.572386,1.686447,-2.070352,-4.566858,6.234076
0.050000,4.026092,4.228173,2.651217,1.576615,-2.196626,-2.525478,6.238811
0.050000,4.099349,4.225093,2.724539,1.466444,-2.203425,-0.135969,6.243569
0.050000,4.167143,4.222564,2.792381,1.356826,-2.192366,0.221166,6.248275
0.050000,4.229496,4.220528,2.854767,1.247720,-2.182124,0.204850,6.252863
0.050000,4.286428,4.218926,2.911721,1.139084,-2.172703,0.188422,6.257269
0.050000,4.337957,4.217696,2.963265,1.030879,-2.164107,0.171916,6.261435
0.050000,4.384101,4.216782,3.009418,0.923062,-2.156337,0.155391,6.265310
0.050000,4.424876,4.216124,3.050198,0.815592,-2.149395,0.138842,6.268848
0.050000,4.460294,4.215672,3.085619,0.708429,-2.143273,0.122439,6.272008
0.050000,4.490369,4.215377,3.115695,0.601530,-2.137971,0.106050,6.274754
0.050000,4.515111,4.215197,3.140438,0.494856,-2.133480,0.089807,6.277057
0.050000,4.534779,4.215095,3.160106,0.393348,-2.030159,2.066435,6.278916
0.050000,4.549921,4.215041,3.175249,0.302858,-1.809800,4.407170,6.280364
0.050000,4.561134,4.215016,3.186461,0.224258,-1.572007,4.755872,6.281445
0.050000,4.569010,4.215005,3.194337,0.157511,-1.334941,4.741307,6.282210
0.050000,4.574139,4.215001,3.199467,0.102591,-1.098399,4.730855,6.282710
0.050000,4.577113,4.215000,3.202441,0.059480,-0.862211,4.723758,6.283001
0.050000,4.578522,4.215000,3.203849,0.028168,-0.626245,4.719306,6.283138
0.050000,4.578954,4.215000,3.204281,0.008648,-0.390401,4.716894,6.283181
0.050000,4.579000,4.215000,3.204327,0.000918,-0.154606,4.715893,0.000000
0.050000,4.579000,4.215000,3.204327,0.000000,-0.018357,2.724988,0.000000
