dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380000,4.002000,0.000306,0.012222,0.244444,4.888889,0.000274
0.050000,1.380000,4.002000,0.001528,0.036667,0.488889,4.888889,0.000159
0.050000,1.381071,4.002000,0.004278,0.073333,0.733333,4.888889,6.283084
0.050000,1.385959,4.001998,0.009167,0.122222,0.977778,4.888889,6.282623
0.050000,1.393598,4.001991,0.016806,0.183333,1.222222,4.888889,6.281906
0.050000,1.404598,4.001972,0.027806,0.256667,1.466667,4.888889,6.280878
0.050000,1.419570,4.001927,0.042778,0.342222,1.711111,4.888889,6.279491
0.050000,1.439126,4.001837,0.062333,0.440000,1.955556,4.888889,6.277699
0.050000,1.463875,4.001673,0.087083,0.550000,2.200000,4.888889,6.275462
0.050000,1.494124,4.001399,0.117333,0.660000,2.200000,0.000000,6.272777
0.050000,1.529871,4.000971,0.153083,0.770000,2.200000,-0.000000,6.269672
0.050000,1.571117,4.000341,0.194333,0.880000,2.200000,0.000000,6.266182
0.050000,1.617858,3.999456,0.241083,0.990000,2.200000,-0.000000,6.262346
0.050000,1.670094,3.998259,0.293333,1.100000,2.200000,0.000000,6.258211
0.050000,1.727823,3.996689,0.351083,1.210000,2.200000,0.000000,6.253827
0.050000,1.791041,3.994687,0.414333,1.320000,2.200000,0.000000,6.249250
0.050000,1.859746,3.992191,0.483083,1.430000,2.200000,-0.000000,6.244543
0.050000,1.933933,3.989143,0.557333,1.540000,2.200000,0.000000,6.239773
0.050000,2.013600,3.985490,0.637083,1.650000,2.200000,0.000000,6.235013
0.050000,2.098741,3.981183,0.722333,1.760000,2.200000,0.000000,6.230341
0.050000,2.189048,3.976200,0.812778,1.857778,1.955556,-4.888889,6.225855
0.050000,2.283907,3.970552,0.907806,1.943333,1.711111,-4.888889,6.221664
0.050000,2.382708,3.964273,1.006806,2.016667,1.466667,-4.888889,6.217866
0.050000,2.484839,3.957417,1.109167,2.077778,1.222222,-4.888889,6.214551
0.050000,2.589692,3.950058,1.214278,2.126667,0.977778,-4.888889,6.211793
0.050000,2.696660,3.942287,1.321528,2.163333,0.733333,-4.888889,6.209652
0.050000,2.805138,3.934209,1.430306,2.187778,0.488889,-4.888889,6.208177
0.050000,2.914520,3.925940,1.540000,2.200000,0.244444,-4.888889,6.207398
0.050000,3.024203,3.917601,1.650000,2.200000,0.000000,-4.888889,6.207332
0.050000,3.133632,3.909313,1.759742,2.189681,-0.206383,-4.127658,6.207979
0.050000,3.242250,3.901196,1.868663,2.167139,-0.450827,-4.888889,6.209326
0.050000,3.349452,3.893367,1.976150,2.132376,-0.695272,-4.888889,6.211344
0.050000,3.454634,3.885931,2.081595,2.085390,-0.939716,-4.888889,6.213988
0.050000,3.557188,3.878984,2.184384,2.026182,-1.184161,-4.888889,6.217199
0.050000,3.656506,3.872600,2.283907,1.954752,-1.428605,-4.888889,6.220905
0.050000,3.751979,3.866839,2.379553,1.871099,-1.673050,-4.888889,6.225020
0.050000,3.842994,3.861738,2.470712,1.775225,-1.917494,-4.888889,6.229446
0.050000,3.928939,3.857311,2.556770,1.667128,-2.161938,-4.888889,6.234076
0.050000,4.009457,3.853542,2.637377,1.557128,-2.200000,-0.761231,6.238811
0.050000,4.084497,3.850387,2.712483,1.447128,-2.200000,0.000000,6.243569
0.050000,4.154055,3.847792,2.782090,1.337128,-2.200000,-0.000000,6.248275
0.050000,4.218127,3.845700,2.846196,1.227128,-2.200000,0.000000,6.252863
0.050000,4.276710,3.844051,2.904802,1.117128,-2.200000,0.000000,6.257269
0.050000,4.329801,3.842785,2.957909,1.007128,-2.200000,-0.000000,6.261435
0.050000,4.377398,3.841842,3.005515,0.897128,-2.200000,0.000000,6.265310
0.050000,4.419499,3.841163,3.047621,0.787128,-2.200000,-0.000000,6.268848
0.050000,4.456103,3.840696,3.084228,0.677128,-2.200000,0.000000,6.272008
0.050000,4.487208,3.840391,3.115334,0.567128,-2.200000,-0.000000,6.274754
0.050000,4.512813,3.840204,3.140941,0.457128,-2.200000,0.000000,6.277057
0.050000,4.533177,3.840098,3.161305,0.357447,-1.993617,4.127658,6.278916
0.050000,4.548863,3.840043,3.176991,0.269988,-1.749173,4.888889,6.280364
0.050000,4.560482,3.840016,3.188609,0.194752,-1.504728,4.888889,6.281445
0.050000,4.568644,3.840005,3.196772,0.131738,-1.260284,4.888889,6.282210
0.050000,4.573961,3.840001,3.202089,0.080946,-1.015839,4.888889,6.282710
0.050000,4.577044,3.840000,3.205172,0.042376,-0.771395,4.888889,6.283001
0.050000,4.578504,3.840000,3.206632,0.016028,-0.526950,4.888889,6.283138
0.050000,4.578952,3.840000,3.207080,0.001903,-0.282506,4.888889,6.283181
0.050000,4.579000,3.840000,3.207128,0.000000,-0.038062,4.888889,0.000000
0.050000,4.579000,3.840000,3.207128,0.000000,0.000000,0.761231,0.000000
