dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.380103,3.627000,0.000306,0.012222,0.244444,4.888889,0.000274
0.050000,1.380060,3.627000,0.000349,0.000867,-0.227096,-9.430805,0.000159
0.050000,1.381033,3.627000,0.001322,0.019462,0.371896,11.979840,6.283084
0.050000,1.385749,3.626998,0.006038,0.094320,1.497161,22.505300,6.282623
0.050000,1.393118,3.626992,0.013408,0.147396,1.061519,-8.712847,6.281906
0.050000,1.403733,3.626973,0.024023,0.212295,1.297973,4.729080,6.280878
0.050000,1.418185,3.626929,0.038475,0.289041,1.534923,4.739005,6.279491
0.050000,1.437068,3.626842,0.057358,0.377669,1.772565,4.752833,6.277699
0.050000,1.460979,3.626684,0.081269,0.478226,2.011126,4.771222,6.275462
0.050000,1.490221,3.626419,0.110512,0.584860,2.132683,2.431149,6.272777
0.050000,1.524804,3.626005,0.145098,0.691712,2.137044,0.087211,6.269672
0.050000,1.564741,3.625396,0.185039,0.798823,2.142220,0.103531,6.266182
0.050000,1.610044,3.624538,0.230351,0.906233,2.148211,0.119815,6.262346
0.050000,1.660730,3.623376,0.281050,1.013985,2.155027,0.136314,6.258211
0.050000,1.716815,3.621851,0.337156,1.122118,2.162665,0.152773,6.253827
0.050000,1.778318,3.619903,0.398690,1.230675,2.171132,0.169340,6.249250
0.050000,1.845259,3.617471,0.465674,1.339696,2.180425,0.185855,6.244543
0.050000,1.917659,3.614497,0.538136,1.449223,2.190540,0.202295,6.239773
0.050000,1.995542,3.610925,0.616100,1.559297,2.201472,0.218645,6.235013
0.050000,2.078933,3.606707,0.699598,1.669957,2.213214,0.234829,6.230341
0.050000,2.167560,3.601816,0.788360,1.775242,2.105685,-2.150565,6.225855
0.050000,2.260851,3.596261,0.881816,1.869121,1.877580,-4.562115,6.221664
0.050000,2.358231,3.590072,0.979392,1.951521,1.648002,-4.591550,6.217866
0.050000,2.459121,3.583299,1.080510,2.022357,1.416718,-4.625676,6.214551
0.050000,2.562943,3.576013,1.184587,2.081533,1.183533,-4.663716,6.211793
0.050000,2.669110,3.568300,1.291034,2.128947,0.948285,-4.704944,6.209652
0.050000,2.777036,3.560263,1.399259,2.164490,0.710856,-4.748593,6.208177
0.050000,2.886127,3.552016,1.508661,2.188048,0.471152,-4.794069,6.207398
0.050000,2.995786,3.543679,1.618636,2.199504,0.229118,-4.840680,6.207332
0.050000,3.105457,3.535373,1.728621,2.199695,0.003822,-4.505937,6.207979
0.050000,3.214578,3.527219,1.838047,2.188512,-0.223650,-4.549431,6.209326
0.050000,3.322535,3.519334,1.946291,2.164889,-0.472460,-4.976205,6.211344
0.050000,3.428705,3.511829,2.052727,2.128712,-0.723552,-5.021841,6.213988
0.050000,3.532461,3.504800,2.156720,2.079870,-0.976842,-5.065791,6.217199
0.050000,3.633166,3.498327,2.257633,2.018259,-1.232211,-5.107380,6.220905
0.050000,3.730179,3.492474,2.354822,1.943784,-1.489507,-5.145918,6.225020
0.050000,3.822851,3.487279,2.447640,1.856357,-1.748540,-5.180666,6.229446
0.050000,3.910530,3.482763,2.535435,1.755903,-2.009082,-5.210842,6.234076
0.050000,3.992822,3.478911,2.617817,1.647637,-2.165311,-3.124582,6.238811
0.050000,4.069645,3.475681,2.694708,1.537808,-2.196572,-0.625217,6.243569
0.050000,4.140966,3.473021,2.766079,1.427427,-2.207628,-0.221128,6.248275
0.050000,4.206758,3.470873,2.831906,1.316534,-2.217870,-0.204827,6.252863
0.050000,4.266993,3.469177,2.892164,1.205169,-2.227290,-0.188406,6.257269
0.050000,4.321646,3.467874,2.946833,1.093375,-2.235886,-0.171914,6.261435
0.050000,4.370696,3.466901,2.995893,0.981192,-2.243655,-0.155382,6.265310
0.050000,4.414123,3.466202,3.039326,0.868662,-2.250600,-0.138911,6.268848
0.050000,4.451911,3.465719,3.077117,0.755826,-2.256721,-0.122406,6.272008
0.050000,4.484046,3.465404,3.109253,0.642725,-2.262025,-0.106076,6.274754
0.050000,4.510515,3.465211,3.135723,0.529399,-2.266516,-0.089828,6.277057
0.050000,4.531576,3.465102,3.156784,0.421226,-2.163456,2.061203,6.278916
0.050000,4.547805,3.465044,3.173013,0.324577,-1.932989,4.609329,6.280364
0.050000,4.559829,3.465017,3.185037,0.240482,-1.681892,5.021950,6.281445
0.050000,4.568278,3.465005,3.193486,0.168979,-1.430072,5.036404,6.282210
0.050000,4.573783,3.465001,3.198991,0.110092,-1.177726,5.046917,6.282710
0.050000,4.576975,3.465000,3.202183,0.063841,-0.925022,5.054073,6.283001
0.050000,4.578487,3.465000,3.203695,0.030236,-0.672098,5.058481,6.283138
0.050000,4.578951,3.465000,3.204159,0.009283,-0.419056,5.060847,6.283181
0.050000,4.579000,3.465000,3.204208,0.000985,-0.165964,5.061842,0.000000
0.050000,4.579000,3.465000,3.204208,0.000000,-0.019705,2.925166,0.000000
