dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.999654,2.375000,0.000306,0.012222,0.244444,4.888889,0.000923
0.050000,1.999768,2.375000,0.000420,0.002288,-0.198682,-8.862523,0.000618
0.050000,2.000304,2.375000,0.000956,0.010712,0.168474,7.343109,6.283116
0.050000,2.005652,2.374996,0.006304,0.106969,1.925151,35.133554,6.281891
0.050000,2.014012,2.374977,0.014664,0.167196,1.204527,-14.412485,6.279968
0.050000,2.026057,2.374922,0.026709,0.240905,1.474183,5.393115,6.277180
0.050000,2.042466,2.374792,0.043119,0.328194,1.745774,5.431822,6.273348
0.050000,2.063922,2.374527,0.064576,0.429147,2.019066,5.465831,6.268277
0.050000,2.091115,2.374033,0.091773,0.543947,2.296011,5.538910,6.261749
0.050000,2.124410,2.373184,0.125079,0.666116,2.443370,2.947182,6.253601
0.050000,2.163840,2.371823,0.164533,0.789072,2.459114,0.314867,6.243723
0.050000,2.209447,2.369755,0.210187,0.913078,2.480121,0.420149,6.231980
0.050000,2.261275,2.366743,0.262102,1.038310,2.504637,0.490316,6.218204
0.050000,2.319374,2.362498,0.320356,1.165075,2.535308,0.613417,6.202192
0.050000,2.383795,2.356673,0.385039,1.293671,2.571924,0.732323,6.183700
0.050000,2.454586,2.348851,0.456262,1.424446,2.615496,0.871443,6.162437
0.050000,2.531792,2.338535,0.534154,1.557836,2.667799,1.046054,6.138054
0.050000,2.615439,2.325125,0.618868,1.694296,2.729196,1.227940,6.110141
0.050000,2.705526,2.307906,0.710587,1.834370,2.801489,1.445862,6.078214
0.050000,2.802007,2.286023,0.809518,1.978618,2.884961,1.669453,6.041717
0.050000,2.904406,2.258560,0.915536,2.120362,2.834870,-1.001823,6.000167
0.050000,3.011787,2.224606,1.028157,2.252433,2.641422,-3.868959,5.953222
0.050000,3.123056,2.183231,1.146870,2.374241,2.436159,-4.105270,5.900620
0.050000,3.236918,2.133544,1.271101,2.484630,2.207794,-4.567301,5.842252
0.050000,3.351852,2.074776,1.400188,2.581745,1.942283,-5.310224,5.778256
0.050000,3.466109,2.006401,1.533341,2.663062,1.626358,-6.318491,5.709111
0.050000,3.577760,1.928269,1.669616,2.725485,1.248458,-7.558008,5.635705
0.050000,3.684811,1.840715,1.807910,2.765892,0.808127,-8.806615,5.559348
0.050000,3.785374,1.744628,1.946999,2.781770,0.317558,-9.811373,5.481685
0.050000,3.878001,1.641248,2.085805,2.776135,-0.112691,-8.604995,5.404408
0.050000,3.961658,1.532167,2.223272,2.749335,-0.535995,-8.466062,5.329161
0.050000,4.035693,1.419341,2.358220,2.698952,-1.007669,-9.433478,5.257462
0.050000,4.099986,1.304753,2.489612,2.627850,-1.422039,-8.287409,5.190447
0.050000,4.154863,1.190266,2.616572,2.539195,-1.773089,-7.020992,5.128827
0.050000,4.200966,1.077535,2.738366,2.435882,-2.066262,-5.863466,5.072926
0.050000,4.239128,0.967984,2.854374,2.320163,-2.314396,-4.962686,5.022767
0.050000,4.270265,0.862817,2.964053,2.193579,-2.531667,-4.345427,4.978168
0.050000,4.295303,0.763060,3.066904,2.057017,-2.731252,-3.991693,4.938826
0.050000,4.315162,0.669440,3.162608,1.914070,-2.858932,-2.553598,4.904331
0.050000,4.330735,0.582237,3.251190,1.771657,-2.848255,0.213534,4.874161
0.050000,4.342815,0.501477,3.332849,1.633172,-2.769706,1.570994,4.847793
0.050000,4.352064,0.427148,3.407751,1.498046,-2.702518,1.343750,4.824775
0.050000,4.359037,0.359214,3.476042,1.365809,-2.644741,1.155550,4.804724
0.050000,4.364196,0.297631,3.537841,1.235984,-2.596502,0.964782,4.787318
0.050000,4.367926,0.242347,3.593250,1.108182,-2.556036,0.809320,4.772285
0.050000,4.370548,0.193313,3.642355,0.982089,-2.521861,0.683493,4.759400
0.050000,4.372328,0.150481,3.685223,0.857374,-2.494309,0.551046,4.748476
0.050000,4.373484,0.113808,3.721914,0.733817,-2.471123,0.463706,4.739360
0.050000,4.374194,0.083257,3.752474,0.611197,-2.452403,0.374402,4.731927
0.050000,4.374602,0.058644,3.777090,0.492325,-2.377437,1.499328,4.726044
0.050000,4.374821,0.039458,3.796278,0.383751,-2.171485,4.119042,4.721521
0.050000,4.374928,0.025012,3.810724,0.288925,-1.896534,5.499016,4.718151
0.050000,4.374975,0.014624,3.821111,0.207749,-1.623514,5.460405,4.715747
0.050000,4.374993,0.007620,3.828116,0.140097,-1.353034,5.409583,4.714135
0.050000,4.374999,0.003325,3.832411,0.085897,-1.084002,5.380644,4.713150
0.050000,4.375000,0.001069,3.834667,0.045108,-0.815779,5.364461,4.712633
0.050000,4.375000,0.000184,3.835552,0.017711,-0.547947,5.356652,4.712431
0.050000,4.375000,-0.000000,3.835736,0.003675,-0.280714,5.344648,4.712389
0.050000,4.375000,-0.000000,3.835736,0.000000,-0.073501,4.144273,4.712389
