dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.000000,2.000000,0.000306,0.012222,0.244444,4.888889,0.000923
0.050000,2.000000,2.000000,0.001528,0.036667,0.488889,4.888889,0.000618
0.050000,2.000278,2.000000,0.004278,0.073333,0.733333,4.888889,6.283116
0.050000,2.005167,1.999997,0.009167,0.122222,0.977778,4.888889,6.281891
0.050000,2.012806,1.999979,0.016806,0.183333,1.222222,4.888889,6.279968
0.050000,2.023805,1.999929,0.027806,0.256667,1.466667,4.888889,6.277180
0.050000,2.038778,1.999810,0.042778,0.342222,1.711111,4.888889,6.273348
0.050000,2.058332,1.999568,0.062333,0.440000,1.955556,4.888889,6.268277
0.050000,2.083077,1.999119,0.087083,0.550000,2.200000,4.888889,6.261749
0.050000,2.113318,1.998348,0.117333,0.660000,2.200000,0.000000,6.253601
0.050000,2.149046,1.997115,0.153083,0.770000,2.200000,-0.000000,6.243723
0.050000,2.190254,1.995247,0.194333,0.880000,2.200000,0.000000,6.231980
0.050000,2.236924,1.992534,0.241083,0.990000,2.200000,-0.000000,6.218204
0.050000,2.289035,1.988727,0.293333,1.100000,2.200000,0.000000,6.202192
0.050000,2.346549,1.983527,0.351083,1.210000,2.200000,0.000000,6.183700
0.050000,2.409416,1.976582,0.414333,1.320000,2.200000,0.000000,6.162437
0.050000,2.477559,1.967477,0.483083,1.430000,2.200000,-0.000000,6.138054
0.050000,2.550870,1.955725,0.557333,1.540000,2.200000,0.000000,6.110141
0.050000,2.629199,1.940756,0.637083,1.650000,2.200000,0.000000,6.078214
0.050000,2.712333,1.921902,0.722333,1.760000,2.200000,0.000000,6.041717
0.050000,2.799685,1.898478,0.812778,1.857778,1.955556,-4.888889,6.000167
0.050000,2.890284,1.869836,0.907806,1.943333,1.711111,-4.888889,5.953222
0.050000,2.983068,1.835340,1.006806,2.016667,1.466667,-4.888889,5.900620
0.050000,3.076874,1.794411,1.109167,2.077778,1.222222,-4.888889,5.842252
0.050000,3.170448,1.746572,1.214278,2.126667,0.977778,-4.888889,5.778256
0.050000,3.262463,1.691516,1.321528,2.163333,0.733333,-4.888889,5.709111
0.050000,3.351568,1.629166,1.430306,2.187778,0.488889,-4.888889,5.635705
0.050000,3.436462,1.559739,1.540000,2.200000,0.244444,-4.888889,5.559348
0.050000,3.515974,1.483767,1.650000,2.200000,0.000000,-4.888889,5.481685
0.050000,3.589266,1.401963,1.759862,2.194495,-0.110109,-2.202171,5.404408
0.050000,3.655752,1.315265,1.869144,2.176767,-0.354553,-4.888889,5.329161
0.050000,3.715034,1.224911,1.977234,2.146817,-0.598997,-4.888889,5.257462
0.050000,3.767027,1.132232,2.083520,2.104645,-0.843442,-4.888889,5.190447
0.050000,3.811912,1.038576,2.187392,2.050251,-1.087886,-4.888889,5.128827
0.050000,3.850076,0.945244,2.288240,1.983634,-1.332331,-4.888889,5.072926
0.050000,3.882047,0.853452,2.385450,1.904795,-1.576775,-4.888889,5.022767
0.050000,3.908432,0.764319,2.478414,1.813734,-1.821220,-4.888889,4.978168
0.050000,3.929876,0.678870,2.566518,1.710451,-2.065664,-4.888889,4.938826
0.050000,3.947049,0.597903,2.649291,1.600451,-2.200000,-2.686718,4.904331
0.050000,3.960631,0.521836,2.726563,1.490451,-2.200000,0.000000,4.874161
0.050000,3.971247,0.450855,2.798336,1.380451,-2.200000,0.000000,4.847793
0.050000,3.979430,0.385092,2.864608,1.270451,-2.200000,0.000000,4.824775
0.050000,3.985635,0.324638,2.925381,1.160451,-2.200000,0.000000,4.804724
0.050000,3.990248,0.269558,2.980654,1.050451,-2.200000,-0.000000,4.787318
0.050000,3.993598,0.219899,3.030426,0.940451,-2.200000,0.000000,4.772285
0.050000,3.995962,0.175690,3.074699,0.830451,-2.200000,-0.000000,4.759400
0.050000,3.997572,0.136951,3.113471,0.720451,-2.200000,0.000000,4.748476
0.050000,3.998620,0.103695,3.146744,0.610451,-2.200000,0.000000,4.739360
0.050000,3.999265,0.075930,3.174516,0.500451,-2.200000,-0.000000,4.731927
0.050000,3.999637,0.053523,3.196926,0.395957,-2.089891,2.202171,4.726044
0.050000,3.999836,0.036033,3.214418,0.303684,-1.845447,4.888889,4.721521
0.050000,3.999934,0.022851,3.227600,0.223634,-1.601003,4.888889,4.718151
0.050000,3.999978,0.013365,3.237086,0.155806,-1.356558,4.888889,4.715747
0.050000,3.999994,0.006965,3.243487,0.100201,-1.112114,4.888889,4.714135
0.050000,3.999999,0.003039,3.247412,0.056817,-0.867669,4.888889,4.713150
0.050000,4.000000,0.000978,3.249474,0.025656,-0.623225,4.888889,4.712633
0.050000,4.000000,0.000168,3.250283,0.006717,-0.378780,4.888889,4.712431
0.050000,4.000000,-0.000000,3.250451,0.000000,-0.134336,4.888889,4.712389
0.050000,4.000000,-0.000000,3.250451,0.000000,0.000000,2.686718,4.712389
