dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.000346,1.625000,0.000306,0.012222,0.244444,4.888889,0.000923
0.050000,2.000232,1.625000,0.000420,0.002288,-0.198682,-8.862523,0.000618
0.050000,2.000252,1.625000,0.000440,0.000404,-0.037674,3.220164,6.283116
0.050000,2.004682,1.624997,0.004870,0.088597,1.763861,36.030685,6.281891
0.050000,2.011600,1.624981,0.011788,0.138356,0.995175,-15.373708,6.279968
0.050000,2.021554,1.624935,0.021742,0.199084,1.214559,4.387679,6.277180
0.050000,2.035089,1.624828,0.035277,0.270708,1.432469,4.358189,6.273348
0.050000,2.052741,1.624610,0.052931,0.353076,1.647369,4.297997,6.268277
0.050000,2.075039,1.624205,0.075233,0.446035,1.859172,4.236069,6.261749
0.050000,2.102225,1.623512,0.102428,0.543895,1.957199,1.960533,6.253601
0.050000,2.134251,1.622407,0.134473,0.640909,1.940285,-0.338270,6.243723
0.050000,2.171060,1.620738,0.171319,0.736926,1.920333,-0.399045,6.231980
0.050000,2.212573,1.618326,0.212903,0.831668,1.894848,-0.509702,6.218204
0.050000,2.258695,1.614956,0.259148,0.924901,1.864665,-0.603651,6.202192
0.050000,2.309304,1.610381,0.309963,1.016304,1.828052,-0.732274,6.183700
0.050000,2.364245,1.604312,0.365238,1.105504,1.784013,-0.880771,6.162437
0.050000,2.423325,1.596419,0.424843,1.192101,1.731933,-1.041607,6.138054
0.050000,2.486302,1.586326,0.488623,1.275602,1.670011,-1.238427,6.110141
0.050000,2.552872,1.573606,0.556398,1.355489,1.597751,-1.445209,6.078214
0.050000,2.622660,1.557782,0.627958,1.431200,1.514215,-1.670717,6.041717
0.050000,2.694964,1.538397,0.702816,1.497153,1.319057,-3.903161,6.000167
0.050000,2.768781,1.515065,0.780232,1.548322,1.023385,-5.913432,5.953222
0.050000,2.843080,1.487449,0.859497,1.585300,0.739554,-5.676631,5.900620
0.050000,2.916830,1.455278,0.939959,1.609238,0.478766,-5.215760,5.842252
0.050000,2.989043,1.418369,1.021057,1.621973,0.254702,-4.481279,5.778256
0.050000,3.058816,1.376630,1.102361,1.626085,0.082240,-3.449233,5.709111
0.050000,3.125376,1.330064,1.183594,1.624646,-0.028776,-2.220331,5.635705
0.050000,3.188112,1.278763,1.264635,1.620816,-0.076615,-0.956771,5.559348
0.050000,3.246573,1.222906,1.345491,1.617122,-0.073881,0.054686,5.481685
0.050000,3.300532,1.162678,1.426354,1.617263,0.002824,1.534087,5.404408
0.050000,3.349846,1.098364,1.507398,1.620893,0.072597,1.395472,5.329161
0.050000,3.394375,1.030481,1.588583,1.623700,0.056143,-0.329084,5.257462
0.050000,3.434068,0.959711,1.669724,1.622815,-0.017701,-1.476886,5.190447
0.050000,3.468961,0.886887,1.750476,1.615040,-0.155499,-2.755951,5.128827
0.050000,3.499186,0.812953,1.830350,1.597478,-0.351244,-3.914903,5.072926
0.050000,3.524965,0.738920,1.908743,1.567860,-0.592360,-4.822318,5.022767
0.050000,3.546599,0.665821,1.984975,1.524647,-0.864259,-5.437976,4.978168
0.050000,3.564449,0.594680,2.058322,1.466931,-1.154305,-5.800926,4.938826
0.050000,3.578935,0.526366,2.128155,1.396666,-1.405309,-5.020091,4.904331
0.050000,3.590527,0.461436,2.194111,1.319126,-1.550789,-2.909599,4.874161
0.050000,3.599679,0.400234,2.255994,1.237655,-1.629435,-1.572923,4.847793
0.050000,3.606796,0.343036,2.313634,1.152786,-1.697366,-1.358616,4.824775
0.050000,3.612232,0.290061,2.366886,1.065056,-1.754609,-1.144855,4.804724
0.050000,3.616300,0.241486,2.415631,0.974893,-1.803253,-0.972887,4.787318
0.050000,3.619271,0.197452,2.459766,0.882693,-1.843997,-0.814864,4.772285
0.050000,3.621377,0.158067,2.499206,0.788814,-1.877582,-0.671710,4.759400
0.050000,3.622816,0.123421,2.533882,0.693516,-1.905976,-0.567872,4.748476
0.050000,3.623756,0.093583,2.563736,0.597075,-1.928813,-0.456738,4.739360
0.050000,3.624337,0.068604,2.588721,0.499707,-1.947363,-0.371006,4.731927
0.050000,3.624672,0.048403,2.608925,0.404072,-1.912693,0.693392,4.726044
0.050000,3.624852,0.032609,2.624720,0.315905,-1.763345,2.986975,4.721521
0.050000,3.624941,0.020690,2.636639,0.238381,-1.550467,4.257543,4.718151
0.050000,3.624980,0.012106,2.645224,0.171689,-1.333851,4.332336,4.715747
0.050000,3.624994,0.006310,2.651019,0.115912,-1.115533,4.366356,4.714135
0.050000,3.624999,0.002754,2.654575,0.071121,-0.895822,4.394211,4.713150
0.050000,3.625000,0.000886,2.656443,0.037365,-0.675132,4.413805,4.712633
0.050000,3.625000,0.000152,2.657177,0.014673,-0.453824,4.426170,4.712431
0.050000,3.625000,-0.000000,2.657329,0.003045,-0.232569,4.425098,4.712389
0.050000,3.625000,-0.000000,2.657329,0.000000,-0.060900,3.433378,4.712389
