dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.001086,2.000000,0.003086,0.123423,2.468461,49.369229,0.000000
0.050000,3.010342,2.000000,0.012342,0.246846,2.468461,0.000000,0.000000
0.050000,3.025770,2.000000,0.027770,0.370269,2.468461,0.000000,0.000000
0.050000,3.047369,2.000000,0.049369,0.493692,2.468461,0.000000,0.000000
0.050000,3.075139,2.000000,0.077139,0.617115,2.468461,0.000000,0.000000
0.050000,3.109081,2.000000,0.111081,0.740538,2.468461,-0.000000,0.000000
0.050000,3.149193,2.000000,0.151193,0.863962,2.468461,0.000000,0.000000
0.050000,3.195477,2.000000,0.197477,0.987385,2.468461,-0.000000,0.000000
0.050000,3.247932,2.000000,0.249932,1.110808,2.468461,0.000000,0.000000
0.050000,3.306558,2.000000,0.308558,1.234231,2.468461,0.000000,0.000000
0.050000,3.371355,2.000000,0.373355,1.357654,2.468461,0.000000,0.000000
0.050000,3.442323,2.000000,0.444323,1.481077,2.468461,-0.000000,0.000000
0.050000,3.519462,2.000000,0.521462,1.604500,2.468461,0.000000,0.000000
0.050000,3.602773,2.000000,0.604773,1.727923,2.468461,0.000000,0.000000
0.050000,3.692255,2.000000,0.694255,1.851346,2.468461,0.000000,0.000000
0.050000,3.787908,2.000000,0.789908,1.974769,2.468461,-0.000000,0.000000
0.050000,3.889732,2.000000,0.891732,2.098192,2.468461,0.000000,0.000000
0.050000,3.997727,2.000000,0.999727,2.221615,2.468461,-0.000000,0.000000
0.050000,4.105793,2.000000,1.107793,2.101021,-2.411878,-97.606798,0.000000
0.050000,4.207758,2.000000,1.209758,1.977598,-2.468461,-1.131660,0.000000
0.050000,4.303553,2.000000,1.305553,1.854175,-2.468461,0.000000,0.000000
0.050000,4.393176,2.000000,1.395176,1.730752,-2.468461,0.000000,0.000000
0.050000,4.476628,2.000000,1.478628,1.607329,-2.468461,0.000000,0.000000
0.050000,4.553909,2.000000,1.555909,1.483906,-2.468461,-0.000000,0.000000
0.050000,4.625018,2.000000,1.627018,1.360483,-2.468461,0.000000,0.000000
0.050000,4.689957,2.000000,1.691957,1.237060,-2.468461,0.000000,0.000000
0.050000,4.748724,2.000000,1.750724,1.113637,-2.468461,-0.000000,0.000000
0.050000,4.801321,2.000000,1.803321,0.990214,-2.468461,0.000000,0.000000
0.050000,4.847746,2.000000,1.849746,0.866791,-2.468461,0.000000,0.000000
0.050000,4.888000,2.000000,1.890000,0.743368,-2.468461,0.000000,0.000000
0.050000,4.922083,2.000000,1.924083,0.619945,-2.468461,0.000000,0.000000
0.050000,4.949994,2.000000,1.951994,0.496521,-2.468461,0.000000,0.000000
0.050000,4.971735,2.000000,1.973735,0.373098,-2.468461,-0.000000,0.000000
0.050000,4.987304,2.000000,1.989304,0.249675,-2.468461,0.000000,0.000000
0.050000,4.996702,2.000000,1.998702,0.126252,-2.468461,-0.000000,0.000000
0.050000,4.999929,2.000000,2.001929,0.002829,-2.468461,0.000000,0.000000
0.050000,5.000000,2.000000,2.002000,0.000000,-0.056583,48.237569,0.000000
0.050000,5.000000,2.000000,2.002000,0.000000,0.000000,1.131660,0.000000
