dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,3.000000,0.000058,0.002303,0.046063,0.921260,0.000000
0.050000,0.000000,3.000000,0.000288,0.006909,0.092126,0.921260,0.000000
0.050000,0.000000,3.000000,0.000806,0.013819,0.138189,0.921260,0.000000
0.050000,0.000000,3.000000,0.001727,0.023032,0.184252,0.921260,0.000000
0.050000,0.001167,3.000000,0.003167,0.034547,0.230315,0.921260,0.000000
0.050000,0.003240,3.000000,0.005240,0.048366,0.276378,0.921260,0.000000
0.050000,0.006061,3.000000,0.008061,0.064488,0.322441,0.921260,0.000000
0.050000,0.009746,3.000000,0.011746,0.082913,0.368504,0.921260,0.000000
0.050000,0.014410,3.000000,0.016410,0.103642,0.414567,0.921260,0.000000
0.050000,0.020110,3.000000,0.022110,0.124370,0.414567,0.000000,0.000000
0.050000,0.026847,3.000000,0.028847,0.145098,0.414567,0.000000,0.000000
0.050000,0.034620,3.000000,0.036620,0.165827,0.414567,0.000000,0.000000
0.050000,0.043430,3.000000,0.045430,0.186555,0.414567,-0.000000,0.000000
0.050000,0.053276,3.000000,0.055276,0.207284,0.414567,0.000000,0.000000
0.050000,0.064158,3.000000,0.066158,0.228012,0.414567,0.000000,0.000000
0.050000,0.076077,3.000000,0.078077,0.248740,0.414567,-0.000000,0.000000
0.050000,0.089032,3.000000,0.091032,0.269469,0.414567,0.000000,0.000000
0.050000,0.103024,3.000000,0.105024,0.290197,0.414567,-0.000000,0.000000
0.050000,0.118052,3.000000,0.120052,0.310925,0.414567,0.000000,0.000000
0.050000,0.134116,3.000000,0.136116,0.331654,0.414567,0.000000,0.000000
0.050000,0.151217,3.000000,0.153217,0.352382,0.414567,-0.000000,0.000000
0.050000,0.169354,3.000000,0.171354,0.373110,0.414567,0.000000,0.000000
0.050000,0.188528,3.000000,0.190528,0.393839,0.414567,-0.000000,0.000000
0.050000,0.208738,3.000000,0.210738,0.414567,0.414567,0.000000,0.000000
0.050000,0.229985,3.000000,0.231985,0.435295,0.414567,0.000000,0.000000
0.050000,0.252268,3.000000,0.254268,0.456024,0.414567,-0.000000,0.000000
0.050000,0.275587,3.000000,0.277587,0.476752,0.414567,-0.000000,0.000000
0.050000,0.299943,3.000000,0.301943,0.497480,0.414567,0.000000,0.000000
0.050000,0.325335,3.000000,0.327335,0.518209,0.414567,0.000000,0.000000
0.050000,0.351764,3.000000,0.353764,0.538937,0.414567,0.000000,0.000000
0.050000,0.379229,3.000000,0.381229,0.559666,0.414567,0.000000,0.000000
0.050000,0.407730,3.000000,0.409730,0.580394,0.414567,-0.000000,0.000000
0.050000,0.437268,3.000000,0.439268,0.601122,0.414567,0.000000,0.000000
0.050000,0.467843,3.000000,0.469843,0.621851,0.414567,0.000000,0.000000
0.050000,0.499453,3.000000,0.501453,0.642579,0.414567,0.000000,0.000000
0.050000,0.532101,3.000000,0.534101,0.663307,0.414567,0.000000,0.000000
0.050000,0.565784,3.000000,0.567784,0.684036,0.414567,-0.000000,0.000000
0.050000,0.600504,3.000000,0.602504,0.704764,0.414567,0.000000,0.000000
0.050000,0.636261,3.000000,0.638261,0.725492,0.414567,0.000000,0.000000
0.050000,0.673053,3.000000,0.675053,0.746221,0.414567,0.000000,0.000000
0.050000,0.710825,3.000000,0.712825,0.764646,0.368504,-0.921260,0.000000
0.050000,0.749460,3.000000,0.751460,0.780768,0.322441,-0.921260,0.000000
0.050000,0.788844,3.000000,0.790844,0.794587,0.276378,-0.921260,0.000000
0.050000,0.828862,3.000000,0.830862,0.806103,0.230315,-0.921260,0.000000
0.050000,0.869397,3.000000,0.871397,0.815315,0.184252,-0.921260,0.000000
0.050000,0.910335,3.000000,0.912335,0.822225,0.138189,-0.921260,0.000000
0.050000,0.951562,3.000000,0.953562,0.826831,0.092126,-0.921260,0.000000
0.050000,0.992961,3.000000,0.994961,0.829134,0.046063,-0.921260,0.000000
0.050000,1.034377,3.000000,1.036377,0.827502,-0.032643,-1.574119,0.000000
0.050000,1.075654,3.000000,1.077654,0.823567,-0.078706,-0.921260,0.000000
0.050000,1.116676,3.000000,1.118676,0.817328,-0.124769,-0.921260,0.000000
0.050000,1.157329,3.000000,1.159329,0.808787,-0.170832,-0.921260,0.000000
0.050000,1.197497,3.000000,1.199497,0.797942,-0.216895,-0.921260,0.000000
0.050000,1.237065,3.000000,1.239065,0.784794,-0.262958,-0.921260,0.000000
0.050000,1.275919,3.000000,1.277919,0.769343,-0.309021,-0.921260,0.000000
0.050000,1.313942,3.000000,1.315942,0.751589,-0.355084,-0.921260,0.000000
0.050000,1.351020,3.000000,1.353020,0.731531,-0.401147,-0.921260,0.000000
0.050000,1.387079,3.000000,1.389079,0.710803,-0.414567,-0.268401,0.000000
0.050000,1.422100,3.000000,1.424100,0.690075,-0.414567,0.000000,0.000000
0.050000,1.456086,3.000000,1.458086,0.669346,-0.414567,-0.000000,0.000000
0.050000,1.489035,3.000000,1.491035,0.648618,-0.414567,0.000000,0.000000
0.050000,1.520948,3.000000,1.522948,0.627890,-0.414567,-0.000000,0.000000
0.050000,1.551824,3.000000,1.553824,0.607161,-0.414567,0.000000,0.000000
