dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.900000,3.375000,0.000061,0.002442,0.048848,0.976968,0.000000
0.050000,0.900000,3.375000,0.000061,0.000000,-0.048848,-1.953937,0.000000
0.050000,0.900000,3.375000,0.000061,0.000000,0.000000,0.976968,0.000000
0.050000,0.900232,3.375000,0.000293,0.004636,0.092726,1.854524,0.000000
0.050000,0.901758,3.375000,0.001819,0.030530,0.517879,8.503055,0.000000
0.050000,0.903957,3.375000,0.004018,0.043964,0.268666,-4.984254,0.000000
0.050000,0.906948,3.375000,0.007010,0.059839,0.317515,0.976968,0.000000
0.050000,0.910795,3.375000,0.010856,0.076936,0.341939,0.488484,0.000000
0.050000,0.915497,3.375000,0.015558,0.094033,0.341939,-0.000000,0.000000
0.050000,0.921053,3.375000,0.021115,0.111130,0.341939,0.000000,0.000000
0.050000,0.927465,3.375000,0.027526,0.128227,0.341939,0.000000,0.000000
0.050000,0.934731,3.375000,0.034792,0.145324,0.341939,0.000000,0.000000
0.050000,0.942852,3.375000,0.042913,0.162421,0.341939,-0.000000,0.000000
0.050000,0.951828,3.375000,0.051889,0.179518,0.341939,0.000000,0.000000
0.050000,0.961659,3.375000,0.061720,0.196615,0.341939,0.000000,0.000000
0.050000,0.972344,3.375000,0.072405,0.213712,0.341939,-0.000000,0.000000
0.050000,0.983885,3.375000,0.083946,0.230809,0.341939,0.000000,0.000000
0.050000,0.996280,3.375000,0.096341,0.247906,0.341939,0.000000,0.000000
0.050000,1.009530,3.375000,0.109591,0.265003,0.341939,-0.000000,0.000000
0.050000,1.023635,3.375000,0.123696,0.282100,0.341939,0.000000,0.000000
0.050000,1.038595,3.375000,0.138656,0.299197,0.341939,-0.000000,0.000000
0.050000,1.054410,3.375000,0.154471,0.316293,0.341939,0.000000,0.000000
0.050000,1.071079,3.375000,0.171140,0.333390,0.341939,-0.000000,0.000000
0.050000,1.088604,3.375000,0.188665,0.350487,0.341939,0.000000,0.000000
0.050000,1.106983,3.375000,0.207044,0.367584,0.341939,0.000000,0.000000
0.050000,1.126217,3.375000,0.226278,0.384681,0.341939,-0.000000,0.000000
0.050000,1.146306,3.375000,0.246367,0.401778,0.341939,0.000000,0.000000
0.050000,1.167249,3.375000,0.267311,0.418875,0.341939,0.000000,0.000000
0.050000,1.189048,3.375000,0.289109,0.435972,0.341939,-0.000000,0.000000
0.050000,1.211702,3.375000,0.311763,0.453069,0.341939,0.000000,0.000000
0.050000,1.235210,3.375000,0.335271,0.470166,0.341939,0.000000,0.000000
0.050000,1.259573,3.375000,0.359634,0.487263,0.341939,-0.000000,0.000000
0.050000,1.284791,3.375000,0.384852,0.504360,0.341939,0.000000,0.000000
0.050000,1.310864,3.375000,0.410925,0.521457,0.341939,0.000000,0.000000
0.050000,1.337791,3.375000,0.437853,0.538554,0.341939,-0.000000,0.000000
0.050000,1.365574,3.375000,0.465635,0.555651,0.341939,0.000000,0.000000
0.050000,1.394211,3.375000,0.494272,0.572748,0.341939,-0.000000,0.000000
0.050000,1.423704,3.375000,0.523765,0.589845,0.341939,0.000000,0.000000
0.050000,1.454051,3.375000,0.554112,0.606942,0.341939,-0.000000,0.000000
0.050000,1.485253,3.375000,0.585314,0.624038,0.341939,0.000000,0.000000
0.050000,1.517248,3.375000,0.617309,0.639914,0.317515,-0.488484,0.000000
0.050000,1.549916,3.375000,0.649977,0.653348,0.268666,-0.976968,0.000000
0.050000,1.583133,3.375000,0.683194,0.664338,0.219818,-0.976968,0.000000
0.050000,1.616777,3.375000,0.716838,0.672887,0.170969,-0.976968,0.000000
0.050000,1.650727,3.375000,0.750788,0.678993,0.122121,-0.976968,0.000000
0.050000,1.684859,3.375000,0.784921,0.682657,0.073273,-0.976968,0.000000
0.050000,1.719044,3.375000,0.819105,0.683681,0.020486,-1.055723,0.000000
0.050000,1.753147,3.375000,0.853208,0.682066,-0.032300,-1.055723,0.000000
0.050000,1.787047,3.375000,0.887108,0.678009,-0.081148,-0.976968,0.000000
0.050000,1.820623,3.375000,0.920684,0.671509,-0.129996,-0.976968,0.000000
0.050000,1.853751,3.375000,0.953812,0.662566,-0.178845,-0.976968,0.000000
0.050000,1.886310,3.375000,0.986371,0.651182,-0.227693,-0.976968,0.000000
0.050000,1.918178,3.375000,1.018239,0.637355,-0.276542,-0.976968,0.000000
0.050000,1.949242,3.375000,1.049303,0.621282,-0.321452,-0.898214,0.000000
0.050000,1.979451,3.375000,1.079512,0.604185,-0.341939,-0.409730,0.000000
0.050000,2.008806,3.375000,1.108867,0.587088,-0.341939,0.000000,0.000000
0.050000,2.037305,3.375000,1.137366,0.569991,-0.341939,0.000000,0.000000
0.050000,2.064950,3.375000,1.165011,0.552894,-0.341939,0.000000,0.000000
0.050000,2.091740,3.375000,1.191801,0.535797,-0.341939,-0.000000,0.000000
0.050000,2.117675,3.375000,1.217736,0.518700,-0.341939,0.000000,0.000000
0.050000,2.142755,3.375000,1.242816,0.501603,-0.341939,0.000000,0.000000
0.050000,2.166980,3.375000,1.267041,0.484507,-0.341939,-0.000000,0.000000
0.050000,2.190351,3.375000,1.290412,0.467410,-0.341939,0.000000,0.000000
0.050000,2.212866,3.375000,1.312927,0.450313,-0.341939,0.000000,0.000000
0.050000,2.234527,3.375000,1.334588,0.433216,-0.341939,-0.000000,0.000000
0.050000,2.255333,3.375000,1.355394,0.416119,-0.341939,0.000000,0.000000
0.050000,2.275284,3.375000,1.375345,0.399022,-0.341939,-0.000000,0.000000
0.050000,2.294380,3.375000,1.394441,0.381925,-0.341939,0.000000,0.000000
0.050000,2.312622,3.375000,1.412683,0.364828,-0.341939,-0.000000,0.000000
0.050000,2.330008,3.375000,1.430069,0.347731,-0.341939,0.000000,0.000000
0.050000,2.346540,3.375000,1.446601,0.330634,-0.341939,0.000000,0.000000
0.050000,2.362217,3.375000,1.462278,0.313537,-0.341939,-0.000000,0.000000
0.050000,2.377039,3.375000,1.477100,0.296440,-0.341939,0.000000,0.000000
0.050000,2.391006,3.375000,1.491067,0.279343,-0.341939,-0.000000,0.000000
0.050000,2.404118,3.375000,1.504179,0.262246,-0.341939,0.000000,0.000000
0.050000,2.416376,3.375000,1.516437,0.245149,-0.341939,0.000000,0.000000
0.050000,2.427778,3.375000,1.527840,0.228052,-0.341939,-0.000000,0.000000
0.050000,2.438326,3.375000,1.538387,0.210955,-0.341939,-0.000000,0.000000
0.050000,2.448019,3.375000,1.548080,0.193858,-0.341939,0.000000,0.000000
0.050000,2.456857,3.375000,1.556918,0.176762,-0.341939,-0.000000,0.000000
0.050000,2.464840,3.375000,1.564902,0.159665,-0.341939,0.000000,0.000000
0.050000,2.471969,3.375000,1.572030,0.142568,-0.341939,0.000000,0.000000
0.050000,2.478242,3.375000,1.578303,0.125471,-0.341939,0.000000,0.000000
0.050000,2.483661,3.375000,1.583722,0.108374,-0.341939,-0.000000,0.000000
0.050000,2.488225,3.375000,1.588286,0.091277,-0.341939,0.000000,0.000000
0.050000,2.491934,3.375000,1.591995,0.074180,-0.341939,-0.000000,0.000000
0.050000,2.494798,3.375000,1.594859,0.057280,-0.338001,0.078754,0.000000
0.050000,2.496888,3.375000,1.596949,0.041798,-0.309639,0.567239,0.000000
0.050000,2.498326,3.375000,1.598387,0.028758,-0.260791,0.976968,0.000000
0.050000,2.499234,3.375000,1.599295,0.018161,-0.211942,0.976968,0.000000
0.050000,2.499734,3.375000,1.599795,0.010006,-0.163094,0.976968,0.000000
0.050000,2.499949,3.375000,1.600010,0.004294,-0.114246,0.976968,0.000000
0.050000,2.500000,3.375000,1.600061,0.001024,-0.065397,0.976968,0.000000
0.050000,2.500000,3.375000,1.600061,0.000000,-0.020486,0.898214,0.000000
