dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.900000,3.000000,0.000061,0.002442,0.048848,0.976968,0.000000
0.050000,0.900000,3.000000,0.000305,0.007327,0.097697,0.976968,0.000000
0.050000,0.900000,3.000000,0.000855,0.014655,0.146545,0.976968,0.000000
0.050000,0.900232,3.000000,0.001832,0.024424,0.195394,0.976968,0.000000
0.050000,0.901758,3.000000,0.003358,0.036636,0.244242,0.976968,0.000000
0.050000,0.903957,3.000000,0.005557,0.051291,0.293090,0.976968,0.000000
0.050000,0.906948,3.000000,0.008548,0.068388,0.341939,0.976968,0.000000
0.050000,0.910795,3.000000,0.012395,0.085485,0.341939,-0.000000,0.000000
0.050000,0.915497,3.000000,0.017097,0.102582,0.341939,0.000000,0.000000
0.050000,0.921053,3.000000,0.022653,0.119679,0.341939,0.000000,0.000000
0.050000,0.927465,3.000000,0.029065,0.136776,0.341939,0.000000,0.000000
0.050000,0.934731,3.000000,0.036331,0.153873,0.341939,0.000000,0.000000
0.050000,0.942852,3.000000,0.044452,0.170969,0.341939,-0.000000,0.000000
0.050000,0.951828,3.000000,0.053428,0.188066,0.341939,0.000000,0.000000
0.050000,0.961659,3.000000,0.063259,0.205163,0.341939,-0.000000,0.000000
0.050000,0.972344,3.000000,0.073944,0.222260,0.341939,0.000000,0.000000
0.050000,0.983885,3.000000,0.085485,0.239357,0.341939,-0.000000,0.000000
0.050000,0.996280,3.000000,0.097880,0.256454,0.341939,0.000000,0.000000
0.050000,1.009530,3.000000,0.111130,0.273551,0.341939,0.000000,0.000000
0.050000,1.023635,3.000000,0.125235,0.290648,0.341939,-0.000000,0.000000
0.050000,1.038595,3.000000,0.140195,0.307745,0.341939,0.000000,0.000000
0.050000,1.054410,3.000000,0.156010,0.324842,0.341939,-0.000000,0.000000
0.050000,1.071079,3.000000,0.172679,0.341939,0.341939,0.000000,0.000000
0.050000,1.088604,3.000000,0.190204,0.359036,0.341939,0.000000,0.000000
0.050000,1.106983,3.000000,0.208583,0.376133,0.341939,0.000000,0.000000
0.050000,1.126217,3.000000,0.227817,0.393230,0.341939,-0.000000,0.000000
0.050000,1.146306,3.000000,0.247906,0.410327,0.341939,0.000000,0.000000
0.050000,1.167249,3.000000,0.268849,0.427424,0.341939,0.000000,0.000000
0.050000,1.189048,3.000000,0.290648,0.444521,0.341939,0.000000,0.000000
0.050000,1.211702,3.000000,0.313302,0.461618,0.341939,0.000000,0.000000
0.050000,1.235210,3.000000,0.336810,0.478714,0.341939,-0.000000,0.000000
0.050000,1.259573,3.000000,0.361173,0.495811,0.341939,0.000000,0.000000
0.050000,1.284791,3.000000,0.386391,0.512908,0.341939,0.000000,0.000000
0.050000,1.310864,3.000000,0.412464,0.530005,0.341939,0.000000,0.000000
0.050000,1.337791,3.000000,0.439391,0.547102,0.341939,0.000000,0.000000
0.050000,1.365574,3.000000,0.467174,0.564199,0.341939,-0.000000,0.000000
0.050000,1.394211,3.000000,0.495811,0.581296,0.341939,0.000000,0.000000
0.050000,1.423704,3.000000,0.525304,0.598393,0.341939,0.000000,0.000000
0.050000,1.454051,3.000000,0.555651,0.615490,0.341939,-0.000000,0.000000
0.050000,1.485253,3.000000,0.586853,0.632587,0.341939,0.000000,0.000000
0.050000,1.517248,3.000000,0.618848,0.647241,0.293090,-0.976968,0.000000
0.050000,1.549916,3.000000,0.651516,0.659454,0.244242,-0.976968,0.000000
0.050000,1.583133,3.000000,0.684733,0.669223,0.195394,-0.976968,0.000000
0.050000,1.616777,3.000000,0.718377,0.676551,0.146545,-0.976968,0.000000
0.050000,1.650727,3.000000,0.752327,0.681435,0.097697,-0.976968,0.000000
0.050000,1.684859,3.000000,0.786459,0.683878,0.048848,-0.976968,0.000000
0.050000,1.719044,3.000000,0.820644,0.683484,-0.007875,-1.134477,0.000000
0.050000,1.753147,3.000000,0.854747,0.680648,-0.056724,-0.976968,0.000000
0.050000,1.787047,3.000000,0.888647,0.675369,-0.105572,-0.976968,0.000000
0.050000,1.820623,3.000000,0.922223,0.667648,-0.154421,-0.976968,0.000000
0.050000,1.853751,3.000000,0.955351,0.657485,-0.203269,-0.976968,0.000000
0.050000,1.886310,3.000000,0.987910,0.644879,-0.252118,-0.976968,0.000000
0.050000,1.918178,3.000000,1.019778,0.629831,-0.300966,-0.976968,0.000000
0.050000,1.949242,3.000000,1.050842,0.612734,-0.341939,-0.819459,0.000000
0.050000,1.979451,3.000000,1.081051,0.595637,-0.341939,0.000000,0.000000
0.050000,2.008806,3.000000,1.110406,0.578540,-0.341939,0.000000,0.000000
0.050000,2.037305,3.000000,1.138905,0.561443,-0.341939,0.000000,0.000000
0.050000,2.064950,3.000000,1.166550,0.544346,-0.341939,0.000000,0.000000
0.050000,2.091740,3.000000,1.193340,0.527249,-0.341939,0.000000,0.000000
0.050000,2.117675,3.000000,1.219275,0.510152,-0.341939,0.000000,0.000000
0.050000,2.142755,3.000000,1.244355,0.493055,-0.341939,-0.000000,0.000000
0.050000,2.166980,3.000000,1.268580,0.475958,-0.341939,0.000000,0.000000
0.050000,2.190351,3.000000,1.291951,0.458861,-0.341939,0.000000,0.000000
0.050000,2.212866,3.000000,1.314466,0.441764,-0.341939,-0.000000,0.000000
0.050000,2.234527,3.000000,1.336127,0.424667,-0.341939,0.000000,0.000000
0.050000,2.255333,3.000000,1.356933,0.407570,-0.341939,-0.000000,0.000000
0.050000,2.275284,3.000000,1.376884,0.390473,-0.341939,0.000000,0.000000
0.050000,2.294380,3.000000,1.395980,0.373376,-0.341939,0.000000,0.000000
0.050000,2.312622,3.000000,1.414222,0.356279,-0.341939,-0.000000,0.000000
0.050000,2.330008,3.000000,1.431608,0.339182,-0.341939,0.000000,0.000000
0.050000,2.346540,3.000000,1.448140,0.322086,-0.341939,0.000000,0.000000
0.050000,2.362217,3.000000,1.463817,0.304989,-0.341939,-0.000000,0.000000
0.050000,2.377039,3.000000,1.478639,0.287892,-0.341939,0.000000,0.000000
0.050000,2.391006,3.000000,1.492606,0.270795,-0.341939,0.000000,0.000000
0.050000,2.404118,3.000000,1.505718,0.253698,-0.341939,0.000000,0.000000
0.050000,2.416376,3.000000,1.517976,0.236601,-0.341939,0.000000,0.000000
0.050000,2.427778,3.000000,1.529378,0.219504,-0.341939,-0.000000,0.000000
0.050000,2.438326,3.000000,1.539926,0.202407,-0.341939,0.000000,0.000000
0.050000,2.448019,3.000000,1.549619,0.185310,-0.341939,0.000000,0.000000
0.050000,2.456857,3.000000,1.558457,0.168213,-0.341939,-0.000000,0.000000
0.050000,2.464840,3.000000,1.566440,0.151116,-0.341939,0.000000,0.000000
0.050000,2.471969,3.000000,1.573569,0.134019,-0.341939,-0.000000,0.000000
0.050000,2.478242,3.000000,1.579842,0.116922,-0.341939,0.000000,0.000000
0.050000,2.483661,3.000000,1.585261,0.099825,-0.341939,-0.000000,0.000000
0.050000,2.488225,3.000000,1.589825,0.082728,-0.341939,-0.000000,0.000000
0.050000,2.491934,3.000000,1.593534,0.065631,-0.341939,0.000000,0.000000
0.050000,2.494798,3.000000,1.596398,0.048928,-0.334063,0.157509,0.000000
0.050000,2.496888,3.000000,1.598488,0.034667,-0.285215,0.976968,0.000000
0.050000,2.498326,3.000000,1.599926,0.022849,-0.236367,0.976968,0.000000
0.050000,2.499234,3.000000,1.600834,0.013473,-0.187518,0.976968,0.000000
