dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.499172,3.374999,0.000059,0.002368,0.047366,0.947328,0.002209
0.050000,2.499212,3.374999,0.000100,0.000817,-0.031027,-1.567861,0.002100
0.050000,2.499304,3.374999,0.000192,0.001839,0.020431,1.029154,0.001855
0.050000,2.499468,3.375000,0.000355,0.003270,0.028621,0.163802,0.001419
0.050000,2.499723,3.375000,0.000611,0.005112,0.036838,0.164345,0.000738
0.050000,2.500623,3.375000,0.001511,0.017993,0.257631,4.415845,6.282940
0.050000,2.504027,3.374997,0.004915,0.068081,1.001769,14.882763,6.281601
0.050000,2.508475,3.374986,0.009362,0.088949,0.417342,-11.688534,6.279846
0.050000,2.514106,3.374961,0.014994,0.112630,0.473620,1.125562,6.277618
0.050000,2.521063,3.374912,0.021951,0.139137,0.530147,1.130542,6.274855
0.050000,2.529487,3.374828,0.030375,0.168493,0.587117,1.139388,6.271493
0.050000,2.539521,3.374691,0.040411,0.200710,0.644335,1.144360,6.267466
0.050000,2.551312,3.374477,0.052203,0.235846,0.702737,1.168040,6.262703
0.050000,2.565004,3.374159,0.065899,0.273912,0.761319,1.171650,6.257129
0.050000,2.580742,3.373698,0.081644,0.314904,0.819832,1.170264,6.250666
0.050000,2.598607,3.373050,0.099521,0.357536,0.852631,0.655978,6.243257
0.050000,2.618607,3.372167,0.119540,0.400381,0.856913,0.085638,6.234869
0.050000,2.640752,3.370992,0.141716,0.443531,0.862996,0.121648,6.225466
0.050000,2.665053,3.369461,0.166065,0.486975,0.868878,0.117644,6.215008
0.050000,2.691516,3.367501,0.192601,0.530714,0.874790,0.118245,6.203454
0.050000,2.720150,3.365030,0.221341,0.574816,0.882027,0.144742,6.190756
0.050000,2.750962,3.361959,0.252306,0.619291,0.889500,0.149458,6.176864
0.050000,2.783954,3.358186,0.285513,0.664145,0.897095,0.151909,6.161728
0.050000,2.819126,3.353600,0.320983,0.709392,0.904931,0.156703,6.145296
0.050000,2.856473,3.348079,0.358735,0.755050,0.913159,0.164574,6.127513
0.050000,2.895981,3.341491,0.398788,0.801062,0.920244,0.141686,6.108328
0.050000,2.937631,3.333690,0.441163,0.847486,0.928470,0.164528,6.087694
0.050000,2.981390,3.324522,0.485872,0.894195,0.934188,0.114367,6.065567
0.050000,3.027215,3.313821,0.532930,0.941149,0.939084,0.097911,6.041914
0.050000,3.075046,3.301412,0.582345,0.988300,0.943019,0.078700,6.016712
0.050000,3.124805,3.287113,0.634117,1.035446,0.942923,-0.001915,5.989958
0.050000,3.176394,3.270738,0.688243,1.082520,0.941482,-0.028820,5.961666
0.050000,3.229693,3.252100,0.744707,1.129272,0.935038,-0.128888,5.931875
0.050000,3.284556,3.231016,0.803482,1.175497,0.924487,-0.211023,5.900657
0.050000,3.340813,3.207311,0.864529,1.220943,0.908930,-0.311135,5.868114
0.050000,3.398270,3.180825,0.927797,1.265358,0.888288,-0.412837,5.834386
0.050000,3.456710,3.151419,0.993218,1.308425,0.861349,-0.538774,5.799651
0.050000,3.515899,3.118982,1.060713,1.349894,0.829375,-0.639482,5.764124
0.050000,3.575590,3.083432,1.130187,1.389487,0.791873,-0.750034,5.728052
0.050000,3.635530,3.044727,1.201537,1.427009,0.750435,-0.828778,5.691715
0.050000,3.695412,3.002902,1.274580,1.460850,0.676810,-1.472488,5.655443
0.050000,3.754892,2.958082,1.349057,1.489531,0.573631,-2.063576,5.619611
0.050000,3.813663,2.910437,1.424714,1.513155,0.472465,-2.023318,5.584577
0.050000,3.871465,2.860179,1.501310,1.531921,0.375321,-1.942896,5.550672
0.050000,3.928086,2.807547,1.578616,1.546105,0.283694,-1.832531,5.518192
0.050000,3.983366,2.752800,1.656417,1.556036,0.198618,-1.701527,5.487389
0.050000,4.037194,2.696207,1.734521,1.562064,0.120553,-1.561304,5.458467
0.050000,4.089505,2.638043,1.812748,1.564541,0.049535,-1.420352,5.431585
0.050000,4.140273,2.578577,1.890937,1.563795,-0.014910,-1.288899,5.406855
0.050000,4.189506,2.518071,1.968943,1.560115,-0.073595,-1.173701,5.384354
0.050000,4.237240,2.456777,2.046631,1.553759,-0.127132,-1.070733,5.364122
0.050000,4.283530,2.394937,2.123877,1.544925,-0.176679,-0.990954,5.346174
0.050000,4.328449,2.332781,2.200566,1.533769,-0.223122,-0.928860,5.330503
0.050000,4.372075,2.270524,2.276587,1.520419,-0.267000,-0.877561,5.317087
0.050000,4.414469,2.208415,2.351785,1.503967,-0.329022,-1.240441,5.305898
0.050000,4.455694,2.146689,2.426011,1.484516,-0.389037,-1.200300,5.296895
0.050000,4.495840,2.085534,2.499166,1.463106,-0.428184,-0.782928,5.290024
0.050000,4.534994,2.025125,2.571154,1.439757,-0.466997,-0.776270,5.285228
0.050000,4.573235,1.965632,2.641878,1.414476,-0.505613,-0.772306,5.282448
0.050000,4.610636,1.907215,2.711241,1.387274,-0.544046,-0.768660,5.281625
0.050000,4.647259,1.850030,2.779149,1.358157,-0.582339,-0.765865,5.282697
0.050000,4.683157,1.794221,2.845506,1.327138,-0.620381,-0.760840,5.285603
0.050000,4.718371,1.739930,2.910218,1.294237,-0.658013,-0.752648,5.290279
0.050000,4.752931,1.687286,2.973192,1.259485,-0.695041,-0.740558,5.296654
0.050000,4.786855,1.636413,3.034338,1.222924,-0.731208,-0.723347,5.304654
0.050000,4.820146,1.587424,3.093569,1.184612,-0.766256,-0.700957,5.314197
0.050000,4.852799,1.540422,3.150800,1.144617,-0.799891,-0.672702,5.325192
0.050000,4.884791,1.495498,3.205951,1.103026,-0.831815,-0.638474,5.337535
0.050000,4.916090,1.452731,3.258948,1.059931,-0.861900,-0.601689,5.351112
0.050000,4.946677,1.412154,3.309762,1.016287,-0.872896,-0.219935,5.365804
0.050000,4.976555,1.373746,3.358423,0.973214,-0.861451,0.228915,5.381503
0.050000,5.005726,1.337471,3.404971,0.930967,-0.844938,0.330253,5.398098
0.050000,5.034185,1.303289,3.449450,0.889574,-0.827857,0.341614,5.415475
0.050000,5.061921,1.271149,3.491903,0.849068,-0.810118,0.354780,5.433516
0.050000,5.088921,1.240997,3.532377,0.809468,-0.792014,0.362078,5.452101
0.050000,5.115166,1.212774,3.570917,0.770802,-0.773311,0.374057,5.471105
0.050000,5.140636,1.186416,3.607571,0.733078,-0.754485,0.376539,5.490401
0.050000,5.165310,1.161853,3.642386,0.696307,-0.735425,0.381189,5.509864
0.050000,5.189163,1.139015,3.675410,0.660480,-0.716537,0.377767,5.529368
0.050000,5.212174,1.117827,3.706689,0.625583,-0.697932,0.372088,5.548787
0.050000,5.234317,1.098215,3.736269,0.591590,-0.679855,0.361549,5.568003
0.050000,5.255569,1.080103,3.764192,0.558463,-0.662548,0.346142,5.586899
0.050000,5.275907,1.063416,3.790500,0.526155,-0.646160,0.327760,5.605366
0.050000,5.295308,1.048080,3.815230,0.494612,-0.630851,0.306170,5.623302
0.050000,5.313751,1.034023,3.838419,0.463774,-0.616775,0.281517,5.640614
0.050000,5.331212,1.021176,3.860098,0.433574,-0.603994,0.255635,5.657215
0.050000,5.347673,1.009472,3.880295,0.403950,-0.592479,0.230301,5.673030
0.050000,5.363113,0.998848,3.899037,0.374834,-0.582329,0.202997,5.687991
0.050000,5.377512,0.989244,3.916345,0.346157,-0.573526,0.176057,5.702038
0.050000,5.390853,0.980606,3.932238,0.317864,-0.565876,0.152999,5.715122
0.050000,5.403118,0.972882,3.946732,0.289894,-0.559400,0.129512,5.727198
0.050000,5.414291,0.966024,3.959842,0.262191,-0.554051,0.106996,5.738231
0.050000,5.424357,0.959991,3.971578,0.234716,-0.549498,0.091045,5.748192
0.050000,5.433302,0.954743,3.981949,0.207421,-0.545899,0.071986,5.757054
0.050000,5.441144,0.950229,3.990998,0.180978,-0.528861,0.340768,5.764831
0.050000,5.447944,0.946381,3.998810,0.156250,-0.494552,0.686161,5.771576
0.050000,5.453769,0.943133,4.005480,0.133390,-0.457208,0.746897,5.777355
0.050000,5.458691,0.940422,4.011099,0.112379,-0.420221,0.739725,5.782237
0.050000,5.462782,0.938192,4.015759,0.093197,-0.383637,0.731682,5.786296
0.050000,5.466118,0.936391,4.019550,0.075827,-0.347412,0.724511,5.789604
0.050000,5.468774,0.934967,4.022563,0.060265,-0.311230,0.723644,5.792237
0.050000,5.470825,0.933872,4.024888,0.046500,-0.275307,0.718457,5.794271
0.050000,5.472350,0.933063,4.026615,0.034531,-0.239384,0.718457,5.795782
0.050000,5.473426,0.932493,4.027832,0.024339,-0.203827,0.711142,5.796848
0.050000,5.474131,0.932121,4.028629,0.015946,-0.167874,0.719049,5.797547
0.050000,5.474543,0.931903,4.029096,0.009333,-0.132260,0.712288,5.797956
0.050000,5.474742,0.931798,4.029321,0.004501,-0.096622,0.712756,5.798153
0.050000,5.474807,0.931764,4.029393,0.001453,-0.060971,0.713019,5.798217
0.050000,5.474815,0.931760,4.029403,0.000187,-0.025314,0.713133,5.798225
0.050000,5.474815,0.931760,4.029403,0.000000,-0.003743,0.431435,5.798225
