dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.500000,3.000000,0.000059,0.002368,0.047366,0.947328,0.002209
0.050000,2.500000,3.000000,0.000296,0.007105,0.094733,0.947328,0.002100
0.050000,2.500000,3.000000,0.000829,0.014210,0.142099,0.947328,0.001855
0.050000,2.500000,3.000000,0.001776,0.023683,0.189466,0.947328,0.001419
0.050000,2.500000,3.000000,0.003256,0.035525,0.236832,0.947328,0.000738
0.050000,2.500531,3.000000,0.005388,0.049735,0.284198,0.947328,6.282940
0.050000,2.503433,2.999997,0.008289,0.066313,0.331565,0.947328,6.281601
0.050000,2.507222,2.999988,0.012078,0.085260,0.378931,0.947328,6.279846
0.050000,2.512018,2.999967,0.016874,0.106574,0.426298,0.947328,6.277618
0.050000,2.517939,2.999925,0.022795,0.130258,0.473664,0.947328,6.274855
0.050000,2.525102,2.999854,0.029959,0.156309,0.521030,0.947328,6.271493
0.050000,2.533627,2.999737,0.038485,0.184729,0.568397,0.947328,6.267466
0.050000,2.543631,2.999556,0.048491,0.215517,0.615763,0.947328,6.262703
0.050000,2.555234,2.999286,0.060096,0.248674,0.663130,0.947328,6.257129
0.050000,2.568550,2.998896,0.073418,0.284198,0.710496,0.947328,6.250666
0.050000,2.583638,2.998349,0.088516,0.319723,0.710496,-0.000000,6.243257
0.050000,2.600495,2.997605,0.105390,0.355248,0.710496,0.000000,6.234869
0.050000,2.619119,2.996617,0.124041,0.390773,0.710496,0.000000,6.225466
0.050000,2.639506,2.995332,0.144468,0.426298,0.710496,-0.000000,6.215008
0.050000,2.661648,2.993692,0.166671,0.461822,0.710496,0.000000,6.203454
0.050000,2.685539,2.991631,0.190650,0.497347,0.710496,-0.000000,6.190756
0.050000,2.711167,2.989076,0.216405,0.532872,0.710496,0.000000,6.176864
0.050000,2.738520,2.985948,0.243937,0.568397,0.710496,0.000000,6.161728
0.050000,2.767581,2.982159,0.273245,0.603922,0.710496,-0.000000,6.145296
0.050000,2.798331,2.977614,0.304329,0.639446,0.710496,0.000000,6.127513
0.050000,2.830743,2.972209,0.337190,0.674971,0.710496,0.000000,6.108328
0.050000,2.864787,2.965833,0.371826,0.710496,0.710496,0.000000,6.087694
0.050000,2.900426,2.958367,0.408239,0.746021,0.710496,0.000000,6.065567
0.050000,2.937613,2.949683,0.446428,0.781546,0.710496,0.000000,6.041914
0.050000,2.976297,2.939647,0.486394,0.817071,0.710496,-0.000000,6.016712
0.050000,3.016414,2.928119,0.528135,0.852595,0.710496,0.000000,5.989958
0.050000,3.057891,2.914954,0.571653,0.888120,0.710496,0.000000,5.961666
0.050000,3.100645,2.900004,0.616947,0.923645,0.710496,-0.000000,5.931875
0.050000,3.144581,2.883119,0.664018,0.959170,0.710496,0.000000,5.900657
0.050000,3.189592,2.864153,0.712864,0.994695,0.710496,-0.000000,5.868114
0.050000,3.235564,2.842961,0.763487,1.030219,0.710496,0.000000,5.834386
0.050000,3.282369,2.819410,0.815886,1.065744,0.710496,0.000000,5.799651
0.050000,3.329875,2.793375,0.870062,1.101269,0.710496,0.000000,5.764124
0.050000,3.377944,2.764746,0.926013,1.136794,0.710496,-0.000000,5.728052
0.050000,3.426436,2.733432,0.983741,1.172319,0.710496,-0.000000,5.691715
0.050000,3.475167,2.699394,1.043186,1.205475,0.663130,-0.947328,5.655443
0.050000,3.523916,2.662658,1.104229,1.236263,0.615763,-0.947328,5.619611
