dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.500828,2.625001,0.000059,0.002368,0.047366,0.947328,0.002209
0.050000,2.500788,2.625001,0.000100,0.000817,-0.031027,-1.567861,0.002100
0.050000,2.500696,2.625001,0.000192,0.001839,0.020431,1.029154,0.001855
0.050000,2.500532,2.625000,0.000355,0.003270,0.028621,0.163802,0.001419
0.050000,2.500277,2.625000,0.000611,0.005112,0.036838,0.164345,0.000738
0.050000,2.500439,2.625000,0.000774,0.003257,-0.037100,-1.478773,6.282940
0.050000,2.502839,2.624998,0.003173,0.047986,0.894600,18.633999,6.281601
0.050000,2.505970,2.624990,0.006305,0.062632,0.292902,-12.033963,6.279846
0.050000,2.509930,2.624972,0.010265,0.079204,0.331447,0.770912,6.277618
0.050000,2.514815,2.624938,0.015149,0.097687,0.369659,0.764233,6.274855
0.050000,2.520718,2.624879,0.021053,0.118064,0.407543,0.757686,6.271493
0.050000,2.527732,2.624783,0.028068,0.140305,0.444820,0.745531,6.267466
0.050000,2.535951,2.624635,0.036288,0.164404,0.481981,0.743234,6.262703
0.050000,2.545464,2.624413,0.045804,0.190312,0.518149,0.723358,6.257129
0.050000,2.556357,2.624094,0.056702,0.217960,0.552965,0.696321,6.250666
0.050000,2.568669,2.623648,0.069021,0.246390,0.568608,0.312846,6.243257
0.050000,2.582383,2.623043,0.082749,0.274562,0.563427,-0.103605,6.234869
0.050000,2.597487,2.622241,0.097873,0.302487,0.558519,-0.098171,6.225466
0.050000,2.613960,2.621203,0.114379,0.330114,0.552530,-0.119773,6.215008
0.050000,2.631781,2.619883,0.132249,0.357398,0.545676,-0.137089,6.203454
0.050000,2.650927,2.618232,0.151466,0.384343,0.538903,-0.135463,6.190756
0.050000,2.671372,2.616194,0.172012,0.410922,0.531579,-0.146476,6.176864
0.050000,2.693086,2.613711,0.193868,0.437111,0.523789,-0.155795,6.161728
0.050000,2.716037,2.610719,0.217013,0.462903,0.515829,-0.159205,6.145296
0.050000,2.740189,2.607149,0.241428,0.488307,0.508082,-0.154924,6.127513
0.050000,2.765505,2.602927,0.267094,0.513303,0.499933,-0.162998,6.108328
0.050000,2.791944,2.597976,0.293992,0.537970,0.493329,-0.132080,6.087694
0.050000,2.819461,2.592211,0.322107,0.562296,0.486530,-0.135968,6.065567
0.050000,2.848012,2.585545,0.351425,0.586364,0.481350,-0.103609,6.041914
0.050000,2.877548,2.577882,0.381940,0.610291,0.478535,-0.056301,6.016712
0.050000,2.908023,2.569126,0.413647,0.634148,0.477155,-0.027603,5.989958
0.050000,2.939388,2.559171,0.446554,0.658145,0.479930,0.055517,5.961666
0.050000,2.971597,2.547908,0.480676,0.682431,0.485722,0.115837,5.931875
0.050000,3.004606,2.535223,0.516038,0.707239,0.496161,0.208780,5.900657
0.050000,3.038372,2.520995,0.552679,0.732821,0.511646,0.309701,5.868114
0.050000,3.072857,2.505098,0.590652,0.759463,0.532826,0.423592,5.834386
0.050000,3.108027,2.487401,0.630023,0.787427,0.559295,0.529382,5.799651
0.050000,3.143850,2.467768,0.670874,0.817009,0.591640,0.646907,5.764124
0.050000,3.180298,2.446060,0.713296,0.848450,0.628819,0.743583,5.728052
0.050000,3.217343,2.422136,0.757395,0.881973,0.670452,0.832654,5.691715
0.050000,3.254923,2.395885,0.803235,0.916811,0.696759,0.526141,5.655443
0.050000,3.292939,2.367235,0.850839,0.952075,0.705279,0.170401,5.619611
0.050000,3.331299,2.336134,0.900222,0.987662,0.711734,0.129103,5.584577
